식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,추가 장비,영상,QR 코드 결제,X (트위터),외국어 지원,맥주 제작자,온라인 예약
トラットリア ロマーノ 五反田,Trattoria Romano Gotanda,https://retty.me/area/PRE13/ARE13/SUB1303/100000062787/,050-5462-3110,이탈리아 요리,"[하루 종일]
점심 12:00-15:00 L.O. 14:00
저녁 식사 18:00-23:00 L.O. 22:30","1 월 1 일, 1 월 2 일, 1 월 3 일, 12 월 31 일, 12 월 31 일
새해 휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",Suica,"A- 장소 B1F, 1-5-1 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (49m)
오사키 히로 코지 역에서 도우 키 이케 가미 라인 / 도보 4 분 (310m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (790m)","예
근처 (할인 없음) 사용 가능","85 석
(예약 시점에 레이아웃. 메인 층이 앉을 때 좌석이있을 때 최대 80 석, 서있을 때 최대 120 명까지. + 개인 실 2 개, 카운터 좌석 2 개)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
임대 가능 (좌석) : 80 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 120 명","[공식적인]
https://romano.foodre.jp/
https://tokyo-shokusai.co.jp/blog/romano/
https://aboutme.style/romano_gotanda",https://www.instagram.com/romano_gotanda/,https://www.facebook.com/Romano Gotanda-40555579495988/,ID 및 UnionPay 카드가 허용되었습니다,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, 전산 된 점수 가격 2,000-2,999 엔, 5,000 엔 이상의 싱크, 1.5 시간 동안의 전액 만약을 포함한 코스, 2 시간 동안 all-you-can-drink, 3 시간 이상 만 다듬기","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간, 요리사가 해외에서 훈련했으며 요리사가 유명한 레스토랑에서 훈련했으며 요리사가 가게에서 훈련했습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 시간, 개인 객실, 저녁 식사, 저녁 식사, 데이트, 소녀의 밤, 결혼 기념일, 약혼 행사 저녁 식사 파티, 기념일, 그룹 데이트, 와인은 사유지 점심, 개인 객실 날짜, 점심 날짜, 여자 밤, 그룹 데이트, 개인 객실, Paypay Points 받기
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
활발한 상점
차분한 분위기
단독 주택 레스토랑
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,예 (무료),예,03-6417-0543,프로젝터 및 사운드 장비,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000062787/archive/3037633-6440a9f54f582.jpg,,,,,
秋田料理 わったりぼうず,Akita Cuisine Walteribozu,https://retty.me/area/PRE13/ARE13/SUB1303/100000003522/,050-5462-4623,일본 요리 이자카야,"[월요일 ~ 목요일]
저녁 식사 17:00-23:00 L.O. 22:00
[금]
저녁 식사 17:00-24:00 L.O. 23:00
[토요일/휴일 전]
저녁 식사 16:00-23:00 L.O. 22:00
[일요일과 휴일]
저녁 식사 16:00-22:00 L.O. 21:00",,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
JCB",,"Libio Gotanda Pragma G Tower B1, 1-7-1 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station에서 도보 2 분 (95m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 5 분 (360m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (790m)",예,60 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"[공식적인]
https://wattaribozu.foodre.jp/
http://wattari.com/",https://www.instagram.com/masaooosato/,,,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크, 1 시간 반 동안 온전한 링크를 포함하는 코스가 포함 된 코스가 있습니다.",,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"개인 실, 쌀, 저녁 식사, 엔터테인먼트, 작별 파티, 고기, 사케, 술 지불, 지불금 지불, 약혼식, 싱글 파티, 결혼, 파티, 크리스마스 저녁 식사, 와인, 세련된, 비 흡연, 무료 Wifi, Shochu, Shochu,
다른 사용 장면을 참조하십시오",,축하 가능성,,"불가능합니다
유아, 유치원 어린이, 초등학생을 환영합니다",,,예,03-3491-3808,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000003522/archive/2773543-62c58ec573b39.jpg,PayPay,https://x.com/wattaribouzu,,,
本格シュラスコ＆肉寿司食べ放題 肉バル 月光 五反田店,정통 churrasco & all-you-can-eat 고기 스시 고기 바 Gekko Gotanda Branch,https://retty.me/area/PRE13/ARE13/SUB1303/100001704059/,050-5462-5280,이자카야 고기 바,"[하루 종일]
 11:00-23:00
폐쇄 : 연중 내내 개장합니다 (12 월 31 일, 1 월 1 일 및 2 일에 문을 닫습니다).
연회, 소녀의 밤 또는 개인 파티는 우리 가게를 방문하십시오!
(요리 L.O. 22:00 음료 L.O. 22:30)","하루 종일 개점
일년 내내 문을 엽니 다 (12 월 31 일, 1 월 1 일 및 2 일에 문을 닫습니다).","점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
JCB",,"3f Gotanda Ex Building, 1-18-1 Nishi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 2 분 (96m)
JR Yamanote Line / Gotanda Station 4 분 도보 (260m)
JR Yamanote Line / 오사키 역에서 도보로 9 분 (680m)",없음,90 석,없음,"예
완전히 흡연이 허용됩니다
(상점에서 흡연 부스)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명","[공식적인]
https://gekkko-gotanda.foodre.jp/",,,"전자 돈을 사용할 수 있습니다
(운송 전자 돈 (Suica 등), ID)
QR 코드 결제 이용 가능 : PayPay",,,고기 요리 전문,,사용 가능한 예약,"저녁 식사, 쌀, 점심, 개인 실, 흡연 허용, 고기, 솔로, 급여 지불 수락, 연말 파티, 새해 파티, 여자 파티, 여자 파티, 모든 멍청한, 음료없는 와인, 비 흡연, 개인 실, 여자 파티, 모든 캔에 들어 올림, 전적으로 캔 드린 링크
다른 사용 장면을 참조하십시오",,,,예,,,예,070-8526-1875,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001704059/archive/327888-66051822a3282.jpg,PayPay,,,,
エンジェルフェイク レガーメ,천사 가짜 레그 이름,https://retty.me/area/PRE13/ARE13/SUB1303/100001300234/,050-5462-3862,이탈리아 요리 이탈리아 바 파스타 오믈렛 이자카야,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
[월요일부터 금요일과 토요일]
저녁 식사 17 : 30-23 : 00 L.O. 22:00
팔리 자마자 끝납니다
마감 시간은 하루에 따라 다를 수 있습니다","매월 두 번째 토요일마다 매월 네 번째 토요일마다 일요일 휴가
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
JCB",,"Nakamuraya 건물 1f, 8-1-8 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 2 분 (160m)
JR Yamanote Line / Gotanda Station 5 분 도보 (370m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (760m)","없음
근처 (할인 없음) 사용 가능",18 석,예,,없음,,"[공식적인]
https://angelfake-legame.foodre.jp/
https://www.nougat.jp",,,"*신용 카드는 점심으로 허용되지 않습니다.
지불은 현금 또는 급여를 사용하여 이루어집니다.",,"4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크를 포함하는 코스가 포함 된 코스가 있습니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"All-You-Can-Drink 저녁 식사 점심 연회/음료 날짜 와인 음료 급여 지불 지불 이용 가능한 개인 객실 파티 환영 파티 연말 파티 연말 파티 새해 파티 고기 비-스모크 애프터 개인 룸 점심 크리스마스 저녁 식사 포인트받는 포인트 받기
다른 사용 장면을 참조하십시오",골목을 향합니다,,없음,,불가능합니다,,예,03-6420-3988,TV 및 모니터 사용 가능,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001300234/archive/31695-651fecfba5b33.jpeg,PayPay,,,,
プラネット,행성,https://retty.me/area/PRE13/ARE13/SUB1303/100000042839/,03-5791-5642,이자카야 고기 바 이탈리아 바,"[월요일 ~ 목요일, 토요일 및 휴일]
 12:00-23:00 L.O. 22:30
[금요일/휴가 전]
 12:00-23:30 L.O. 23:00
[낮]
 12:00-22:00 L.O. 21:30
*자녀가있는 고객은 금요일과 공휴일 전날 저녁 시간을 사용할 수 없습니다.

[12 월 주중 저녁 식사 시간 동안 어린이는 이용할 수 없습니다]",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Gotanda Hanaya Building 1f, 5-28-10 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (170m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (570m)
Toei Asakusa Line / Takanawadai 역에서 도보로 12 분 (940m)",없음,40 석,예,,"예
6 명
7 명 이상",불가능합니다,,https://www.instagram.com/planet926/?locale=ja_jp,,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","우리는 고기 요리, 생산 공간에 중점을두고 요리사가 해외에서 훈련했으며 요리사가 유명한 식당에서 훈련했으며 요리사가 매장에서 훈련했습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"고기, 마시는 점심, 데이트, 엔터테인먼트, 저녁 식사, 소녀의 밤, 애프터 파티, 쌀, 개인 객실 엔터테인먼트, 어린이와의 재미, 점심, 개인 객실 점심, 급여 지불 지불, 급여표 포인트, 온라인 예약, 새해 파티, 인기있는 매장
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"예
미취학 아동이 허용되며 초등학생은 허용됩니다",불가능합니다,예 (무료),없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000042839/archive/392677-5AAA20D64CC49.JPG,PayPay,https://twitter.com/planet95890335,언어를 말할 수있는 직원이 있습니다,선 토리,
銀だこハイボール横丁五反田店,Gindako Highball Yokocho Gotanda 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100001444407/,050-5462-7834,타카 요아키 이자카야 카라 지,"[월요일부터 금요일까지]
 15:00-23:00 L.O. 22:30
[토양]
 11:30-23:00 L.O. 22:30
[낮]
 11:30-22:00 L.O. 21:30
자세한 내용은 공식 웹 사이트를 확인하십시오.",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
JCB",Suica,"1-14-2 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 2 분 도보 (90m)
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 6 분 (420m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (740m)","없음
근처 (할인 없음) 사용 가능",106 석,예,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.gindaco.com/store/result/highball Yokocho Gotanda Store,,,,,,우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 사케, 쇼치, 위스키, 칵테일",,"점심, 저녁 식사, 저녁, 연회 및 음료 흡연 허용 급여 지불 지불 온라인 예약 가능 인기있는 식당 이용 가능","활발한 상점
골목을 향합니다","테이크 아웃 가능성
배송 가능",없음,,,불가능합니다,없음,03-6721-7615,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001444407/archive/355316-67da63d906c92.jpg,PayPay,,,,
お忍びダイニング たくみ 五反田本店,비밀 다이닝 타쿠미 고 탄드 메인 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100001310940/,050-5303-9756,이자카야 해산물과 해산물 요리 일본 음식,"[하루 종일]
 17:00-23:00 L.O. 22:00",명확하지 않습니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Duros Higashi-Gotanda Building 3F, 1-13-3 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (59m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (460m)
JR Yamanote Line / Osaki Station에서 도보 10 분 (800m)",없음,150 석,예,"예
완전히 흡연이 허용됩니다
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://brands.olivedining.jp/takumi/tokyo/9474664,,https://www.facebook.com/pg/takumi.gotanda.3/posts/,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink Course에는 5,000 엔 이상, All-You-Can-Drink",우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 실
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",없음,,,,없음,03-6277-2839,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001310940/archive/2662088-62451511c3475.jpg,PayPay,,,,
おでん屋たけし西五反田店,Odenya Takeshi Nishi-Gotanda 지점,https://retty.me/area/PRE13/ARE13/SUB1303/100001721457/,050-5462-7836,이자카야 오덴 사시미 일본 음식 야키토리,"[월요일부터 금요일까지]
저녁 식사 16:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 15:00-22:30 L.O. 22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",,"1-17-1 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 2 분 (150m)
JR Yamanote Line / Gotanda Station 3 분 도보 (210m)
JR Yamanote Line / 오사키 역에서 도보로 9 분 (680m)",예,"41 석
(32 테이블 좌석)","예
(카운터에서 9 석)","불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://oden-nishigotanda.foodre.jp/
https://shops.alwayssaisei.co.jp/detail/4920/",https://www.instagram.com/odenyatakeshi/,,,,,우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,저녁 식사 연회 및 음주 당사자 급여 지불 지불 가능 온라인 예약 가능 인기 상점 예약,,,,,,불가능합니다,예,03-6417-4111,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001721457/archive/3542432-67caca461cb9a.jpg,PayPay,,언어 지원 메뉴가 있습니다,,
trattoria e poi,Trattoria e poi,https://retty.me/area/PRE13/ARE13/SUB1303/100001556181/,050-5262-4518,이탈리아 요리 해산물과 해산물,"[tue-fri]
점심 11:30-13:30
저녁 식사 18 : 00-23 : 30 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 16:00-23:30 L.O. 22:00
영업 시간은 하루에 따라 다를 수 있습니다",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"도쿄 모리스 빌딩 2F, 8-4-15 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 1 분 (31m)
JR Yamanote Line / Gotanda Station 5 분 도보 (360m)
JR Yamanote Line / 오사키 역에서 도보로 9 분 (650m)",없음,37 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://trattoriaepoi.foodre.jp/
https://foodplace.jp/epoi/",https://www.instagram.com/trattoria_epoi?igshid=1646r7vf4l6nn,https://www.facebook.com/trattoria-epoi-100930111834144/,,,,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.",,사용 가능한 예약,"점심, 저녁 식사, 점심, 연회, 음주 파티, 모든 당신이 살아 난 파티, 와인 음료, 고기, 고기, 급여 지불 지불, 크리스마스 저녁 식사, 캐주얼, 온라인 예약 가능, 인기있는 매장 예약
다른 사용 장면을 참조하십시오",,,,,,,예,03-6384-6995,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001556181/archive/2054633-5fa34b1df346f.jpg,PayPay,,,,
大崎キッチン,오사키 주방,https://retty.me/area/PRE13/ARE13/SUB1303/100001537384/,050-5462-2931,바 양조장 이자카야,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00
[토양]
저녁 11 : 30-23 : 00 L.O. 22:00
[일요일과 휴일]
저녁 11 : 30-22 : 00 L.O. 21:00
*주말과 공휴일에는 주말과 공휴일에 점심을 먹을 수 있습니다.
*저녁 식사 시간 음료 주문은 마감 시간 30 분 전입니다.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1f 오사키 센터 빌딩, 1-5-1 오사키, 시나가와 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Osaki Station에서 도보로 2 분 (140m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (640m)
JR Yamanote Line / Gotanda Station 9 분 도보 (650m)",없음,86 석,예,"예
(상점 안에는 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://kitchen.dkdining.com/osaki/,,,좌석 수수료가 있습니다. (코스 당시 가격에 포함),"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2 시간 반의 반 시간",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 와인, 위스키, 칵테일",,"점심, 저녁 식사, 고기, 파티, 마시는 크래프트 맥주, 급여 판매 포인트 받기, 온라인 예약 가능, 새해 파티, 개인 실, 인기있는 식당, 캐주얼, 바삭한 새해 파티, 바삭 바삭한, 작별 인사 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점
테라스가 있습니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,,,,없음,050-2018-8959,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001537384/archive/3023423-5eab7f5a9724e.png,,,,,
