식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,Wi-Fi 사용,전화 번호,외국어 지원,영상,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,전원 공급 장치 사용,X (트위터),맥주 제작자,추가 장비,온라인 예약
SWAN&LION Modern British Pub,스완 & 라이온 현대 영국 펍,https://retty.me/area/PRE13/ARE7/SUB703/100001757679/,050-5462-7765,이자카야 바 식당 바,"[tue-fri]
점심 11:00-16:00 L.O. 15:00
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
 11:00-23:00 L.O. 22:00
마지막 저녁 식사 음식 주문은 22:00입니다
저녁 음료에 대한 마지막 주문은 22:30입니다
음료와 디저트는 평일 오후 3 시부 터 오후 4 시까 지 주문할 수 있습니다.","매주 월요일
새해 휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay","B1F, 2-16-14 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (200m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (840m)
Tokyu Toyoko Line / Yutenji 역에서 도보로 12 분 (960m)",없음,"45 석
(상점에서 31 석, 테라스의 14 석)",예,"불가능합니다
(흡연은 항상 매장 내 및 현장 좌석에 금지됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
제한된 수의 사람들이 임대 할 수있는 (좌석) : 31 명
최대 40 명이 임대 할 수 있습니다 (스탠드 스탠딩 식사)","[공식적인]
https://wanandlion.foodre.jp/
https://wanandlion.com/#concept","QR 코드 결제 가능
(Paypay, DPay, Rakuten Pay, AU Pay)","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","우리는 고기 요리, 수입 재료, 채식 메뉴, 요리사가 해외에서 훈련하고 매장 내에서 준비했습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 점심, 솔로, 저녁 식사, 고기, 테라스, PayPay 지불 가능, 개인 실, 스타일리쉬, 급여표 받기, 온라인 예약 가능, 인기있는 매장
다른 사용 장면을 참조하십시오","차분한 분위기
테라스가 있습니다","놀라운 응답 가능
축하 가능성",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.","예
상점 밖에서 이용 가능하면 물이 제공 될 수 있습니다",예,03-6884-3448,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001757679/archive/3530902-67bd8183860e6.jpeg,,,,,,,,
炭火焼肉オールスターズホルモンとんぼ,숯 구이 야키니 쿠 올스타 호르몬 잠자리,https://retty.me/area/PRE13/ARE7/SUB703/100001570243/,050-5262-8792,이자카야 야키니 쿠,"[월요일부터 목요일, 휴일]
저녁 식사 17:00-23:00 L.O. 22:00
[금]
저녁 식사 17:00-26:00 L.O. 25:00
[태양/토요일]
 17:00-23:00 L.O. 22:00","하루 종일 개점
새해 휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
JCB",,,"1-5-1 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (150m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 6 분 (450m)
JR Yamanote Line / Ebisu Station 11 분 도보 (830m)",없음,40 석,예,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(전자 담배 만 사용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명","예
최대 40 명을 임대 할 수 있습니다","[공식적인]
https://tombo.foodre.jp/",,,우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"개인 객실, 쌀, 저녁 식사, 웨딩 기념일, 흡연, 엔터테인먼트, 술, 페이 페이 포인트, 온라인 예약 가능, 새해 파티, 작별 파티, 환영 파티, 인기있는 레스토랑, 예약, 캐주얼
다른 사용 장면을 참조하십시오","활발한 상점
단독 주택 레스토랑
숨는 곳
골목을 향합니다",,,예,,없음,03-6412-7437,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001570243/archive/259527-61dffce5e29e6.jpeg,https://www.instagram.com/tombo_nakameguro/,,,,,,,
緑青,녹색,https://retty.me/area/PRE13/ARE7/SUB703/100001592575/,050-5304-2808,바 바 식당 바 훈제 로스트 비프 그릇,"[월요일부터 금요일, 토요일, 휴일 전]
저녁 식사 18 : 00-26 : 00 L.O. 25:30
[일요일과 휴일]
저녁 식사 18 : 00-24 : 00 L.O. 23:30
마감 시간은 하루에 따라 다를 수 있습니다
청구 : 500 엔 (세금 포함)",,"점심 : 비즈니스 시간
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당",,,"2-48-10 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 6 분 (440m)
Tokyu Toyoko Line / Yutenji 역에서 도보로 9 분 (720m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 14 분 (1.1km)",없음,20 석,예,"불가능합니다
(가게를 밖에 두십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"솔로 게스트 늦은 밤 비즈니스, 엔터테인먼트, 식사 및 개인 실 무료 Wi-Fi 생일, 파티, 크리스마스 저녁 식사, 세련된, Paypay Points 온라인 예약 가능 인기 상점 이용 가능
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",,,,,예,070-1579-6969,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001592575/archive/3208235-6572c261001f9.jpg,https://www.instagram.com/rokusho_nakameguro/,,,,,,,
韓国伝統料理ハヌリ 中目黒店,한국 요리 Hanuri Nakameguro 지점,https://retty.me/area/PRE13/ARE7/SUB703/100001571855/,050-5462-7343,한국 음식 이자카야 야키 니쿠,"[태양, 월요일부터 목요일까지]
저녁 11 : 30-24 : 00 L.O. 23:30
[월요일부터 금요일까지]
점심 11:30-16:00 L.O. 15:30
[금요일, 토요일, 휴일 전]
저녁 11 : 30-28 : 00 L.O. 27:30
[태양, 토요일, 휴일]
점심 11:30-15:30 L.O. 15:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"보석 Nakameguro 1f, 2-13-4 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (290m)
도쿄 도요코 라인 / Daikanyama 역에서 도보로 12 분 (910m)
Tokyu Toyoko Line / Yutenji 역에서 도보로 12 분 (920m)",없음,60 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,"[공식적인]
https://hanuri-nakameguro.foodre.jp/",,,,,사용 가능한 예약,"개인 룸 점심 저녁 식사 라이스 all-you-can-drink 싱글 패스 엔터테인먼트 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시기 와인 마시는 세련된 세련된 점심 새우 새우 쿠
다른 사용 장면을 참조하십시오",,,,,"예
상점 밖에서 사용할 수 있습니다",없음,03-6712-2808,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001571855/archive/3494185-677e78abe2460.jpg,https://www.instagram.com/hanuri_gr,https://www.facebook.com/tokyohanuri,,,,,,
もつ焼き&JAZZ みのる,Motsuyaki & Jazz Minoru,https://retty.me/area/PRE13/ARE7/SUB703/100001738833/,050-5462-5492,이자카야 꼬치,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-24:00
봐라. 요리 23:00 음료 23:30",매주 일요일과 공휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Quicpay","Nakameguro LK 빌딩 1f, 1-3-12 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (200m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 6 분 (430m)
JR Yamanote Line / Ebisu Station 10 분 도보 (780m)",없음,30 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명","[공식적인]
https://minoru.foodre.jp/",,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.",고기 요리 전문,Shochu를 사용할 수 있습니다,사용 가능한 예약,"점심 시간 술
다른 사용 장면을 참조하십시오","차분한 분위기
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",,,"예
상점 밖에서 사용할 수 있습니다",예,03-3710-7365,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001738833/archive/3300329-66304be382822.jpg,https://www.instagram.com/motuyakiminoru/,,"5,000 엔 이상, 2 시간 동안 온전한 링크, 3 시간 이상 동안 만난 링크",,,,,
草花木果,꽃 과일,https://retty.me/area/PRE13/ARE7/SUB703/100000061810/,03-5722-1055,이자카야 오키나와 요리,"[월요일부터 금요일과 토요일]
 17:00-1:00
[축하해요]
 17:00-0:00 L.O. 23:00
오후 11시 이후 전화로 예약하면 더 쉬울 것입니다.",,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Nanaco, Waon, Quicpay","2-7-11-2f Kamimeguro, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (700m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)","예
근처 (할인 없음) 사용 가능","54 석
((12 개의 개인 실, 18 개의 타타미 룸 (최대 22 석), 16 개의 테이블 좌석, 8 개의 카운터 좌석))))",예,"연기 분리
(흡연 또는 금연 좌석을 선택하더라도 요청을 충족시키지 못할 수 있습니다. 좌석을 예약하려면 직접 상점에 전화하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://sokabokka.foodre.jp/","*좌석 만 예약하는 경우
품목이 바쁘면 예약 시점부터 2.5 시간 일정 (2 시간 동안 마지막 순서)을 사용합니다. 이해 해주셔서 감사합니다.
위의 시간이 충분하지 않거나 좌석이있는 경우 상점에 직접 연락하십시오.
*흡연 또는 금연 좌석을 선택하더라도 귀하의 요청을 충족시키지 못할 수 있습니다.
좌석을 예약하려면 직접 상점에 전화하십시오.","4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.",,"맥주, Shochu, Awamori",사용 가능한 예약,"데이트 전일-마시는 연회/음료 파티 개인 방 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 어린이들과 함께 즐거운 주차장이 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,예,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000061810/archive/1706895-5ee03ae4a13f3.jpg,,,"4,000 엔에서 4,999 엔으로 인한 싱글 링크와 5,000 엔 이상을위한 모든 싱크 링크, 2 시간 동안 전세계 점점을 포함하는 코스가 포함 된 코스가 있습니다.",,,,,
エルチャテオ 中目黒店,El Chateo Nakameguro 매장,https://retty.me/area/PRE13/ARE7/SUB703/100001574874/,050-5462-7498,이자카야 스페인 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11 : 30-15 : 00 L.O. 14:00
[하루 종일]
저녁 식사 17:00-22:00 L.O. 21:00
[태양, 토요일, 휴일]
점심 11 : 30-16 : 00 L.O. 15:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다","매주 화요일 매주 월요일
새해 휴일 (확인하십시오)
공휴일이라면 다음날 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",PayPay,Suica,"3F, 2-13-3 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (110m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (750m)
도쿄 도요코 라인 / 유텐지 스테이션 14 분 도보 (1.1km)",없음,50 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://elchateo-nakameguroten.foodre.jp/","・ ID 사용 가능
QR 코드 지불 이용 가능 : PayPay, Rakuten Pay, DPay, Merpay","5,000 ~ 5,999 엔 코스로 제공됩니다",,"맥주, 와인, 칵테일",사용 가능한 예약,"점심, 쌀, 저녁 식사, 솔로, 엔터테인먼트, 모든 링크, 약혼, 저녁 식사 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 어린이와 함께 즐거운, 세련된, 스모킹, 세련된 점심, 지불금 지불, 세련된
다른 사용 장면을 참조하십시오",개방성이 있습니다,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,없음,03-5708-5620,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001574874/archive/2540133-619369fe50c72.jpg,,,"5,000 엔 이상을 사용할 수 있습니다",,,,,
Yakiniku.ushicoco.,Yakiniku.ushicoco.,https://retty.me/area/PRE13/ARE7/SUB703/100001589269/,050-5462-5041,야키니 쿠이자 카야 바,"[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
점심 11:30-14:00
저녁 식사 17:00-22:00 L.O. 21:30","매주 월요일
*매월 마지막 일요일에는 점심 만 열립니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"4 층, 2-16-1 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (170m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (810m)
도쿄 도요코 라인 / 유텐지 스테이션 13 분 도보 (1.0km)","예
근처 (할인 없음) 사용 가능","16 석
(테이블은 최대 10 명에게 사용할 수 있습니다)",예,"불가능합니다
(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"https://yakiniku-ushicoco.foodre.jp/
https://ushicoco.com/","송장 지원 상점
적격 송장 (송장)에 대해 영수증을 발행 할 수 있습니다.
등록 번호 : T9810601200338
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.",,"우리는 야채 요리, 고기 요리, 생산 재료, 매우 매운 메뉴, 요리사는 유명한 레스토랑에서 훈련을 받았으며, 유명한 요리사, 주인 요리사, 매장 내 준비","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"와인을 즐기고 점심, 저녁 식사, 고기, 점심, 새해 파티, 환영 파티, 급여표 포인트, 온라인 예약, 인기있는 식당 예약
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
나이트 뷰를 볼 수 있습니다",축하 가능성,없음,예,불가능합니다,없음,03-6303-3190,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001589269/archive/3253265-65d55fb2df628.jpg,https://www.instagram.com/yakiniku.ushicoco/,,,예 (무료),,,,
カフェ キャラット,카페 캐럿,https://retty.me/area/PRE13/ARE7/SUB703/100000168681/,050-5462-3846,카페,"[태양, 월요일부터 목요일까지]
 12:00-23:30 L.O. 23:00
[금요일, 토요일, 휴일 전]
 12:00-24:00 L.O. 23:30
[월요일부터 목요일과 공휴일]
12 : 00-23 : 30
(L.O. 22:00, L.O. 23:00)

[공휴일 전날 금요일, 토요일]
11 : 00-24 : 00 LO23 : 30
(L.O. 22:00, L.O. 23:30)",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"NM 빌딩 B1F, 1-18-6 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
Daikanyama 역에서 도쿄 도요코 라인 / 도보 거리 7 분 (530m)
JR Yamanote Line / Ebisu 역에서 도보로 13 분 (980m)",없음,68 석,없음,"불가능합니다
(흡연은 상점 밖에서 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","https://cafe-carat.foodre.jp/
https://renovationplanning.co.jp/",,,,,사용 가능한 예약,"저녁 식사, 저녁 식사, 소녀의 야간 음주, 개인 실, 흡연 허용, 급여 지불 수락, 모든 마감, 연회 및 음주 파티, 약혼 저녁 식사 파티, 싱글 OK, 결혼식, 애프터 파티, 성인 은신처, 작별 파티, 연말 파티, 새해 파티, 와인은 술에 취할 수 있습니다.
다른 사용 장면을 참조하십시오",,,,,,예,03-3791-3191,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000168681/archive/366619-5a68c135c4989.jpg,,,,,,,,
薬味×日本酒バル 鮮’z,조미료 X Sake Bar Shin'z,https://retty.me/area/PRE13/ARE7/SUB703/100001759855/,050-5462-6941,이자카야 해산물과 해산물,"[Sun, 화요일, 금요일, 토요일]
저녁 식사 17:00-23:30 L.O. 23:00
[tue-fri]
점심 11 : 30-14 : 00 L.O. 14:00
팔리 자마자 끝납니다
마감 시간은 하루에 따라 다를 수 있습니다
저희에게 연락하십시오!","매주 월요일
새해 휴일 (확인하십시오)","저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay","2-13-6 Kamimeguro, Meguro-Ku, 도쿄 Jouet Nakameguro 201
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (140m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (790m)
도쿄 도요코 라인 / 유텐지 스테이션 13 분 도보 (1.0km)",없음,13 석,예,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(흡연의 경우, 가열 된 담배는 제한적입니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://yakumi-senz.foodre.jp/","이용 가능 : Rakuten Edy, Waon, Suica, Pasmo, Nanaco, Icoca, ID, Quicpay, ApplePay
이용 가능한 QR 코드 지불 : Coin+, Paypay, Rakuten Pay, DPay, AU Pay, Merpay, Wechat Pay (Wechat Pay)",,우리는 야채 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 흡연 허용, 싱글 파티, 여자 파티, 음주, 개인 지불 가능, Paypay Points, 온라인 예약 가능, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,불가능합니다,,예,080-2341-3053,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001759855/archive/3440785-6725ff77e816e.jpg,,,,예 (무료),,,,
