식당 이름,번역된 식당 이름,URL,영상,텔,장르,영업 시간,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,사용 장면,Wi-Fi 사용,전화 번호,닫힌 날,사적인,인스 타 그램,예약,쇼핑 직무 정보,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,대기,서비스,드레스 코드,애완 동물,추가 장비,IC 카드 지불,발언,아이들이 들어 오세요,전원 공급 장치 사용,외국어 지원,페이스 북,X (트위터),맥주 제작자
本格中華料理 陳家私菜 銀座店,정통 중국 요리 Chenjia Personal Dishes Ginza Branch,https://retty.me/area/PRE13/ARE2/SUB202/100001761147/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個室ダイニング ウメ子の家 有楽町駅前店,개인 식당 Umeko 's House Yurakucho Ekimae 지점,https://retty.me/area/PRE13/ARE2/SUB202/100000731885/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
いいとこ鶏 有楽町,잘 생긴 치킨 유라쿠치,https://retty.me/area/PRE13/ARE2/SUB202/100001707930/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
なまいき 有楽町,내 마음은 유라쿠치입니다,https://retty.me/area/PRE13/ARE2/SUB202/100001747618/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥羽本荘 有楽町,Ouhonjo Yurakucho,https://retty.me/area/PRE13/ARE2/SUB202/100001623602/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全席個室 楽蔵うたげ 有楽町駅前店,모든 좌석 개인 실 RAKUZO UTAGE YURAKUCHO EKIMAE 매장,https://retty.me/area/PRE13/ARE2/SUB202/100000778943/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全席個室じぶんどき有楽町日比谷店,모든 좌석 개인 실 jibundoki yurakucho hibiya 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001692580/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
チャヤ ナチュラル＆ワイルドテーブル日比谷シャンテ店,Chaya Natural & Wild Table Hibiya Chante Store,https://retty.me/area/PRE13/ARE2/SUB202/100000002504/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天ぷらとワイン大塩 日比谷店,튀김과 와인 오시오 Hibiya 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001554471/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
居酒屋 燈,Izakaya tou,https://retty.me/area/PRE13/ARE2/SUB202/100001697180/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
炭火串焼き×海鮮料理 燦々～SUNSUN～ 有楽町日比谷店,숯 구운 꼬치 x 해산물 요리 Sansun -Sunsun -Yurakucho Hibiya Branch,https://retty.me/area/PRE13/ARE2/SUB202/100001696403/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個室居酒屋 鶏屋むさし 有楽町店,개인 실 Izakaya Toriya Musashi Yurakucho 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001686364/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
板前バル LIVE FISH MARKET 日比谷グルメゾン店,Hibiya Gourmet Bar Live Fish Market Hibiya Gourmet 매장,https://retty.me/area/PRE13/ARE2/SUB202/100001547324/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q CAFE by Royal Garden Cafe 東京ミッドタウン日比谷,로얄 가든 카페 도쿄 미드 타운 히비야 (Midtown Hibiya)의 Q 카페,https://retty.me/area/PRE13/ARE2/SUB202/100001410925/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アラスカ 日本プレスセンター店,알래스카 일본 프레스 센터 매장,https://retty.me/area/PRE13/ARE2/SUB202/100000078230/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陳家私菜 日比谷国際ビル 新橋店,Chenjia Private Edition Hibiya International Building Shinbashi Branch,https://retty.me/area/PRE13/ARE2/SUB202/100001769739/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本格中華料理 陳家私菜 銀座店,정통 중국 요리 Chenjia Personal Dishes Ginza Branch,https://retty.me/area/PRE13/ARE2/SUB202/100001761147/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個室ダイニング ウメ子の家 有楽町駅前店,개인 식당 Umeko 's House Yurakucho Ekimae 지점,https://retty.me/area/PRE13/ARE2/SUB202/100000731885/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
いいとこ鶏 有楽町,잘 생긴 치킨 유라쿠치,https://retty.me/area/PRE13/ARE2/SUB202/100001707930/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
なまいき 有楽町,내 마음은 유라쿠치입니다,https://retty.me/area/PRE13/ARE2/SUB202/100001747618/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥羽本荘 有楽町,Ouhonjo Yurakucho,https://retty.me/area/PRE13/ARE2/SUB202/100001623602/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全席個室 楽蔵うたげ 有楽町駅前店,모든 좌석 개인 실 RAKUZO UTAGE YURAKUCHO EKIMAE 매장,https://retty.me/area/PRE13/ARE2/SUB202/100000778943/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
