식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,요리 기능과 전문 분야,사용 장면,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,사적인,인스 타 그램,당신이 마실 수있는 모든 것,예약,서비스,강의,대기,마시는 기능과 세부 사항에 대한 관심,드레스 코드,발언,페이스 북,X (트위터),추가 장비,IC 카드 지불,맥주 제작자,인근 시설,key_1_営業時間,key_1_予算,key_1_クレジットカード,key_1_QRコード決済,key_1_ICカード決済,key_1_住所,key_1_アクセス,key_1_駐車場,key_1_座席,key_1_カウンター席,key_1_喫煙,key_1_個室,key_1_貸切,key_1_Instagram,key_1_Facebook,key_1_X(Twitter),key_1_備考,key_1_コース,key_1_飲み放題,key_1_料理の特徴・こだわり,key_1_ドリンクの特徴、こだわり,key_1_予約,key_1_利用シーン,key_1_雰囲気,key_1_サービス,key_1_ドレスコード,key_1_お子様連れ入店,key_1_ペット,key_1_電源利用,key_1_Wi-Fi利用,key_1_image,key_2_TEL,key_2_ジャンル,key_2_営業時間,key_2_定休日,key_2_予算,key_2_クレジットカード,key_2_住所,key_2_アクセス,key_2_カウンター席,key_2_個室,key_2_利用シーン
山城辣妹子 重慶火鍋 上野店,Yamashiro Lai Sonoko Chongqing Hotpot Ueno 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001753472/,050-5462-6413,핫팟 이자카야,"[하루 종일]
 11:00-23:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,PayPay,"3F, UENO3153, 1-57 Ueno Park, Taito-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 1 분 도보 (31m)
Keisei Main Line / Keisei Ueno 역에서 도보로 1 분 (73m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 5 분 (390m)",없음,100 석,없음,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"[공식적인]
https://shancheng-mameizi.foodre.jp/","우리는 수입 재료, 생산 구역, 매우 매운 메뉴에 중점을두고 해외에서 훈련 된 요리사에 중점을 둡니다.","점심, 저녁 식사, 저녁 식사, 소녀의 밤, 연회 및 음료, 개인 실, 점심 음주, 고기, 급여 지불 지불, 급여 지불 포인트, 온라인 예약 가능, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 캐주얼
다른 사용 장면을 참조하십시오",예,불가능합니다,불가능합니다,예,03-6388-1181,영어 중국어,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001753472/archive/3388902-66d12ace1522f.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海底撈火鍋 上野店,해저 핫 포트 우에노 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001587253/,050-5304-5623,핫팟 중국 음식 이자카야,"[하루 종일]
 11:00-6:00 L.O. 5:30
수중 핫팟을 지속적으로 후원 해 주셔서 대단히 감사합니다.
법률에 따른 전기 장비 검사로 인해 매장은 2024 년 3 월 11 일 22:00까지 열립니다.",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Ueno Suzunoya Main Store 건물, 3F, 1-20-11 Ueno, Taito-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 1 분 거리 (43m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 1 분 (44m)
JR Yamanote Line / Okachimachi Station 3 분 도보 (240m)","없음
이웃 P (할인) 사용 가능",150 석,"없음
(카운터는 없습니다. 개인 테이블을 사용할 수 있습니다. 우리는 사람들과 요구의 수에 맞는 개인 실을 제공 할 것입니다.)","불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"[공식적인]
https://haidilauoueno.foodre.jp/",,"점심 음주, 개인 실, 어린이와 함께 즐거운 어린이 점심 급여 지불 지불 이용 가능 PayPay Points 온라인 예약 가능 연말 파티 파티 Farewell Party Party 인기있는 레스토랑 예약
다른 사용 장면을 참조하십시오","예
유아 및 어린 자녀, 유치원 어린이, 초등학생, 기저귀 사용 가능, 어린이 메뉴 가능",불가능합니다,예 (무료),예,03-6284-2511,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001587253/archive/3125012-64dadcd1c623b.jpg,예,https://www.instagram.com/haidilao_japan/,한 시간 반 동안 당신이 다루는 것,사용 가능한 예약,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京ダック専門店 北京烤鴨店 上野店,북경 오리 스페셜티 스토어 베이징 핫 오리 스토어 Ueno Store,https://retty.me/area/PRE13/ARE9/SUB901/100001686794/,050-5462-2100,중국 요리 이자카야 딤섬 딤섬,"[하루 종일]
 11:00-23:00 L.O. 22:30
일년 내내 문을 엽니 다!",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1F, UENO3153, 1-57 Ueno Park, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 1 분 도보 (31m)
Keisei Main Line / Keisei Ueno 역에서 도보로 1 분 (73m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 5 분 (390m)",예,180 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"[공식적인]
https://pekingduckstoreueno.foodre.jp/","우리는 고기 요리, 수입 재료 및 재료를 생산하는 데 특히 그렇습니다.","개인 객실 점심, 점심, 점심, 저녁 식사, 아동이 즐기기, 어린이, 엔터테인먼트, 음식, 연회, 파티, 개인 객실, 지불금 지불 수락, 모든 캔 먹고, 모든 마감, 인기있는 레스토랑, 캐주얼, 환영 파티, Paypay Points Get Paypay Points와 함께 즐기십시오.
다른 사용 장면을 참조하십시오",예,불가능합니다,,예,03-5846-8058,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001686794/archive/29311-63914e4717533.jpg,예,,,사용 가능한 예약,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","개방성이 있습니다
골목을 향합니다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月島もんじゃ 三九 上野総本店,Tsukishima Monja Sanku Ueno 메인 스토어,https://retty.me/area/PRE13/ARE9/SUB901/100001751552/,050-5462-6816,Monjayaki Izakaya Teppanyaki,"[태양, 월요일부터 목요일까지]
 11:00-23:00
[금요일, 토요일, 휴일 전]
 11:00-24:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1f Ueno Ameyoko, Nittaku Building, 4-7-2 Ueno, Taito-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (170m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 3 분 (170m)
Keisei Main Line / Keisei Ueno 역에서 도보 3 분 (170m)",없음,180 석,없음,"불가능합니다
(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"[공식적인]
https://monja-sankyu.foodre.jp/",,"연회 및 음주 파티 개인 방 점심 식당 마시는 저녁 식사 점심 급여 지불 지불 지불 가능 전부-캔-링크 포인트 온라인 예약 가능 작별 파티를 환영하는 인기있는 식당.
다른 사용 장면을 참조하십시오","예
유아 및 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있고, 어린이 메뉴 이용 가능",불가능합니다,,예,03-5846-8698,"중국인
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001751552/archive/3376703-66b56cec922b9.jpg,,,2 시간 동안 당신이 다루는 것,사용 가능한 예약,,,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セマウル食堂 上野店,Semaul Restaurant Ueno 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001720800/,050-5462-4518,한국 음식 야키 니쿠,"[하루 종일]
 11:00-22:40 L.O. 22:10
불규칙한 휴일",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"Ueno c-road bidg 2 층, 4-4-5 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 1 분 (26m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 1 분 거리 (27m)
JR Yamanote Line / Okachimachi Station 2 분 도보 (160m)",없음,46 석,,"(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://semaurushokudo.foodre.jp/",,"점심, 아이들과의 즐거움, 솔로, 여자의 밤, 식사, 개인 파티, 파티 파티, 파티, 저녁 식사, 점심 시간, 급여 지불 지불, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 예약, Paypay Points
다른 사용 장면을 참조하십시오",예,,,예,03-6284-3026,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001720800/archive/3194505-65574119BB3B2.JPG,예,,,사용 가능한 예약,,,,,,QR 코드 결제 사용 가능 (PayPay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羊不同烤小串 上野本店,양의 푸노 핫 Okushi Ueno 메인 스토어,https://retty.me/area/PRE13/ARE9/SUB901/100001656170/,050-5462-4347,이자카야,"[하루 종일]
 11:30-23:00 L.O. 22:30
연말 개막 시간
2024 년 12 월 31 일
11 : 30-22 : 00 LO21 : 00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"Ueno 1-Chome 건물, 2f, 1-20-1 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 1 분 거리 (69m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 1 분 거리 (70m)
JR Yamanote Line / Okachimachi Station 4 분 도보 (260m)",예,148 석,없음,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명","[공식적인]
https://yanbooton.foodre.jp/","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 매우 매운 메뉴, 유명한 요리사, 요리사 및 매장 내 준비에 대해 특히 알고 있습니다.","점심, 저녁, 쌀, 흡연 허용, 고기, 점심 식사, 급여 지불 지불 가능, 급여 지불 포인트, 온라인 예약 가능, 연말 파티, 새해 파티, 개인 실, 인기있는 식당, 캐주얼, 성인 새해 파티, 성인 연말 파티, 작별 파티
다른 사용 장면을 참조하십시오",예,불가능합니다,,예,03-6284-2898,"영어 중국어 한국
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001656170/archive/3199765-656566E2323EA.JPG,예,https://www.instagram.com/yanbooton/,"ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2 시간 2 시간 동안 2 시간 5 시간 만에 링크",사용 가능한 예약,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","개방성이 있습니다
천장이 높습니다
활발한 상점",맥주와 칵테일 이용 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沼津港海将 上野1号店,Numazu Port Seaman Ueno 1st Store,https://retty.me/area/PRE13/ARE9/SUB901/100000839110/,050-5304-6807,해산물과 해산물 요리 이자카야 사시미,"[월요일부터 금요일과 토요일]
 11:30-22:30 L.O. 21:30
[일요일과 휴일]
 11:30-22:00 L.O. 21:00
뷔페는 매일 개최됩니다
11 : 30-15 : 00 마지막 리셉션 14:00","하루 종일 개점
새해 휴일 (확인하십시오)
12/31, 1/1 폐쇄","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,,"Gomi Building B1, 6-8-4 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Ueno Okachimachi Station에서 도보 3 분 (200m)
JR Yamanote Line / Okachimachi Station 3 분 도보 (230m)
도쿄 메트로 Hibiya 라인 / 나카 오카 카시마치 역 4 분 (290m)",없음,60 석,예,"불가능합니다
(흡연은 4 월 1 일부터 완전히 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,우리는 생선 요리에 대해 특히 그렇습니다. 생산 구역에 특히 그렇습니다.,"점심, 모든 음식, 저녁 식사, 점심, 쌀, 솔로, 환영 파티, 흡연, 새해 파티, 바삭 바삭한 연말 파티, 선명한 새해 파티, 인기있는 식당, 캐주얼, 온라인 예약 가능
다른 사용 장면을 참조하십시오","예
미취학 아동이 허용되며 초등학생은 허용됩니다",불가능합니다,불가능합니다,예,03-5817-8246,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000839110/archive/289183-59cf47ad1861c.jpg,예,https://www.instagram.com/kaisho.ueno1,"999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 2000-2999 엔, 전 ALL-YOU-CAN-DRINK 3000-4999 엔, 2999999 YEN, ALL-YOU-CAN-DRINK PROPES의 ALL-YOU-CAN-DRINK 가격 5000 YEN 또는 ALL-YOU-CAN-DRINK 가격 3000-3999 엔, all-you-can-drink 코스에는 4000-4999 엔이 포함되며, 싱글 링크 코스에는 5000 엔 이상, 1 시간 반 동안 all-you-can-drink, 2 시간 반 동안 모두 당신이 온전한 링크, 2 시간 반 동안 모두 3 시간 동안, 3 시간 동안, 3 시간 반 마감, 3 시간 반 마감, 3 시간 반 마감 3 시간 반 동안 만약을 모두 마시십시오",사용 가능한 예약,음료를 가져올 수 있습니다,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.",활발한 상점,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",,,https://www.facebook.com/kaishoueno1,https://x.com/kaisho_ueno1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晴々飯店,맑은 식당,https://retty.me/area/PRE13/ARE9/SUB901/100000098268/,050-5262-2152,중국 요리 사천 요리 Gyoza라면,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:30
점심은 2024 년 12 월 31 일 화요일에만 문을 엽니 다
우리는 또한 평소와 같이 2025 년 1 월 2 일 목요일부터 개방 될 것입니다.","1 월 1 일, 1 월 2 일, 12 월 31 일,
임시 폐쇄를 사용할 수 있습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"7-8-16 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보 2 분 (130m)
도쿄 메트로 진 자 라인 / 도코 (도쿄) 역에서 도보로 7 분 거리 (510m)
JR Yamanote Line / Uguisudani Station 8 분 도보 (630m)",예,50 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","[공식적인]
https://seihanten.foodre.jp/",,"점심, 쌀, 고기, 날짜, 연회 및 음주 파티, 모든 음식, 매우 매운, 저녁 식사, 점심 시간 음주, 그룹 데이트, 연말 파티, 솔로, 전액, 캔 먹을, 온라인 예약, 온라인 예약, 새해 파티, 영업 파티, 환영 파티, 환영 파티
다른 사용 장면을 참조하십시오",,,,예,03-3842-8920,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000098268/archive/206783-5fa91d588df70.jpg,,https://www.instagram.com/seisei_hanten/,,사용 가능한 예약,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
めしや 一之助 上野店,메시 야 이치노스케 우에노 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001766393/,050-5462-7766,이자카야,"[하루 종일]
저녁 15 : 00-23 : 15 L.O. 22:30",불규칙한 휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Passage Building 3F, 4-6-9 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (140m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (140m)
JR Yamanote Line / Okachimachi Station 2 분 도보 (140m)",예,90 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",https://ichinosuke.foodre.jp/,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","개인 객실 흡연 허용 연회 및 음주 파티 디너 페이 페이 포인트 온라인 예약 이용할 수있는 작별 파티 환영 파티
다른 사용 장면을 참조하십시오",,,,예,03-6628-8322,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001766393/archive/3531578-67be9f7806b67.jpg,예,,"ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink 코스에는 5,000 엔 이상을위한 All-You-Can-Drink가 포함되어 있습니다. 3 시간 넘게 만약을 만듭니다",사용 가능한 예약,"놀라운 응답 가능
축하 가능성","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",없음,"전자 돈/기타
PayPay, AU Pay, D Pay, Merpay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やきとん まるわ,야키 톤 마루와,https://retty.me/area/PRE13/ARE9/SUB901/100001590922/,050-5462-3880,이자카야 야키토리,"[월요일부터 금요일까지, 휴일 전]
 12:00-23:00
[태양, 토요일, 휴일]
 12:00-22:00
영업 시간은 하루에 따라 다를 수 있습니다
*불규칙한 휴일을 사용할 수 있습니다",자세한 내용은 공식 웹 사이트를 확인하십시오.,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"4-2-10 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Okachimachi Station 2 분 도보 (93m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (97m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 2 분 거리 (98m)",없음,120 석,없음,"연기 분리
흡연실 사용 가능
(2 층의 흡연 섹션) 자세한 내용은 상점에 문의하십시오.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://yakitonmaruwa.foodre.jp/
https://yakiton-maruwa.jp/#top",,"점심 시간, 흡연 허용, 쌀, 솔로, 고기, 저녁 식사, 연회 및 음주 파티, 결혼식, 파티, 세련된, 연말 파티, 새해 파티, 온라인 예약 가능, 점심, 온라인, 온라인, 온라인 예약, 온라인 예약, 온라인 예약, 온라인 예약, 온라인 예약, 온라인 예약, 모든 파티, 환영 파티, 인기있는 식당
다른 사용 장면을 참조하십시오",예,,,예,03-3837-2191,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001590922/archive/3127028-64df156593a26.jpg,불가능합니다,https://www.instagram.com/maruwayakiton/,,,,,,,,지불 방법 : 현금 만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
