restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,remarks,usage_scenes,wifi_available,phone_number,video,lecture,available_drinks,cooking_specialties,drinking_specialties,waiting,service,reservation,dress_code,child_friendly,pet_friendly,foreign_language_support,power_supply_available,additional_equipment,instagram,ic_card_payment,쇼핑 직무 정보,facebook,twitter,beer_maker
本格中華料理 陳家私菜 銀座店,정통 중국 요리 Chenjia Personal Dishes Ginza Branch,https://retty.me/area/PRE13/ARE2/SUB202/100001761147/,050-5462-7098,중국 요리 테이크 아웃 꼬인 국수 사천 요리 댄단 국수,"[하루 종일]
 11:30-15:00 L.O. 14:30
[월요일부터 금요일, 토요일, 휴일 전]
 17:30-23:00 L.O. 22:30
[일요일과 휴일]
 17:30-21:30 L.O. 21:00","*우리는 2024-2025 New Year Holidays에서 12 월 30 일, 31 일, 1 월 1 일 및 2 일에 문을 닫습니다. 이해 해주셔서 감사합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Hibiya Gourmet 1f, 1-7-24 Uchisai-Cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Uchisaicho 역에서 도보로 2 분 거리 (130m)
JR Yamanote Line / Shinbashi Station에서 도보로 4 분 거리 (290m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (330m)",없음,160 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://chin-z-ginza.foodre.jp/,"Hibiya 역에서 도보 3 분
Uchisaicho 역에서 도보로 5 분
Hibiya 역에서 299m","연말 파티, 점심, 저녁 식사, 개인 파티, 연회 및 음주 파티, 작별 파티, 환영 파티, 비 흡연, 급여 지불 지불 가능, 점심 음주, 캐주얼, 인기있는 레스토랑, 온라인 예약 가능
다른 사용 장면을 참조하십시오",없음,03-6811-3200,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001761147/archive/3461505-67429BA952B28.JPG,,,,,,,,,,,,,,,,,,,
個室ダイニング ウメ子の家 有楽町駅前店,개인 식당 Umeko 's House Yurakucho Ekimae 지점,https://retty.me/area/PRE13/ARE2/SUB202/100000731885/,050-5303-1803,이자카야,"[하루 종일]
 17:00-23:30 L.O. 22:30
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*업무 시간 이전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔",예,,"Yurakucho의 7f, 2-3-5 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (15m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (17m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보로 1 분 (56m)",없음,140 석,없음,"연기 분리
흡연실 사용 가능
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://umeko.dkdining.com/ginza//,"dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id
좌석 수수료가 있습니다. (코스 당시 가격에 포함)","저녁 식사, 고기, 개인 실, 연회 및 음주 파티, 전산 된 링크, 쌀, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 흡연 허용, 쿠폰 가능, 급여 판매 포인트 받기, 온라인 예약, 성인 날짜, 새해 새해 신생 날짜
다른 사용 장면을 참조하십시오",없음,050-2018-8860,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000731885/archive/3285371-6613f9eb7f227.jpg,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",고기 요리 전문,"맥주, 와인, 칵테일","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성",,,,,,,,,,,,,
いいとこ鶏 有楽町,잘 생긴 치킨 유라쿠치,https://retty.me/area/PRE13/ARE2/SUB202/100001707930/,050-5462-6077,이자카야 야키토리 해산물과 해산물,"[하루 종일]
 11:00-24:00 L.O. 23:30
전화 문의 (11 : 00-23 : 00)
*우리는 전화를 순서대로 응답 할 것이므로 전화를 걸지 않고 기다리십시오. (더 이상 23:00부터 연결할 수 없습니다)
*수의 사람들의 변경에 관한 취소 정책에 대해 통지 할 때는 위 시간 내에 확실히 알려주십시오.",하루 종일 개점,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"8 층, 난초 광장 빌딩, 1-2-11 유라 커코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (150m)
JR Yamanote Line / Yurakucho 역에서 도보로 2 분 거리 (150m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (230m)","없음
근처 (할인 없음) 사용 가능",100 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
7 명 이상",불가능합니다,"[공식적인]
https://iitokodori-yurakucho.foodre.jp/",,"점심 시간, 여자의 밤, 개인 실, 쌀, 저녁 식사, 모든 링크, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 캐주얼, 급여 판매 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,03-6635-1694,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001707930/archive/3442643-672a2abfed3f9.png,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2,999 엔 미만의 all-you-can-drink, all-you-can-drink 코스, 3,000 엔 -3,999 엔, All-You-can-drink 코스를 이용할 수 있습니다. 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 모두 당신을 마시고 있습니다.","우리는 고기 요리, 매장 내 생산 공간 및 매장 내 준비에 대해 특히","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","활발한 상점
차분한 분위기","놀라운 응답 가능
축하 가능성",사용 가능한 예약,없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,언어 지원 메뉴가 있습니다,,,,,,,,
なまいき 有楽町,내 마음은 유라쿠치입니다,https://retty.me/area/PRE13/ARE2/SUB202/100001747618/,050-5462-6063,이자카야 야키토리 해산물과 해산물,"전화 문의 (11 : 00-23 : 00)
*우리는 전화를 순서대로 응답 할 것이므로 전화를 걸지 않고 기다리십시오. (더 이상 23:00부터 연결할 수 없습니다)
*수의 사람들의 변경에 관한 취소 정책에 대해 통지 할 때는 위 시간 내에 확실히 알려주십시오.",하루 종일 개점,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-3-6 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho Station에서 도보로 1 분 (12m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (13m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보로 1 분 (34m)","없음
근처 (할인 없음) 사용 가능",100 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://namaiki-yurakucho.foodre.jp/",,"점심 식사, 여자 밤, 개인 실, 모든 링크, 고기, 사케, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 급여 판매 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,03-6635-2141,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001747618/archive/3357606-668f41a54aa45.jpg,,,,,,,사용 가능한 예약,,예,,,,,,,,,,
奥羽本荘 有楽町,Ouhonjo Yurakucho,https://retty.me/area/PRE13/ARE2/SUB202/100001623602/,050-5462-6061,이자카야 야키토리 해산물과 해산물,"[하루 종일]
 11:00-24:00
전화 문의 (11 : 00-23 : 00)
*우리는 전화를 순서대로 응답 할 것이므로 전화를 걸지 않고 기다리십시오. (더 이상 23:00부터 연결할 수 없습니다)
*수의 사람들의 변경에 관한 취소 정책에 대해 통지 할 때는 위 시간 내에 확실히 알려주십시오.",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",,"Kokonoe Kaikan Building B1F, 2-3-6 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho Station에서 도보로 1 분 (11m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (13m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보로 1 분 (34m)","없음
근처 (할인 없음) 사용 가능",150 석,없음,"연기 분리
((파티션) 흡연에 능숙하지 않은 고객을위한 우리는 완전히 개인 실에서 흡연을 분리 할 수있을 것입니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 150 명","[공식적인]
https://ouhonjo-yurakucho.foodre.jp/",,"점심, 개인 객실, 점심, 저녁 식사, 전산, 개인 실, 점심, 환영 파티, 급여표 받기 포인트, 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,03-6635-1644,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001623602/archive/3613192-682edb4a742ed.jpg,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔 All-You-Can-Drink 코스를위한 All-You-Can-Drink가 포함되어 있습니다.","우리는 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특히","맥주, 쇼카, 위스키, 칵테일","개방성이 있습니다
활발한 상점
차분한 분위기","놀라운 응답 가능
축하 가능성",사용 가능한 예약,없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,언어 지원 메뉴가 있습니다,불가능합니다,프로젝터 포함,,,,,,
全席個室 楽蔵うたげ 有楽町駅前店,모든 좌석 개인 실 RAKUZO UTAGE YURAKUCHO EKIMAE 매장,https://retty.me/area/PRE13/ARE2/SUB202/100000778943/,050-5303-1833,이자카야 야키토리,"[하루 종일]
 17:00-23:30 L.O. 22:30
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*업무 시간 이전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",예,PayPay,"3F, Yurakucho, 2-3-5, Chiyoda-Ku, 도쿄, Aune Yurakucho, 3F, 리셉션
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho Station에서 도보로 1 분 (18m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (20m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 1 분 (57m)",예,161 석,없음,"연기 분리
흡연실 사용 가능
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",불가능합니다,https://rakuzo.dkdining.com/yurakucho//,"dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id
좌석 수수료가 있습니다. (코스 당시 가격에 포함)","고기, 개인 실, 저녁 식사, 만찬, 마감, 쌀, 작별 파티, 환영 파티, 흡연, 새해 파티, 연말 파티, 쿠폰 이용 가능, 그룹 파티를위한 개인 객실, 급여 지불 포인트, Paypay Points, 온라인 예약 가능, 캐주얼
다른 사용 장면을 참조하십시오",예,050-2018-8861,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000778943/archive/2723191-628f04d5a291f.jpg,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",고기 요리 전문,"맥주, 사케, 쇼치, 칵테일","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성",,,,,,,,,,,,,
天ぷらとワイン大塩 日比谷店,튀김과 와인 오시오 Hibiya 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001554471/,050-5462-8033,이자카야 튀김,"[월요일 ~ 목요일, 토요일, 휴일 전]
저녁 식사 17:30-23:30 L.O. 23:00
[금]
저녁 식사 17:00-24:00 L.O. 23:30
[일요일과 휴일]
저녁 식사 17:30-22:00 L.O. 21:30
[월요일, 화요일, 수요일, 목요일, 금요일]
봐라. 요리 21:00 음료 21:30

[토요일, 일요일 및 공휴일]
봐라. 요리 21:00 음료 21:30

[개막 시간]
*점심 메뉴는 평일 오후 1시 30 분까지 이용할 수 있습니다.
재료가 떨어지 자마자 음식이 닫힙니다.
*우리는 하루 종일 주말과 휴일에 la carte 메뉴를 제공 할 것입니다.

[폐쇄 일]
없음",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-7-1 Uchisai-cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 4 분 거리 (250m)
Toei Mita Line / Uchisaicho 역에서 도보로 5 분 (340m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (390m)",없음,58 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://tenpuratowain-hibiya.foodre.jp/
https://tempura-oshio.com/",,"소녀의 밤, 솔로 식사, 저녁 식사, 데이트, 와인, 세련된, 금연, 세련된 점심 급여 지불 지불, 급여 지불 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,03-6268-8347,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001554471/archive/3555549-67da8c2a4b339.jpg,,,,,테라스가 있습니다,,,,,,,,,https://www.instagram.com/tempura_oshio_hby/,,,,,
個室居酒屋 鶏屋むさし 有楽町店,개인 실 Izakaya Toriya Musashi Yurakucho 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001686364/,050-5462-7871,이자카야 야키토리 해산물과 해산물,"[Sun, 월요일부터 목요일, 토요일 및 휴일]
 16:00-23:30
[금요일/휴가 전]
 16:00-24:00",,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Narumi Building 3F, 1-3-7 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (63m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (64m)
도쿄 메트로 진 자 라인 / Ginza Station에서 도보 2 분 (150m)",예,77 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"[공식적인]
https://toriyamusashi-yurakucho.foodre.jp/",,"개인 실
다른 사용 장면을 참조하십시오",예,03-6807-5640,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001686364/archive/3552329-67d7a7fd12cb5.jpg,,,,,,,,,,,,,,,,,,,
居酒屋 燈,Izakaya tou,https://retty.me/area/PRE13/ARE2/SUB202/100001697180/,050-5462-4439,이자카야 해산물과 해산물,"[월요일부터 금요일까지]
점심 11:30-14:00
[Sun, 월요일부터 목요일, 토요일 및 휴일]
저녁 식사 17:00-24:00
[금]
저녁 식사 17:00-29:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",예,,"1-6-8 Uchisai-cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 3 분 거리 (200m)
Toei Mita Line / Uchisaicho 역에서 도보로 5 분 (330m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 거리 (370m)",없음,120 석,없음,"연기 분리
(금연 및 흡연 좌석을 사용할 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명","[공식적인]
https://tomoshibi-shimbashi.foodre.jp/",,"쌀, 점심, 파티, 사후 파티, 심야, 심야, 흡연 허용, 점심, 연회 및 음주 파티, 연말 파티, 새해 파티, 페이 페이 포인트, 온라인 예약, 작별 파티, 환영 파티, 환영 파티,
다른 사용 장면을 참조하십시오",없음,080-7477-7373,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001697180/archive/318059-653f867eea.jpg,,2 시간 동안 당신이 다루는 것,생선 요리 전문,"맥주, 사케, 쇼치",,,사용 가능한 예약,,,,,불가능합니다,,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Waon, Quicpay, Au 지갑",,,,
チャヤ ナチュラル＆ワイルドテーブル日比谷シャンテ店,Chaya Natural & Wild Table Hibiya Chante Store,https://retty.me/area/PRE13/ARE2/SUB202/100000002504/,050-5461-4032,자연 식품 테이크 아웃 다이닝 바,"[하루 종일]
 11:00-21:00 L.O. 20:30","불규칙한 휴일
시설과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Hibiya Chante B2F, 1-2-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho Station (110m)에서 도보로 2 분
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (110m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (240m)","예
이웃 P (할인) 사용 가능","46 석
(테이블 시트는 주로 사용됩니다)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://chayam.co.jp/restaurant/hibiya/,,"소녀의 밤, 세련된 날짜, 기념일, 세련된 점심, 솔로 손님, 크리스마스 저녁 식사, 연말 파티, 어린이와 함께 즐거운, 유기농 요리, 비영리, 점심 소녀의 밤, 급여 지불 지불, Paypay Points 받기
다른 사용 장면을 참조하십시오",없음,03-3500-5514,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000002504/archive/3304040-663891009481d.jpg,"2,999 엔 미만의 코스",,"우리는 야채 요리, 생선 요리, 현지 성분, 유기농 야채, 알레르기, 채식 메뉴, 어린이 메뉴 및 매장 내 준비를 수용 할 수 있습니다.","맥주, 와인, 위스키, 칵테일",상업용 시설에 위치합니다,"축하 가능성
테이크 아웃 가능성",사용 가능한 예약,,"예
유아 및 어린 자녀, 유치원 어린이, 초등학생, 기저귀 사용 가능, 어린이 메뉴 가능",불가능합니다,영어,불가능합니다,,,,,,,
