restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,ic_card_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,pet_friendly,power_supply_available,wifi_available,phone_number,video,instagram,foreign_language_support,qr_code_payment,facebook,remarks,additional_equipment,twitter,beer_maker,온라인 예약
ウォルプタス 東京駅グランルーフ店,Wolputus Tokyo Station Granroof 매장,https://retty.me/area/PRE13/ARE15/SUB1504/100000839235/,050-5462-2340,이탈리아 요리 카페,"[월요일부터 금요일까지]
 11:00-22:00 L.O. 21:00
[태양, 토요일, 휴일]
 11:00-21:00 L.O. 20:00
영업 시간은 하루에 따라 다를 수 있습니다
카페 시간 동안 개방은 예약 상태에 따라 다릅니다.
상점에 문의하십시오.","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet","2f 그랜드 루프 1-9-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (56m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보 5 분 (370m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 6 분 거리 (470m)",예,84 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://volputas.foodre.jp/
https://www.gransta.jp/mall/gransta_yaesu/volputas/","4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.",2 시간 동안 당신이 다루는 것,우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 식사, 소녀의 밤, 아이들과 함께 즐거운 시간, 솔로 점심, 데이트, 와인, 유기농 요리, 테라스, 비영리, 점심 데이트, 여자의 밤, 급여 지불 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
차분한 분위기
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,불가능합니다,예,03-6269-9505,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000839235/archive/2788071-62da09d600db9.jpg,,,,,,,,,
デリツィオーゾ フィレンツェ,Delicioso Florence,https://retty.me/area/PRE13/ARE15/SUB1504/100000438819/,050-5304-3643,파스타,"[tue-fri]
점심 11:00-15:30 L.O. 14:30
저녁 식사 17 : 30-22 : 00 L.O. 21:00
[태양, 토요일, 휴일]
점심 11:00-16:30 L.O. 15:00
저녁 식사 17:00-22:00 L.O. 21:00","매주 월요일
새해 휴일 (확인하십시오)
시설과 동일합니다
공휴일이라면 다음날 문을 닫습니다.
*신마루 건물과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca","신 마루치 건물 건물 5F, 1-5-1 마루치치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 3 분 (230m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (320m)
도쿄 메트로 마루치 노선 / 오타 마시 (도쿄) 역에서 도보로 7 분 거리 (490m)","예
특별 P 사용 가능","46 석
(하위 좌석과 소파 좌석은 이용할 수 없습니다.)",없음,"불가능합니다
(같은 바닥에 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://delizioso-firenze.foodre.jp/
https://delizioso-firenze.owst.jp","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채 및 매장 준비에 특히","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁, 고기, 생일, 개인 실, 성인 숨겨울, 와인, 연회, 연회, 엔터테인먼트, 엔터테인먼트, 아이들과 함께 즐기기, 온라인 예약 가능, 연말 파티, 크리스마스 저녁, 새해 파티, 인기있는 식당, 크리스마스 2024
다른 사용 장면을 참조하십시오","차분한 분위기
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성",평상복,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,불가능합니다,없음,03-3211-8055,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000438819/archive/121586-587ed627753e3.jpg,https://www.instagram.com/delizioso_firenze,"영어 이탈리아어
직원과 함께 언어 지원 메뉴가 있습니다",,,,,,,
串あげもの 旬ｓ,꼬치 계절,https://retty.me/area/PRE13/ARE15/SUB1504/100000003138/,050-5461-6103,이자카야 꼬치,"[월요일부터 금요일까지]
점심 11:00-14:30 L.O. 14:00
[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
점심 11:00-15:00 L.O. 14:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Quicpay","도쿄 건물 Tokia B1F, 2-7-3 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 5 분 (340m)
JR Yamanote Line / Yurakucho 역에서 도보로 5 분 (380m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 6 분 (440m)","예
특별 P 사용 가능","30 석
(카운터 좌석 : 10 석, 테이블 좌석 : 20 석)","예
(두 개의 테이프 좌석으로 나뉩니다)","불가능합니다
(상점은 완전히 금연합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://kushiagemonosyuns-marunouchi.foodre.jp/
http://www.unzen.com/","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","4,000 엔에서 4,999 엔까지의 싱글 링크를 포함한 코스가 있으며, 5,000 엔 이상의 링크, 한 시간 반 동안 싱글 링크를 포함한 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",,"점심, 저녁, 쌀, 고기, 점심, 점심, 엔터테인먼트, 데이트, 여자의 밤, 결혼 기념일, 약혼 저녁 식사, 기념일, 싱글 OK, 세련된, 쿠폰, 비 흡연, 세련된 점심, 온라인 예약 가능, 연말-엔드 파티
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳",,,예,불가능합니다,예 (무료),예,03-5293-7588,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000003138/archive/1840070-5f55bd614a19e.jpg,,영어 중국어,,,,,,,
やきとん酒場 大手町とら八,야키톤 바 오타 마치 토라히,https://retty.me/area/PRE13/ARE15/SUB1504/100000952138/,050-5262-7027,이자카야,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
저녁 식사 16 : 30-23 : 20 L.O. 22:40
[토양]
저녁 식사 16 : 30-23 : 00 L.O. 22:15
자세한 내용은 공식 웹 사이트를 확인하십시오.","매주 일요일과 공휴일
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-5-9 Otemachi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 2 분 (120m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (250m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (300m)","없음
근처 (할인 없음) 사용 가능",200 석,예,"연기 분리
흡연실 사용 가능
(담배를 피울 수있는 흡연실 이용 가능/가열 된 담배 흡연실에서 이용할 수 있습니다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",불가능합니다,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","4,000 엔에서 4,999 엔, 2 시간 동안 온전한 링크, 2 시간 반 동안 싱글 링크를 포함하는 코스가 있습니다.","우리는 고기 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"점심, 점심, 개인 실, 저녁 식사, 연회, 파티, 날짜, 여자 파티, 그룹 데이트, 단일 파티, 환영 파티, 즐기기, 개인 실 점심, 개인 방 날짜, 점심 날짜, 점심 소녀 파티, 개인 객실, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
골목을 향합니다",,없음,예,불가능합니다,,예,03-3271-0388,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000952138/archive/2136232-5fcdb12f0cf93.jpg,https://www.instagram.com/torahachi_official,,PayPay,,,,,,
肉ビストロ&クラフトビール ランプラント,고기 비스트로 및 크래프트 맥주 램프 식물,https://retty.me/area/PRE13/ARE15/SUB1504/100000789943/,050-5462-2816,스테이크 크래프트 맥주 바 비스트로,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17 : 30-23 : 00 L.O. 22:00
[태양, 토요일, 휴일]
 11:30-21:30 L.O. 21:00
음식 lo22 : 00 음료 lo22 : 30 주일 만
토요일, 일요일, 공휴일, 점심 메뉴 LO15 : 00","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Nanaco, Rakuten Edy, Waon, Quicpay","Marunouchi Nakadori 빌딩 1f, 2-2-3 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 1 분 거리 (73m)
JR Yamanote Line / 도쿄 역에서 도보 3 분 (180m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 거리 (230m)","예
이웃 P (할인) 사용 가능","80 석
(테라스 좌석 이용 가능)","예
(2 석)","연기 분리
(흡연은 테라스 좌석에서 허용됩니다 (시간에 따라 다름))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 34 명
예약 할 수있는 제한된 수의 사람들 : 64 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명","[공식적인]
https://lempreinte.foodre.jp/","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 8,000 ~ 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 5,000 엔 이상, 2 시간 동안 all-you-can-drink가 포함됩니다.",,,사용 가능한 예약,"여자 밤, 점심, 점심, 저녁 식사, 개인 실, 데이트, 테라스, 생일, 새해 파티, 개인 방 날짜, 점심 날짜, 여자 밤, 공예 맥주 지불 페이 지불 이용 가능 환영 파티
다른 사용 장면을 참조하십시오",테라스가 있습니다,소믈리에가 있습니다,,"예
유아, 유치원 어린이, 초등학생을 환영합니다","예
상점 밖에서 사용할 수 있습니다",,예,03-6212-6882,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000789943/archive/3010057-6414205063022.png,,,PayPay,https://www.facebook.com/lempreinte.marunouchi/,"PayPay, Rakuten Pay, DPAY, Line Pay Paymentaby",,,,
もうやんカレー大手町店,Moyan Curry Otimachi 지점,https://retty.me/area/PRE13/ARE15/SUB1504/100001325347/,050-5462-2910,카레 이자카야 고기 바 테이크 아웃,"[월요일부터 금요일까지]
점심 11:30-15:00 L.O. 14:30
저녁 식사 18:00-23:00 L.O. 22:30
[토요일/휴일]
 11:30-16:00 L.O. 15:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Otemon Tower Eneos Building B1 (Otemachi Station Exit C6a)
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보 1 분 (70m)
도쿄 메트로 토자이 라인 / 테이크 바시 스테이션에서 도보로 5 분 (400m)
JR Yamanote Line / 도쿄 역에서 도보로 6 분 (460m)","예
근처 (할인 없음) 사용 가능","100 석
(개인 실 : 2 층에 30 명을위한 개인 실)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명","[공식적인]
https://moyan-otemachi.foodre.jp/
https://www.moyan.jp/otemachi/",,,,,사용 가능한 예약,"소녀 파티, 마시는 점심, 점심, 개인 실, 솔로 엔터테인먼트, 저녁 식사, 고기, 쌀, 급여 지불, 크리스마스 저녁 식사, 크리스마스 저녁, 바삭 바삭한 연도 파티, 바삭한 새해 파티, 환영 파티, 인기있는 식당 예약
다른 사용 장면을 참조하십시오",테라스가 있습니다,,,예,,예 (무료),예,090-3348-7018,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001325347/archive/3068184-647725a40f834.png,,,PayPay,,,,,,
BRIANZA TOKYO,브라이언자 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100001587245/,03-6262-7862,이탈리아 요리 파스타 고기 바,"[하루 종일]
점심 11:00-15:00
저녁 식사 17:30-23:00
■ 개장 시간
좌석은 예약 시간으로부터 2 시간 동안 이용할 수 있습니다.","매월 첫 번째 일요일 매월 셋째 일요일마다
*영업 시간은 통지없이 변경 될 수 있습니다.","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당","Suica, Quicpay","2-6-4 오타 마시, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (33m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 2 분 (140m)
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 3 분 거리 (170m)",예,"120 석
(can 개인 실은 최대 12 명까지 앉을 수 있습니다. *카운터에 7 석 (스탠딩), 테라스에 28 석, 테이블에 85 석 *와인이 4,000 엔으로 충전됩니다.)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,"[공식적인]
https://brianza-tokyo.foodre.jp/
http://www.la-brianza.com/",,,"우리는 야채 요리, 생선 요리 및 채식 메뉴에 대해 특별합니다.","쇼 쿠, 와인, 칵테일",사용 가능한 예약,"여자의 밤은 솔로 손님, 크리스마스 저녁 식사, 와인 음료, 세련된, 점심, 저녁 식사, 점심, 여자 밤, 세련된, 점심, 생일, 평화 예약, 온라인 예약 가능
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
나이트 뷰를 볼 수 있습니다",,없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001587245/archive/3389812-66d1b7e508a0e.jpg,https://www.instagram.com/brianzatokyo/,,,,"취소 정책에 대해
(사람들의 수는 다음과 같이 변경됩니다.)
전날 / 1 사람의 50%
이벤트 당일 100% 연락처 / 1 사람
100% / 1 인 날에 연락이 없습니다
〇 8 명 이상의 사람 또는 개인 실에 대한 예약.
7 일 전 / 1 명 중 50%
3 일 전 / 1 명 중 100%
*좌석 만있는 예약, 1 인당 5,000 엔",,,,
BRUSSELS 大手町店,브뤼셀 오타 마치 상점,https://retty.me/area/PRE13/ARE15/SUB1504/100000740253/,050-5262-4368,스테이크 이자카야 고기 바 맥주 바 크래프트 맥주 바 와인 바 오믈렛 쌀,"[월요일부터 금요일까지]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:00
[토양]
 15:00-22:00 L.O. 21:30","매주 일요일과 공휴일
[월요일부터 금요일까지] 저녁 식사
음식 L.O 22:00
L.O 22:30 음료","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,,"Otemachi Financial City South Tower 1f, 1-9-7 Otemachi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Kanda (도쿄) 역 8 분 (610m)
JR Yamanote Line / 도쿄 역에서 도보로 10 분 (770m)",,"32 석
(26 테이블)","예
(카운터에서 6 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://brussels-otemati.foodre.jp/
http://www.brussels.co.jp",,,,,,"점심, 쌀, 점심, 혼자서, 생일, 와인, 와인, 환영 파티, 애프터 파티, 새해 파티, 날짜, 점심 날짜, 크래프트 맥주, 지불금, Paypay Points
다른 사용 장면을 참조하십시오",,,,,,,,03-6225-2696,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000740253/archive/2045016-5f9ec9f31d300.png,,,PayPay,,,,,,
Ryukyu Chinese Dining TAMA MARUNOUCHI,Ryukyu Chinese Dining Tama Marunouchi,https://retty.me/area/PRE13/ARE15/SUB1504/100000048924/,03-3213-2277,식당 바이자카야 소바 (Soba) 오키나와 요리,"[월요일부터 금요일과 토요일]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00
[일요일과 휴일]
점심 11:00-14:30 L.O. 14:00
저녁 식사 17:00-22:00 L.O. 21:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Marunouchi Brick Square B1, 2-6-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Yurakucho 역에서 도보로 6 분 (420m)
JR Yamanote Line / 도쿄 역에서 도보로 6 분 (420m)",없음,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://tama-marunouchi.foodre.jp/
https://www.tama2007.jp/pages/1373408/page_201710250208",,,,,사용 가능한 예약,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 음료 와인, 세련된, 저녁 식사, 쌀, 흡연, 세련된 점심, 성인 연말 파티, 바삭 바삭한 연말 파티, 성인 새해-엔드 파티, 바삭한 새 연해 말단 파티
다른 사용 장면을 참조하십시오",,,,,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000048924/archive/3480396-675f95af4b900.jpg,,,,,,,,,
豚捨 丸の内店,돼지 고기 Slurp Marunouchi 매장,https://retty.me/area/PRE13/ARE15/SUB1504/100000792555/,050-5304-0710,스키야키 이자카야,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 21:00","하루 종일 개점
Kitte 빌딩과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"5F, 2-7-2 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 3 분 (220m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 5 분 거리 (380m)
JR Yamanote Line / Yurakucho 역에서 도보로 7 분 거리 (500m)",예,54 석,예,"불가능합니다
흡연실 사용 가능
(점심 시간에 금연, 흡연은 개인 실에만 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",예,"[공식적인]
https://butasute.foodre.jp/",,,,,,"마시는 점심, 저녁 식사, 쌀, 점심, 솔로, 고기, 음료수, 음료 와인, 환영 파티, 예약, 파티, 파티/음주 파티, 작별 파티, 개인 점심, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,,없음,03-6256-0863,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000792555/cover/23182-56b2cd44ffb6.jpg,,,,,"예약을 취소하면 다음 수수료가 청구됩니다.
하루의 취소 (연락 없음) : 100% 코스 요금
당일 취소 (수신 필수) : 100% 코스 수수료",,,,
