식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,사용 장면,영상,QR 코드 결제,주차,사적인,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,대기,서비스,아이들이 들어 오세요,맥주 제작자,추가 장비,페이스 북,당신이 마실 수있는 모든 것,애완 동물,Wi-Fi 사용,외국어 지원,IC 카드 지불,인스 타 그램,드레스 코드,전화 번호,발언,전원 공급 장치 사용,X (트위터),지역
かぶき 本店,가부키 메인 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100000034973/,03-3252-0936,해산물과 해산물 요리 이자카야 사시미,"[월요일부터 금요일까지]
점심 11:00-14:00
저녁 식사 17:00-24:00 L.O. 23:30
[토양]
저녁 식사 15:00-23:00 L.O. 22:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,"Daido Building 1f, 3-5-5 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 (170m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (450m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 6 분 거리 (460m)",50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://sardine-kabuki.com/,"점심, 개인 실, 싱글 룸, 크리스마스 저녁 식사, 술을 마실 수 있습니다. 세련된, 저녁 식사, 쌀, 비 흡연, 개인 실, 점심, 세련된, 개인 실, 엔터테인먼트, 쇼치, 쇼치,
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33871758.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
宝山 いわし料理 大松,Hozan Sardine Cuisine Omatsu,https://retty.me/area/PRE13/ARE11/SUB1101/100001186161/,03-3252-6540,해산물과 해산물 요리 이자카야 서있는 음료 사시미,"[월요일부터 금요일까지]
 11 : 20-14 : 00
 17:00-23:00
[토양]
 17:00-22:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"Festa Building 1f, 2-10-7 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 (190m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (280m)
JR Yamanote Line / Akihabara 역에서 도보로 6 분 (480m)",46 석,없음,,예,https://a712600.gorp.jp/,"점심, 연회 및 음주 파티, 개인 객실, 독신 OK, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 술 마시기, 세련된, 저녁 식사, 쌀, 개인 실, 점심, 스타일리쉬, 개인 실
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/34313418.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
神田新八 本店,칸다 신파치 메인 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100000074873/,03-3254-9729,Izakaya 일본 음식 테이크 아웃 일본 음식 Yudoufu 해산물/해산물 요리 Fugu 요리 Anko Hotpot Yakitori 담배,"[월요일부터 금요일까지]
 16:00-23:30 L.O. 22:30
[태양, 토요일, 휴일]
 16:00-22:00 L.O. 21:00",하루 종일 개점,"점심 : ~ 8,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB","2-9-1 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (120m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 (390m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (460m)",120 석,"예
(완전 흡연 허용)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",https://www.kanda-shinpachi.com/,"개인 객실, 약혼 저녁 식사 파티, 솔로 손님, 엔터테인먼트, 크리스마스 저녁 식사, 음료수, 주차, 세련된, 유기농 요리, 개인 요리, 저녁 식사, 쌀, 비 조화, 세련된, 개인 실, 개인 실, 엔터테인먼트
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33697269.jpg,,"없음
근처 (할인 없음) 사용 가능","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 가능 (좌석) : 120 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
최대 200 명이 예약 할 수 있습니다 (스탠드 식사 식사)","5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 알레르기가있는 고객을 수용 할 수 있으며 어린이 메뉴, 요리사는 유명한 레스토랑에서 훈련을 받았으며 유명한 요리사, 주인 요리사, 매장 내 준비","맥주, 사케, 쇼치, 와인, 위스키, awamori",사용 가능한 예약,"조용한 가게
활발한 상점
차분한 분위기
골목을 향합니다","축하 가능성
휴대품 룸이 있습니다
소믈리에가 있습니다
테이크 아웃 가능성","불가능합니다
아이들은 환영합니다, 유치원 어린이는 환영 받고, 초등학생을 환영하고, 이유식을 가져오고, 어린이 메뉴를 이용할 수 있고, 알레르기 음식을 수용 할 수 있습니다","기린, 사포로, 현지 맥주",휴대품 룸이 있습니다,,,,,,,,,,,,,칸다
Big-Pig 神田カープ本店,Big-Pig Kanda 잉어 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100000026746/,03-3255-6262,Okonomiyaki Izakaya 현지 요리,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:15
[태양, 토요일, 휴일]
점심 13:00-16:00
저녁 식사 16:00-21:00 L.O. 20:15
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
https://bigpig-kanda.com/","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
프로 야구는 일요일과 공휴일에 문을 열 수 있으므로 확인하려면 저희에게 전화하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","후지 엘리베이터 빌딩 B1F, 3-4-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 거리 (200m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 (500m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 7 분 거리 (540m)",120 석,예,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","[공식적인]
https://bigpigkandacarphonten.foodre.jp/
https://bigpig-kanda.com/",올스 잉크 링크 식사 연말 파티 새해 파티 연회 및 음주 파티 급여 지불 지불 이용할 수있는 작별 파티를 환영 파티 개인 객실 저녁 식사,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000026746/archive/2686295-6263cc08cac4a.jpg,PayPay,"없음
근처 (할인 없음) 사용 가능",예,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.",우리는 생산 영역에 대해 특히 그렇습니다. 매우 매운 메뉴가 있고 매장 내에서 준비된,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"개방성이 있습니다
천장이 높습니다
활발한 상점","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",예,,"TV 및 모니터, 오디오 장비",https://www.facebook.com/bigpigkanda/,"3,000 엔에서 3,999 엔까지의 싱글 링크와 4,000 엔에서 4,999 엔까지의 코스가 포함 된 코스가 있습니다.",불가능합니다,예,"영어
언어 지원 메뉴가 있습니다",,,,,,,,칸다
BAR DO-ZO,바 도조,https://retty.me/area/PRE13/ARE11/SUB1101/100001764712/,050-5462-7412,술집,"[월요일부터 금요일과 토요일]
 20:00-5:00",매주 일요일,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","2 층, Higashi Building, 3-7-3 Kanda Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (360m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (370m)",15 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"늦은 밤에 문을 연, 개인 파티, 파티/음주 파티, 흡연 허용, 파티 후, 첫 번째 열차까지 문을 엽니 다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001764712/archive/3495208-6782019cd0b62.jpg,,"없음
근처 (할인 없음) 사용 가능",예,,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"개방성이 있습니다
활발한 상점","놀라운 응답 가능
축하 가능성",불가능합니다,,"노래방, TV 및 모니터, 다트",,"모든 금액 가격 : 3,000-4,999 엔, 2 시간의 싱글 링크",불가능합니다,예,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet",https://www.instagram.com/bar.do_zo,없음,03-3251-8531,,,,칸다
ちょいす,조금,https://retty.me/area/PRE13/ARE11/SUB1101/100001050419/,050-5304-1121,이자카야 해산물과 해산물 요리 일본 음식,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30",매주 토요일마다 일요일 휴가,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔",예,"B1, 1-4 Y101 건물, Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 1 분 (72m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 1 분 거리 (79m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (420m)","35 석
(35 석 (카운터, 테이블, 반 개인 객실 포함)))))",예,"예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://choice.foodre.jp/","저녁 식사, 연회 및 음주 파티, 술, 고기, 연말 파티, 새해 파티, 캐주얼, 세련된, 새해 파티, 신입생 파티, 성인 연말 파티, 빠른 새해 파티, 신속 새해 파티
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001050419/archive/186501-58ee10dcbfeb9.jpg,,,,,,,,,,,,,,,,,,,,,03-3256-3993,,,,칸다
黒てつ家 本店,Kurotetsuya 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100000777215/,03-6206-0630,Izakaya 카레 쌀 그릇 돼지 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11 : 30-14 : 00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"Kanda Mikuracho 9, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Sobu 메인 라인 / 신-니혼 바시 (Shin-Nihonbashi Station)에서 도보로 3 분 거리 (220m)
도쿄 메트로 히비야 라인 / 코 덴 마흐 코 스테이션에서 도보 5 분 (370m)
JR Yamanote Line / Kanda (도쿄) 스테이션 5 분 도보 (390m)",18 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 고기, 흡연 허용, 세련된 점심, shochu, paypay 지불 가능, 요리 및 연말 파티, 요리 및 새해 파티
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34050704.jpg,PayPay,,,,,,,,,,,,https://www.facebook.com/kurotetuya96/,,,,,,,,,,,,칸다
Big-Pig 神田カープ本店,Big-Pig Kanda 잉어 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100000026746/,03-3255-6262,Okonomiyaki Izakaya 현지 요리,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:15
[태양, 토요일, 휴일]
점심 13:00-16:00
저녁 식사 16:00-21:00 L.O. 20:15
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
https://bigpig-kanda.com/","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
프로 야구는 일요일과 공휴일에 문을 열 수 있으므로 확인하려면 저희에게 전화하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","후지 엘리베이터 빌딩 B1F, 3-4-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 거리 (200m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 (500m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 7 분 거리 (540m)",120 석,예,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","[공식적인]
https://bigpigkandacarphonten.foodre.jp/
https://bigpig-kanda.com/",올스 잉크 링크 식사 연말 파티 새해 파티 연회 및 음주 파티 급여 지불 지불 이용할 수있는 작별 파티를 환영 파티 개인 객실 저녁 식사,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000026746/archive/2686295-6263cc08cac4a.jpg,PayPay,"없음
근처 (할인 없음) 사용 가능",예,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.",우리는 생산 영역에 대해 특히 그렇습니다. 매우 매운 메뉴가 있고 매장 내에서 준비된,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"개방성이 있습니다
천장이 높습니다
활발한 상점","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",예,,"TV 및 모니터, 오디오 장비",https://www.facebook.com/bigpigkanda/,"3,000 엔에서 3,999 엔까지의 싱글 링크와 4,000 엔에서 4,999 엔까지의 코스가 포함 된 코스가 있습니다.",불가능합니다,예,"영어
언어 지원 메뉴가 있습니다",,,,,,,,칸다
caiman table,카이만 테이블,https://retty.me/area/PRE13/ARE11/SUB1101/100001281891/,050-5303-6581,이탈리아 파스타 바,"[월요일부터 금요일까지]
점심 11:30-13:30
저녁 식사 18:00-23:00 L.O. 21:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Kadokura Building 1f, 4-5-15 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Kanda (도쿄) 역 3 분 (240m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (310m)","23 석
(카운터 좌석/17 석, 6 인 상자 좌석/1 좌석)",예,"불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://caiman-table.foodre.jp/
https://www.caiman-table.com","생일, 솔로 손님, 그룹 데이트, 저녁 식사, 점심 날짜, 맛있는 레스토랑 및 저렴한 레스토랑, 급여 지불 지불, 온라인 예약 가능, 연말 파티, 크리스마스 저녁 식사, 새해 파티, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001281891/archive/940438-5ce7b97595a77.jpg,PayPay,"없음
근처 (할인 없음) 사용 가능",예,"5,000 ~ 5,999 엔 코스로 제공됩니다","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료 및 요리사가 유명한 레스토랑에서 훈련을 받았으며 매장 내에서 준비했습니다.",맥주와 와인이 있습니다,저녁 식사 시간에만 사용할 수 있습니다,"차분한 분위기
숨는 곳",축하 가능성,,,,,"5,000 엔 이상을 사용할 수 있습니다",,예,,,,없음,03-3241-0151,"∎ 점심 코스 만 예약 할 수 있습니다.
・ 금요일에 많은 예약이 있으므로 일찍 예약하십시오.",예 (무료),,칸다
名代カツ揚げ つらら,유명한 튀김 큐렛 ICilla,https://retty.me/area/PRE13/ARE11/SUB1101/100001770504/,050-5462-7952,이자카야는 식사 Tonkatsu Rice Bowl을 설정합니다,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-15:00
저녁 식사 17:00-22:00 L.O. 21:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드","Kanda Square 1f, 2-2-1 Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 3 분 거리 (240m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (240m)","48 석
(28 개의 카운터 좌석, 20 개의 테이블 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://katsuage-tsurara.com/,"점심, 쌀, 저녁 식사, 급여 지불 지불 가능",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001770504/archive/3541415-67ca4cbddd585e.jpg,PayPay,없음,예,,,,사용 가능한 예약,,,,,,,,,없음,,,https://www.instagram.com/katsuage_tsurara/,,03-6285-0800,,,,칸다
