식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,영상,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
しゃぶ禅 渋谷店,Shabu Zen Shibuya 상점,https://retty.me/area/PRE13/ARE8/SUB804/100000039335/,03-3485-0800,Shabu-Shabu,"[하루 종일]
 17:00-23:30 L.O. 22:30
*모두 오후 9시 30 분까지 올라갈 수 있습니다. 이해 해주셔서 감사합니다.",하루 종일 개점,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Shibuya Creston Hotel B1F, 10-8 Kamiyamacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya 역에서 도보로 8 분 (610m)
Keio Inokashira Line / Shinsen 역에서 도보로 9 분 (660m)
도쿄 메트로 치 요다 라인 / 요요 기 코엔 스테이션에서 도보 10 분 (750m)","없음
근처 (할인 없음) 사용 가능","160 석
(100 개의 테이블 좌석, 40 개의 타타미 좌석)",없음,"예
완전히 흡연이 허용됩니다
(상점 밖에서 흡연 공간)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 120 명
최대 154 명을 임대 할 수 있습니다","[공식적인]
https://shabuzen-shibuya.foodre.jp/
http://shibuya.shabuzen.jp/","・ 서비스 요금 : 10%
・ 테이블 요금 : 500 엔","4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 5,000 엔 이상, 2 시간 동안 온전한 링크","우리는 야채 요리, 고기 요리 및 재료를 생산하고, 알레르기가있는 고객을 수용 할 수 있으며, 채식 메뉴를 가질 수 있으며, 요리사는 유명한 식당에서 훈련을 받았으며 매장 내에서 준비했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"연회 및 음주 파티 고기 저녁 식사 생일 무료 Wi-Fi Sake 이용 가능 all-you-can-eat all-you-eat all-you-eat 개인 방 작별 파티 엔터테인먼트 싱글 OK Drick Daytime Date all-you-can-drink 그룹 날짜 새해 파티 개인 객실 날짜
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
숨는 곳
골목을 향합니다
호텔에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
휴대품 룸이 있습니다
소믈리에가 있습니다
테이크 아웃 가능성
배송 가능",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,예 (무료),예,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000039335/archive/345622-673c379fb7b0a.jpg,,,,,,,,,
炭火串焼 千串屋 渋谷店,숯 구운 꼬치 Senkuya Shibuya 지점,https://retty.me/area/PRE13/ARE8/SUB806/100000456335/,050-5303-5292,야키토리 일본 음식,"[월요일부터 금요일까지]
저녁 식사 17:00-24:00 L.O. 23:00
[Sun, Saturday, Holidays, 휴일 전]
저녁 식사 16 : 30-24 : 00 L.O. 23:00
2 시간 일정이 있습니다.","하루 종일 개점
새해 휴일 (확인하십시오)
12/31-1/4","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드",,"Hy Building B1, 2-6-14 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (320m)
Keio Inokashira Line / Shinsen 역에서 도보 8 분 (580m)
도쿄 메트로 치 요다 라인 / 메이 지 징 우마 역에서 도보 16 분 (1.3km)",없음,30 석,예,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(● 상점의 모든 좌석, 난방 담배가 허용됩니다. ● 외부 흡연 구역이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",불가능합니다,"[공식적인]
https://senkushiya.foodre.jp/",,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다",,우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,,사용 가능한 예약,"개인 실, 엔터테인먼트, 솔로 손님, 저녁 식사, 환영 파티, 연회 및 음주 파티, 무료 WiFi, 세련된 개인 실, 날짜, 연말 파티, 작별 파티, 흡연 허용, 개인 실, 크리스마스 2024, 성인 연말 파티, 스타일리쉬
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳",,평상복,,불가능합니다,,예,영어,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000456335/archive/729364-5c7dcb72539b5.jpg,03-5428-1530,,,,,,,,
個室完備 和牛焼肉 食べ放題 炭治郎 渋谷店,"이용 가능, 모든 일본 쇠고기 야키니 쿠 탄 지로 시부야 지점",https://retty.me/area/PRE13/ARE8/SUB802/100001648599/,050-5262-9569,야키 니쿠 이자카야 호르몬,"[하루 종일]
 11:30-23:00 L.O. 22:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
11시 30 분부터 열립니다 !!
한정된 점심 식사 식사도 meal","불규칙한 휴일
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Atlas Shibuya Building, 30-3 Udagawacho, Shibuya-Ku, Tokyo의 4 층
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (240m)","없음
근처 (할인 없음) 사용 가능",50 석,"없음
(혼자라도 사용할 수 있습니다.)","불가능합니다
흡연실 사용 가능
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(흡연 구역이 가능합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 식사 식사) 48 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명","[공식적인]
https://tanjiro-shibuya.foodre.jp/
https://tanjiro-shinjyuku.com/","PayPay, Merpay 및 DPay를 사용할 수 있습니다","3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2,999 엔 미만의 all-you-can-drink, all-you-can-drink 코스, 3,000 엔 -3,999 엔, All-You-can-drink 코스를 이용할 수 있습니다. 5,000 엔, 1 시간 반 동안 온전한 링크, 2 시간 동안 완전히 흠뻑 젖고, 2 시간 반 동안 완전히 흠뻑 젖고, 3 시간 반 동안, 3 시간 반 동안 싱글 링크를 3 시간 반 동안 링크하면","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 알레르기, 채식 메뉴, 슈퍼 매운 메뉴, 요리사가 해외 훈련 경험을 가지고 있으며, 유명한 식당에서 훈련 경험을 가지고 있으며, 요리사가 준비한 요리사가 있으며, 스토어에서 준비된 요리사는 고객에게 수용 할 수 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"개인 객실, 점심, 점심, 점심, 저녁 식사, 저녁, 저녁, 저녁 식사, 여학생의 밤, 엔터테인먼트, 엔터테인먼트, 모든 당신이 흠뻑 젖은, 와인, 환영 파티, 지불금 지불 허가, 모든 당신이 먹는 것, 전적으로 당신이 다진 링크, 인기있는 레스토랑, 캐주얼, 온라인 예약, 온라인 예약 가능
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다
테이크 아웃 가능성",없음,"예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",불가능합니다,예 (무료),예,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001648599/archive/274442-62a7f884899b.jpg,03-6277-5053,,,,,,,,
神戸鉄板焼 白秋,고베 테스파 냐키 흰색 가을,https://retty.me/area/PRE13/ARE8/SUB803/100000003760/,050-5262-9434,Steak Yakiniku Yakisoba Okonomiyaki 테이크 아웃,"[하루 종일]
저녁 식사 17:30-21:00
이것은 도쿄의 시간 단축 요청에 따른 것입니다.","매주 월요일에 불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : 비즈니스 시간
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"MCD 빌딩 B1F, 17-10 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (200m)",없음,"20 석
(좌석 : 8 개의 카운터 좌석, 12 개의 테이블 *Covid-19의 확산을 방지하기 위해 실제로 예약을 위해 좌석 수를 줄였습니다. 자세한 내용은 저희에게 연락하십시오.)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://hakushu.foodre.jp/",,"7,000 엔에서 7,999 엔으로 제공됩니다",,고기 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키",저녁 식사 시간에만 사용할 수 있습니다,"저녁 식사, 엔터테인먼트, 쌀, 고기, 싱글, 싱글 데이트, 술을 마시기, 와인을 마시기, 페이 페이 포인트 받기, 온라인 예약 가능, 연말 파티, 새해 파티, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",숨는 곳,테이크 아웃 가능성,,예,불가능합니다,,예,언어 지원 메뉴가 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000003760/archive/2287261-605fdd2cca219.jpg,03-3461-0546,https://hakushu.foodre.jp/#recruit,https://www.facebook.com/hakusyu,https://x.com/hakushutokyo,,,,,
ごち,식도락가,https://retty.me/area/PRE13/ARE8/SUB802/100000010200/,050-5304-3509,이자카야 야키토리,"[하루 종일]
저녁 식사 17:00-24:00 L.O. 23:30","새해 휴일 (확인하십시오)
우리는 새해 공휴일 동안 12 월 31 일부터 1 월 4 일까지 문을 닫습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"13-9 Udagawacho, Shibuya-Ku, 도쿄, 2B1F, Kn Shibuya
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (180m)
Keio Inokashira Line / Shinsen 역에서 도보로 9 분 (660m)",예,"20 석
(표 : 2 인, 3 인, 5 인)","예
(11 개의 카운터 좌석)","예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(상점 내부에는 전자 담배 만 허용됩니다. 하루 종일 상점에서 담배는 허용되지 않습니다. *입구에 흡연 공간이 있습니다 *)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://gochi.foodre.jp/
https://blog.goo.ne.jp/gochi_shibuya",,,,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 유기농 야채에 특히 적합합니다.",일본어를 사용할 수 있습니다,사용 가능한 예약,"흡연, 쌀, 저녁 식사, 엔터테인먼트, 고기, 고기, 솔로, 마실 수있는, 쇼치, 연회 및 음주 파티, 후 파티, 작별 파티, 날짜, 성인 가해, 급여 지불 지불, 급여 판매 포인트, 온라인 예약 가능
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",,없음,,불가능합니다,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000010200/archive/2566118-61ac98dc13c61.jpeg,03-3461-1338,,,,,,,,
アウトバック ステーキハウス 渋谷店,아웃백 스테이크 하우스 시부야 지점,https://retty.me/area/PRE13/ARE8/SUB802/100000003377/,050-5461-1138,스테이크 바 미트 바 바 식당 바,"[월요일 ~ 목요일]
 17:00-22:00 L.O. 21:00
[금]
 17:00-23:00 L.O. 22:00
[토양]
 12:00-23:00 L.O. 22:00
[일요일과 휴일]
 12:00-22:00 L.O. 21:00","매년 1 월 1 일, 매년 12 월 31 일","점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"34-1 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (290m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (560m)","없음
근처 (할인 없음) 사용 가능",240 석,예,"불가능합니다
(전자 담배는 테라스에서 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 150 명
최대 250 명을 임대 할 수 있습니다",https://www.outbacksteakhouse.co.jp/locations/,,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.","우리는 고기 요리, 수입 성분, 알레르기가있는 고객에게 수용 할 수 있으며 어린이를위한 메뉴를 갖추고 매장 내에서 준비된 메뉴에 대해 특히 알고 있습니다.","맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁 식사, 모든 링크, 생일, 연회, 파티, 와인을 마시고, 와인을 마시고, 아이들과 함께 즐길 수 있으며, 예약, 날짜, 연말 파티, 새해 파티, 맛있고 저렴한 레스토랑, 개인 객실 날짜
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
테라스가 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성
배송 가능",없음,"예
어린이는 환영합니다, 유치원 어린이는 환영 받고, 초등학생은 환영 받고, 기저귀를 기저귀로 가져갈 수 있고, 어린이 메뉴, 알레르기 음식을 이용할 수 있습니다.","불가능합니다
상점 밖에서 사용할 수 있습니다",,예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000003377/archive/3193900-6556f74d67242.jpg,03-5459-7751,,https://www.facebook.com/outback.japan,,"프로젝터, TV 및 모니터, 오디오 장비",,,,
エマ ラウンジ,엠마 라운지,https://retty.me/area/PRE13/ARE8/SUB803/100000000186/,050-5304-6854,카페,"[하루 종일]
점심 12:00-15:00 L.O. 14:45
[일요일, 월요일부터 목요일, 휴일 전, 휴일 전]
저녁 식사 16:00-23:00 L.O. 22:00
[금과 앉았다]
저녁 식사 16 : 00-23 : 30 L.O. 22:30
영업 시간은 하루에 따라 다를 수 있습니다
개막 시간 2022 년 3 월 22 일부터","하루 종일 개점
[월요일 ~ 금요일] *토요일, 휴일 또는 휴일 전의 점심 서비스는 없습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,PayPay,"Social Dogenzaka 2F, 1-14-9 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya 역에서 도보로 5 분 (400m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (500m)
도쿄 도요코 라인 / 다이키 야마 역 15 분 도보 (1.2km)",,100 석,없음,"불가능합니다
(완전 흡연 허용)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"https://emma-lounge.foodre.jp/
https://renovationplanning.co.jp/",,,,,,,"저녁 식사, 쌀, 생일, 점심, 성인 은신처, 날짜, 모든 링크, 세련된, 개인, 쿠폰 이용 가능, 와인 음료, 새해 파티, 여자 밤, 흡연 허용, 점심 날짜, 여자 밤, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/10000000186/archive/2094650-5fb38d7592700.jpeg,03-3461-6699,,,,,,,,
牛だし おでん酒場 COZAKURA,쇠고기 Dashi Oden Bar Cozakura,https://retty.me/area/PRE13/ARE8/SUB802/100001418899/,050-5304-2389,Izakaya Oden 일본 음식,"[하루 종일]
 17:00-24:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"파크 빌딩 4F, 10-1 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 5 분 (390m)
Keio Inokashira Line / Shinsen Station에서 도보로 9 분 (680m)","예
근처 (할인 없음) 사용 가능",31 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명","[공식적인]
https://cozakura.foodre.jp/",,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, ALL-YOU-CAN-DRINK 가격 3,000-4,999 엔, All-You-Can-Drink 가격 5,000 엔 또는 3,000-3,999 엔, 3,000-3,999 엔, All-You-Can-Drink Cours for 4,000-kous-drink gures. 엔, 5,000 엔 이상을위한 all-you-can-drink 코스, 1 시간 반 동안 싱글 링크 코스, 2 시간 반, 반쪽, 3 시간 반 동안 싱글 링크, 3 시간 반 동안 만약",우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"생일, 쌀, 저녁 식사, 성인 은신처, 술을 마실 수있는 곳, 새해 파티, 고기, 파티, 무료 Wi-Fi, Shochu, Welcome Party, 세련된 새해 파티, 빠른 새해 파티, 성인 연도 파티, 신속한 새해 파티, 빠른 새해 파티, 빠른 새해 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
활발한 상점
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
휴대품 룸이 있습니다
테이크 아웃 가능성",,,,예 (무료),예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001418899/archive/505708-5B701E2271B53.JPG,03-645-0572,,,,"프로젝터, 사운드 장비, 휴대품 룸",,,,
トウキョウ サロナード カフェ ダブ,도쿄 살로네이드 카페 더빙,https://retty.me/area/PRE13/ARE8/SUB803/100000003935/,050-5303-0353,카페,"[하루 종일]
 12:00-23:00 L.O. 22:00
예약 시점부터 10 분 이상 전화를받지 않으면 주문을 취소합니다.
지연이 있으시면 저희에게 연락하십시오.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",예,PayPay,"2f Fuji Shoji Building, 1-11-3 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (87m)
Keio Inokashira Line / Shinsen 역에서 도보 8 분 (570m)",없음,70 석,없음,"예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명","https://tokyosalonardcafedub.foodre.jp/
https://renovationplanning.co.jp/",,"2,999 엔 미만의 코스",,,와인과 칵테일이 있습니다,사용 가능한 예약,"저녁 식사, 쌀, 생일, 점심, 데이트, all-you-can-drink, 성인 은신처, 세련된, 음료 와인, 흡연, 점심 날짜, 여자의 밤, 세련된 점심, 무료 와이파이, 여자의 밤, 야간 카페, 지불금 지불 가능
다른 사용 장면을 참조하십시오",숨는 곳,"놀라운 응답 가능
축하 가능성",,예,,,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000003935/archive/3237614-65B8B8B3264AA1A.JPG,03-3463-0724,,,,,,,,
うに小屋渋谷店,성게 오두막 시부야 지점,https://retty.me/area/PRE13/ARE8/SUB804/100001389221/,050-5304-7337,이자카야 해산물과 해산물 초밥,"[월요일, 화요일, 목요일, 금요일]
점심 12:00-14:00
[월요일부터 금요일까지]
저녁 식사 17:00-23:00
[토양]
저녁 15 : 00-23 : 00
[일요일과 휴일]
저녁 식사 15:00-22:30
영업 시간은 하루에 따라 다를 수 있습니다
점심 시간
■ 튀긴 말 고대 범위를위한 전문점 [점심 시간 동안 튀긴 말 고등어]
★ 나는 밤에 마시고 있습니다!
저녁 시간
■ 부가가치 성게를위한 전문 상점으로서 [uni hut]

*이것은 코로나 바이러스 대책으로 승인 된 도쿄의 상점입니다.","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.","저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"하야시 빌딩 1f, 18-2 마루야마 마코, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen 역에서 도보로 1 분 (65m)
JR Yamanote Line / Shibuya 역에서 도보로 6 분 (470m)
Keio Inokashira Line / Komaba Higashidaimae Station에서 도보로 12 분 (930m)","예
근처 (할인 없음) 사용 가능","48 석
(카운터, 테이블, 개인 실)",예,"불가능합니다
(완전히 금연 상점)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",예,"[공식적인]
https://unigoya-shibuya.foodre.jp/
https://www.sanchokuya-group.com/",,"4,000 엔 ~ 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스로 제공됩니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"점심, 생일, 개인 실, 저녁 식사, 저녁 식사, 사케 가능, 결혼 기념일, 지불금 지불 가능, 온라인 예약 가능, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 인기있는 식당 예약
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
테라스가 있습니다",,,예,,예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001389221/archive/325431-5a1f99e38deac.jpg,03-6455-3457,,https://www.facebook.com/unigoyashibuya/,https://x.com/unigoya_shibuya,,,,,
