이미지URL,상품명,번역된 상품명,가격,카테고리
https://www.family.co.jp/content/dam/family/goods/0410052.jpg,【山梨県・長野県】青磯海苔　わさび昆布,[야마 나시 현과 나가노 현] 아오이소 해초 와사비 켈프,156円 （税込168円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0411202.jpg,【関東の一部】メガおむすび　焼き鳥,[칸토의 일부] 메가 라이스 볼 야키토리,269円 （税込290円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0411189.jpg,【関東の一部】焼き鳥おむすび,[칸토의 일부] 야키토리 라이스 볼,232円 （税込250円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0411356.jpg,直巻　焼さば,"직접 롤, 구운 고등어",153円 （税込165円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0411363.jpg,大きなおむすび　昆布とツナマヨネーズ,큰 쌀 공 : 켈프와 참치 마요네즈,239円 （税込258円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0417037.jpg,【中国・四国】大きなおむすび　鶏そぼろ,[Chugoku/Shikoku] 큰 쌀 공 : 닭고기 다진,184円 （税込198円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0411073.jpg,梅こんぶおむすび,매실 콘부 쌀 공,130円 （税込140円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0415583.jpg,【北陸】まるごと煮たまごおむすび,[Hokuriku] 전체 삶은 계란 쌀 공,276円 （税込298円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0410250.jpg,わさび海苔　鮭とろ,와사비 해초 연어 토로,175円 （税込189円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0416665.jpg,【関西、中国・四国、九州】味付海苔　海老マヨネーズ,"[Kansai, Chugoku, Shikoku, Kyushu] 양념 해초를 가진 새우 마요네즈",174円 （税込187円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0415637.jpg,【北海道・東海】青磯海苔　海老マヨネーズ,"[Hokkaido, Tokai] Aoiso 해초 새우 마요네즈",175円 （税込189円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0416498.jpg,【関西、中国・四国、九州】味付海苔　ピリ辛高菜,"[Kansai, Chugoku, Shikoku, Kyushu] 양념이있는 매운 해초",147円 （税込158円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0410137.jpg,手巻　辛子明太子,손으로 포장 된 매운 멘토 이코,185円 （税込199円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0410113.jpg,手巻　紀州南高梅,손으로 포장 된 Kishu Nanko Plum,149円 （税込160円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0410106.jpg,手巻　真昆布,손으로 랩핑 한 진정한 콘부,149円 （税込160円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0410144.jpg,手巻　シーチキン®マヨネーズ,손으로 포장 된 Sea Chicken® Mayonnaise,156円 （税込168円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0410168.jpg,手巻　紅しゃけ,손으로 포장 된 빨간 쉐이크,185円 （税込199円）,おむすび
https://www.family.co.jp/content/dam/family/goods/0414654.jpg,【北海道】手巻　熟成すじこ,[Hokkaido] 손으로 포장 된 노인 Sujiko,185円 （税込199円）,おむすび
