카테고리리,상품명,번역된 상품명,가격,image_url
おにぎり,MCTオイルが摂れる　梅おかかおにぎり(国産もち麦入り),MCT 오일이있는 자두 오카라 라이스 볼 (국내 모치 보리 포함),181円,https://www.lawson.co.jp/recommend/original/detail/img/l782880.jpg
おにぎり,金しゃりおにぎり　いくら醤油漬,"킨 샤리 라이스 볼, 간장에 절인",297,https://www.lawson.co.jp/recommend/original/detail/img/l778190.jpg
おにぎり,金しゃりおにぎり　焼さけハラミ,구운 연어를 곁들인 황금 쌀 공,297,https://www.lawson.co.jp/recommend/original/detail/img/l778189.jpg
おにぎり,金しゃりおにぎり　鮭明太(北海道産),"Kinshari Rice Ball, Salmon Mentai (Hokkaido에서)",235,https://www.lawson.co.jp/recommend/original/detail/img/l781514.jpg
おにぎり,金しゃりおにぎり　熟成生たらこ,황금 쌀 공 - 노화 된 생 쌀 공,268,https://www.lawson.co.jp/recommend/original/detail/img/l778192.jpg
おにぎり,金しゃりおにぎり　わさび醤油仕立ての漬けサーモン(三陸産銀鮭),Kinshari Rice Ball- 와사비 간장으로 만든 절인 연어 (Sanriku Silver Salmon),235,https://www.lawson.co.jp/recommend/original/detail/img/l777423.jpg
おにぎり,金しゃりおにぎり　黒毛和牛カルビ焼肉,Kinshari Rice Balls -Kuroge Wagyu Beef Kalbi Yakiniku,311,https://www.lawson.co.jp/recommend/original/detail/img/l780969.jpg
おにぎり,金しゃりおにぎり　塩にぎり,"킨 샤리 라이스 볼, 소금 쌀 공",138,https://www.lawson.co.jp/recommend/original/detail/img/l780967.jpg
おにぎり,大きなおにぎり　鮭,"큰 쌀 공, 연어",279,https://www.lawson.co.jp/recommend/original/detail/img/l778194.jpg
おにぎり,大きなおにぎり　シーチキン®マヨネーズ,큰 라이스 볼 바다 치킨 ® 마요네즈,268,https://www.lawson.co.jp/recommend/original/detail/img/l778195.jpg
おにぎり,大きなおにぎり　沢庵としそわかめ,큰 라이스 볼 -Sashimi와 Shisowakame,235,https://www.lawson.co.jp/recommend/original/detail/img/l778166.jpg
おにぎり,大きなおにぎり　チャーハン,"큰 쌀 공, 볶음밥",257円,https://www.lawson.co.jp/recommend/original/detail/img/l782092.jpg
おにぎり,具！おにぎり　ポーク玉子(シーチキン®マヨネーズ),재료!라이스 볼 돼지 달걀 (Sei Chicken® Mayonnaise),322,https://www.lawson.co.jp/recommend/original/detail/img/l781479.jpg
おにぎり,具！おにぎり　まるでまぐろたたき丼(とろたく風),재료!Onigiri- 참치 타타키 그릇처럼 (토런트 스타일),354,https://www.lawson.co.jp/recommend/original/detail/img/l780247.jpg
おにぎり,具！おにぎり　まるでチキン南蛮丼,재료!치킨 난반 보울 같은 쌀 공,354,https://www.lawson.co.jp/recommend/original/detail/img/l780258.jpg
おにぎり,悪魔のおにぎり　ブラックラーメンの汁味,악마의 쌀 공 - 검은라면의 수프,192円,https://www.lawson.co.jp/recommend/original/detail/img/l782088.jpg
おにぎり,手巻おにぎり　シーチキン®マヨネーズ,손으로 포장 된 Rice Ball Sea Chicken® Mayonnaise,157,https://www.lawson.co.jp/recommend/original/detail/img/l759337.jpg
おにぎり,手巻おにぎり　熟成紀州南高梅,손으로 포장 된 쌀 공 - 노화 된 Kishu Nanko 자두,167,https://www.lawson.co.jp/recommend/original/detail/img/l778187.jpg
おにぎり,手巻おにぎり　熟成紅鮭,"손으로 포장 된 쌀 공, 노화 된 연어",203,https://www.lawson.co.jp/recommend/original/detail/img/l778295.jpg
おにぎり,手巻おにぎり　熟成辛子明太子,수작업 쌀 공 - 노화 된 매운 멘타이코,203,https://www.lawson.co.jp/recommend/original/detail/img/l778296.jpg
おにぎり,手巻おにぎり　北海道産日高昆布,손으로 포장 된 라이스 볼 -Hokkaido에서 만든 Hidaka Konbu,167,https://www.lawson.co.jp/recommend/original/detail/img/l778186.jpg
おにぎり,味付海苔手巻おにぎり　追い鰹製法おかか,양념 된 Nori의 손으로 포장 된 쌀 공 - 오치 보시기 제조 방법,167,https://www.lawson.co.jp/recommend/original/detail/img/l777916.jpg
おにぎり,和風シーチキン®マヨネーズおにぎり,일본식 바다 치킨 ® 마요네즈 라이스 볼,167,https://www.lawson.co.jp/recommend/original/detail/img/l777927.jpg
おにぎり,チャーシューマヨネーズおにぎり,Char Siu Mayonnaise Rice Ball,181,https://www.lawson.co.jp/recommend/original/detail/img/l777924.jpg
おにぎり,胡麻さけおにぎり,참깨 사케 쌀 볼,167,https://www.lawson.co.jp/recommend/original/detail/img/l777932.jpg
おにぎり,わかめごはんおにぎり,Wakame Rice Ball,167,https://www.lawson.co.jp/recommend/original/detail/img/l777931.jpg
おにぎり,だしおにぎり(おかか),Dashi Rice Ball (삶은 쌀 공),138,https://www.lawson.co.jp/recommend/original/detail/img/l779224.jpg
おにぎり,だしおにぎり(日高昆布),Dashi Rice Ball (Hidaka Konbu),138,https://www.lawson.co.jp/recommend/original/detail/img/l780970.jpg
おにぎり,阿波尾鶏の鶏五目おにぎり,awao 치킨 roe 라이스 볼,181,https://www.lawson.co.jp/recommend/original/detail/img/l777925.jpg
