category_id,category_name,name_ja,name_ko,price,img_url
onigiri,おにぎり,手巻おにぎり　紀州南高梅,손으로 포장 된 쌀 공 -Kishu Nanko Plum,165円（税込178.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046614/1F6DD9DC817203BFF939C2D4B58AC2E2.jpg
onigiri,おにぎり,手巻おにぎり　具たっぷり辛子明太子,수작업 쌀 공 - 많은 재료를 가진 매운 멘토 이코,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046602/F8AE38C2B5228D6048DBCF91C2083749.jpg
onigiri,おにぎり,手巻おにぎり　北海道産昆布,손으로 포장 된 라이스 볼 -Hokkaido Kelp,165円（税込178.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046599/29427AB1EDF491B078F6D2618ECA69ED.jpg
onigiri,おにぎり,手巻おにぎり　炭火焼紅しゃけ,수작업 쌀 공-숯불 구운 빨간색 술,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046598/BC05F02709EECD56D5F6962CB049525E.jpg
onigiri,おにぎり,手巻おにぎり群馬県産梅,Gunma 현으로 만든 손으로 포장 된 쌀 공,165円（税込178.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046578/878013E036166DDAE1F1CD559FF11138.jpg
onigiri,おにぎり,味付海苔おにぎりおかか,노련한 해초 쌀 공,168円（税込181.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046580/1EC369EDD6E4CB8E02DB74D3A4CD5B41.jpg
onigiri,おにぎり,枝豆おこわおむすび,에다메 쌀 공,158円（税込170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046811/76798CF19158E567C9554E4655050D83.jpg
onigiri,おにぎり,直巻おむすび　紅しゃけとすじこ,Direct Roll Rice Balls -Red Sake와 Sujiko,190円（税込205.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046715/B134B4CF3BC3B40CCE01DEA71600AAB5.jpg
onigiri,おにぎり,具だくさんおむすび　かつ丼,"많은 재료를 가진 쌀 쌀 공, Katsudon",298円（税込321.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046714/E919856B9F4B86BA478E5D042AE79C48.jpg
onigiri,おにぎり,直巻おむすび　海老マヨネーズ,"직선 쌀 공, 새우 마요네즈",178円（税込192.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046637/D16A24D1764AE53AA920B1826F6BB296.jpg
onigiri,おにぎり,直巻おむすび　おかかとねぎの混ぜめし,Direct Roll Rice Balls- 발 뒤꿈치와 녹색 양파와 혼합,158円（税込170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046635/854D4903FE497F214BE0E9EF34CABF84.jpg
onigiri,おにぎり,具だくさんおむすび　ポーク玉子＆ツナマヨネーズ,재료가 많은 풍부한 쌀 공 : 돼지 달걀과 참치 마요네즈,298円（税込321.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046634/99698B99C3C53B9A13F17748C3AEB364.jpg
onigiri,おにぎり,醤油むすび　紫峰使用,간장 Musubi Shimo가 사용되었습니다,128円（税込138.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046810/4BF3E8E758D8F357AA1CBB525D42ADAA.jpg
onigiri,おにぎり,国産アスパラとベーコンのおむすび,국내 아스파라거스와 베이컨 쌀 공,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046806/48E64ECD75BBC5906E5F4D603511E59E.jpg
onigiri,おにぎり,一膳御飯おむすび　焼肉のタレまぶし,원형 쌀 공 - 야키니쿠 소스 고등어,188円（税込203.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046775/00DCAD117C71E83C1579A1A92B25E61E.jpg
onigiri,おにぎり,せいろ蒸し　赤飯おこわおむすび,찐 찐 붉은 쌀 공,158円（税込170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046746/EC7FBFAC5D2F4A5E76F8F11823E3781C.jpg
onigiri,おにぎり,香ばし醤油焼おにぎり,향기로운 간장 구운 쌀 공,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046141/B915524A8E14B795027D3A7BB07B3929.jpg
onigiri,おにぎり,わかめ御飯おむすび（三陸産わかめ使用）,Wakame Rice Rice Balls (Sanriku Wakame 사용),130円（税込140.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046070/9DE43313C3D8EEF0ACAE5045F5821591.jpg
sushi,お寿司,手巻寿司　納豆巻,손으로 롤링 된 스시 -Natto 롤,178円（税込192.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046386/FED25C614475C8D8F0D665BB3B69CD31.jpg
sushi,お寿司,香り箱の寿司,아로마 박스의 초밥,208円（税込224.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046742/25349A0CF8077EC0B5D2C5939F73B786.jpg
sushi,お寿司,手巻寿司まぐろたたき巻,손으로 롤링 된 스시 참치 타타키 롤,230円（税込248.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/043083/EE3D445F0D5183C885B3BC317C4A6FEE.jpg
sushi,お寿司,手巻寿司　紀州南高梅納豆巻,손으로 롤링 된 스시 - Kishu Nanko Plum Natto 롤,178円（税込192.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/041111/70724F3452D9BF65FF6C1D4D830D26C3.jpg
