카테고리,명소,설명,주소,이미지,날짜,가격
가을,이초나미키가로수길,아오야마와 메이지 진구 가이엔 공원을 연결하는 황금빛 나무의 통로,"Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938563/tokyo/Tokyo2326_1",,
계절 행사,하마리큐 은사정원 벚꽃,평온한 정원에서 조명을 받아 빛나는 벚꽃,"1-1 Hamarikyuteien, Chuo-ku, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936322/tokyo/Tokyo2359_1",,300
신사,스이텐구신사,,"2-4-1 Nihonbashi Hongoku-cho, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516735407/fukuoka/Fukuoka1628_1",,
과학박물관,국립과학박물관,"공룡 화석, 증기 엔진, 아이들을 위한 체험 공간과 신비한 것들로 가득한 박물관","7-20 Uenokoen, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1666262315/tokyo/Tokyo_t_id195_3",,630
국립박물관,도쿄국립박물관,일본의 과거와 문화를 연대기 순으로 보여주는 특별한 박물관,"13-9 Ueno Park, Taito-ku, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646308634/tokyo/M_01301_003",,1000
정원,고쿄가이엔(황거외원),A Ring of Nature and Moats around the palace,"Kokyogaien, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945878/tokyo/Tokyo2229_2",,
역사적 건축물,일본은행본점,Century-old architecture for the history buffs,"2-1-1 Nihonbashi Hongoku-cho, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933652/tokyo/Tokyo2220_1",,
여름,산노축제,기념 축제와 도쿄식 숭배의식,"2-10-5 Nagata-cho, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516447629/tokyo/Tokyo2248_2",,
아트 축제,도쿄국제영화제,"10일간 유명 스타와 영화, 심포지엄 등 다양한 프로그램으로 롯폰기를 점령하는 국제영화제","Hibiya, Ginza, and Yurakucho in Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646307248/tokyo/M_01118_001",10.25-11.3,
명소,도쿄증권거래소,The engine that drives Tokyo's great economy,"2-1 Nihonbashi Kabuto-cho, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1692850096/tokyo/Tokyo_t2023_M_01117_1_edit3",,
봄,간다축제,"도쿄 최대 규모, 가장 흥이 넘치는 기념행사","2-16-2 Sotokanda, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517338167/tokyo/Tokyo2275_9",,
쇼핑가,갓파바시도구거리,Tokyo's Kitchenware Paradise,"3-18-2 Matsugaya, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933900/tokyo/Tokyo2277_1",,
국립미술관,국립서양미술관,세계적 수준의 건축과 서양 예술,"7-7 Uenokoen, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933980/tokyo/Tokyo2283_1",,500
불꽃놀이,스미다가와불꽃축제,다채로운 여름날 저녁,"Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934431/tokyo/Tokyo2299_3",7.28,
스포츠 대회,도쿄스모경기,도쿄에서 스모를 직관할 수 있는 절호의 기회,"1-3-28 Yokoami, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933954/tokyo/Tokyo2293_8",1.13-1.27,3800
전망대,선샤인 시티,인기 있는 엔터테인먼트 중심지 선샤인 시티의 일부로 우뚝 솟은 도쿄의 랜드마크,"3-1 Higashiikebukuro, Toshima-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1647834380/tokyo/M_01108_001",,
가을,아사쿠사도리노이치,복을 긁어모으러 아사쿠사 도리노이치 축제로,"3-19-6 Senzoku, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938296/tokyo/Tokyo2311_11","11.1, 11.13, 11.15",
