restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,pet_friendly,wifi_available,phone_number,foreign_language_support,video,twitter,remarks,power_supply_available,additional_equipment,facebook,ic_card_payment,instagram,beer_maker,온라인 예약
アウトバックステーキハウス 池袋店,아웃백 스테이크 하우스 Ikebukuro 지점,https://retty.me/area/PRE13/ARE662/SUB66202/100000826805/,050-5461-0206,스테이크,"[월요일 ~ 목요일]
 17:00-22:00 L.O. 21:00
[금]
 17:00-22:30 L.O. 21:30
[Sun, Saturday, Holidays, 휴일 전]
 12:00-22:00 L.O. 21:00","매년 1 월 1 일, 매년 12 월 31 일","점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"이케부쿠로 도쿄 빌딩 7F, 1-41-4 Higashi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 1 분 (East Exit) (75m)
도쿄 메트로 유라 커코 라인 / 히가시-비슷한 부쿠로 스테이션 (입구 1) 도보 10 분 (730m)

■ 버스 정류장에서 접근
후쿠시마 교통 ​​: 후쿠시마 스테이션 이스트 출구 - 신주쿠 스테이션 신 - 남아 출구, 이케부쿠로 스테이션 이스트 출구, 1 분 도보 (61m)
Jr Bus Kanto Dream Morioka Ikebukuro Station East Exit에서 도보 2 분 (150m)
Iwate Prefector Transport Dream Morioka (Rakuchin) 이케부쿠로 스테이션 미츠코시에서 도보 2 분",없음,210 석,예,"불가능합니다
(모든 좌석은 하루 종일 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
최대 160 명을 임대 할 수 있습니다
최대 210 명이 예약 할 수 있습니다",https://www.outbacksteakhouse.co.jp/locations/,"2,999 엔 미만, 4,000 엔 ~ 4,999 엔","4,000 엔에서 4,999 엔, 2 시간 동안 싱글 링크를 포함하는 코스가 있습니다.","우리는 고기 요리에 대해 특히, 알레르기가있는 고객에게 수용 할 수 있으며 어린이를위한 메뉴를 갖추고 매장 내에서 준비된 준비가되어 있습니다.","맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁 식사, 쌀, 고기, 어린이, 생일, 싱글, 엔터테인먼트, 환영 파티, 작별 파티, 연회 및 음주 파티, 무료 Wi-Fi, 영어 사용 가능, 여자의 밤, All-You-Can-Eat, 데이트, 올해--엔드 파티, 새해 파티, 점심 날짜
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"예
유아 및 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있고, 어린이 메뉴 이용 가능",불가능합니다,예,03-5928-1391,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000826805/archive/31938-6556fb4a1a9bf.jpg,,,,,,,,,
BAR 原価割れ 池袋,바 비용 할인 Ikebukuro,https://retty.me/area/PRE13/ARE662/SUB66202/100001324528/,050-5462-2574,바 라운지,"[월요일 ~ 목요일]
저녁 식사 17:00-26:00 L.O. 25:30
[금요일/휴가 전]
저녁 식사 17:00-28:00 L.O. 27:30
[토양]
저녁 식사 16:00-28:00 L.O. 27:30
[낮]
저녁 식사 17:00-25:00 L.O. 24:30
[축하해요]
저녁 식사 16:00-26:00 L.O. 25:30
팔리 자마자 끝납니다
마감 시간은 하루에 따라 다를 수 있습니다","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Kawamata Building 2F, 1-40-10 Higashi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보 4 분 (300m)
도쿄 메트로 유라쿠코 라인 / 히가시-비스듬한 부쿠로 스테이션에서 도보 10 분 (730m)",예,"16 석
(표 3-4 인승 x 2, 2-3 인승 x 1)","예
(카운터에서 6 석)","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://genkaware.foodre.jp/
https://genkaware.foodre.jp/",,,"우리는 고기 요리, 수입 재료 및 요리사가 유명한 식당에서 훈련을 받았으며 매장 내에서 준비했습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"흡연 허용 늦은 밤 음주 사용 가능한 주간 음주 공예 맥주 급여 지불 지불 이용 가능 PayPay Points 온라인 예약 가능 대중 상점 예약 가능 세련
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
상업용 시설에 위치합니다
운송 시설에 있습니다",,평상복,불가능합니다,불가능합니다,예,03-6903-6928,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001324528/archive/1320740-5de74e836433a.jpg,https://x.com/bargenkaware,"우리 가게는 오후 9 시까 지 열리는 시간이지 나지 않습니다.
흡연자들에게 불편을 끼쳐 드려 죄송하며 이해에 감사드립니다. 협력 해 주셔서 감사합니다.",불가능합니다,"TV 및 모니터, 오디오 장비",,,,,
池袋 茶舘,Ikebukuro Teakan,https://retty.me/area/PRE13/ARE662/SUB66201/100000717531/,050-5262-6919,중국 음식 이자카야 테이크 아웃 Xiaolongbao 대만 음식,"[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
 11:00-23:00 L.O. 22:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다","매년 1 월 1 일, 매년 12 월 31 일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
Mondays (공휴일에 오픈)","점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F Mikasa Building, 1-22-8 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (240m)
도쿄 메트로 유라쿠코 라인 / 카나마 마치 역에서 도보 16 분 (1.2km)
Toei Toen Arakawa Line / Toden Zoshigaya 역에서 도보 16 분 (1.3km)","없음
근처 (할인 없음) 사용 가능",65 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://chakan.foodre.jp/","3,000 엔에서 3,999 엔으로 제공됩니다","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선",요리사는 해외 훈련 경험이 있습니다,맥주와 Shaoxing Wine이 있습니다,,"쌀, 점심, 모든 음식, 연회 및 음주 파티, 연말 파티, 흡연 허용, 급여 지불 지불, 온라인 예약, 새해 파티, 환영 파티, 점심 음주, 저녁 식사, 작별 파티, 인기있는 식당
다른 사용 장면을 참조하십시오",,"테이크 아웃 가능성
배송 가능",없음,,,예,03-3985-5183,"중국인
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000717531/archive/2121914-5fc5bbac58206.jpg,,대만 딤섬 all-you-can eat,예 (무료),,,,,,
肉バルKACCHAN,미트 바 카칸,https://retty.me/area/PRE13/ARE662/SUB66201/100001247553/,050-5462-3362,고기 바 이자카야,"[하루 종일]
 17:00-23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",예,PayPay,"1 층, 와시야마 빌딩, 2-57-11 Ikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 5 분 거리 (380m)",,40 석,예,"불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://nikubaru-kachan.foodre.jp/",,,,,,"All-You-Can-Drink 와인 이용 가능한 여학생의 밤 저녁 식사 저녁 식사 저녁 식사 저녁 식사 생일 파티 연회/음료 세련된 고기 비 흡연 연말 파티 쿠폰 이용 가능 PayPay Pays Paypay Point Get Online 예약 가능
다른 사용 장면을 참조하십시오",,,,,,,03-6912-7381,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001247553/archive/3312815-664aad8cbef84.jpg,https://x.com/nikubarukacchan,,,,,,,,
酒蔵 鞍,양조 양조장 소금,https://retty.me/area/PRE13/ARE662/SUB66201/100000118958/,050-5303-5988,Izakaya Sashimi Yakitori,"[월요일부터 금요일, 토요일, 휴일]
 17:00-23:00 L.O. 22:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
*새로운 코로나 바이러스의 영향에 따라 비즈니스 컨텐츠는 요청과 일치합니다.","매주 일요일
새해 휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 3,000 엔",예,,"1-28-1 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (130m)
Toei Toden Arakawa Line / Toden Zoshigaya 역에서 도보 15 분 (1.1km)
도쿄 메트로 유라 커코 라인 / 히가시-비스듬한 부쿠로 스테이션에서 도보 15 분 (1.2km)",없음,120 석,예,"예
흡연실 사용 가능
(흡연실 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,"[공식적인]
https://syuzoukura-39863926.foodre.jp/",,,생선 요리 전문,"맥주, 사케, 쇼치",,"엔터테인먼트, 라이스, 개인 실, 흡연 허용, 연말 파티, 술을 마시기, 마시기, 연회, 파티, 생일, 환영 파티, 작별 파티, 맛있는 레스토랑 및 저렴한 레스토랑, 온라인 예약, 새해 파티, 인기있는 레스토랑, 인기있는 레스토랑
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳",,,,,없음,03-3986-3926,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000118958/archive/805089-5c9da89777d5b.jpg,,,,,,,,,
トムボーイ 池袋2号店,Tom Boy Ikebukuro No. 2 매장,https://retty.me/area/PRE13/ARE662/SUB66202/100000729596/,050-5303-0433,이자카야 테이크 아웃,"[하루 종일]
 11:00-24:00 L.O. 23:30","하루 종일 개점
새해 휴일 (확인하십시오)
우리는 2025 년 1 월 1 일과 2 일에 문을 닫을 것입니다. 우리는 평소와 같이 3 번째 이후에 개방 될 것입니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드",PayPay,"2f Mashita 5, 3-13-17 Minamiikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 유라쿠코 라인 / 히가시 비크 부쿠로 역에서 도보로 7 분 거리 (560m)
Toei Toen Arakawa Line / Toden Zoshigaya 역에서 도보로 8 분 (630m)",,150 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,http://www.tomboy106.com/ike-indian/,,,,,,"점심 시간, 개인 실, 생일, 그룹 날짜, 아침 식사 이용 가능, 날짜, 흡연 허용, 개인 실, 점심 날짜, 점심 날짜, 쿠폰 이용 가능, 온라인 예약 가능, 연말 파티, 새해 파티, 점심, 쌀, 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,,03-3590-7727,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000729596/archive/404969-5acaed0eddb4c.jpg,,,,,,,,,
ランドーズ,랜더스,https://retty.me/area/PRE13/ARE662/SUB66202/100001164074/,050-5304-0884,이자카야 쇠고기 혀 고기 바 맥주 바 카페 테이크 아웃 카페 파스타,"[하루 종일]
 12:00-14:00
 16:00-24:00 L.O. 23:00
[축하 전]
점심 12:00-14:00
저녁 식사 16:00-24:00 L.O. 23:00
[개막 시간]
12 : 00-23 : 00
토요일, 일요일 및 공휴일에 정오에 문을 엽니 다!
*일요일에 22:30에 문을 닫습니다.

17 : 00-23 : 00
공휴일 월간/하루 전

마지막 주문은 상점에 확인하십시오.",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-18-4-2f 미담 인 비스무 쿠로, 토시마 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 6 분 (480m)
Toei Toden Arakawa Line / Toden Zoshigaya Station에서 도보 8 분 (580m)
도쿄 메트로 유라 커코 라인 / 9 분 동안 히가시 비크 부쿠로 역 (700m)","없음
이웃 P (할인) 사용 가능, 이웃 (할인 없음)","50 석
(개인 테이블 룸 이용 가능 (2 ~ 10 명 / 문 및 벽) 개인 실 이용 가능한 타타미 룸 이용 가능 (2 ~ 6 명 / 문 및 벽의 경우) 개인 실을 이용할 수있는 개인 실 (2 ~ 4 명 / 문 및 벽) 이용 가능한 타타미 룸 이용 가능한 타타미 룸 이용 가능 (2 ~ 4 명 / 도어 및 벽) 이용 가능 (2 ~ 4 명 및 벽면) 이용 가능).",없음,"흡연실 사용 가능
(흡연 구역은 발코니에서 이용 가능합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 70 명","[공식적인]
https://randozu.foodre.jp/","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, ALL-YOU-CAN-DRINK 가격 3,000-4,999 엔, ALL-YOU-CAN-DRINK 가격 5,000 엔 또는 더 많은, 3,000-3,999 엔, ALL-YOU-CAN-DRINK COSS를 포함합니다. All-You-Can-Drink 코스에는 5,000 엔 이상, 2 시간 반 정도, 3 시간 이상 동안 만약이 포함되어 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 유기농 야채에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"소녀의 밤, 날짜, 개인 실, 점심, 점심, 쌀, 개인 실, 개인 실, 개인 실, 점심 마시기, 와인, 파워 카페, 세련된 개인 실, 개인 실, 개인 용도, 급여 판매점, 온라인 예약, 새해 파티, 저녁 식사
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
단독 주택 레스토랑
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
휴대품 룸이 있습니다",,불가능합니다,,없음,03-5955-1565,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001164074/menu/12233-562e00d1b9011.jpg,,"개인 실과 ​​로프트 시트를 일찍 예약하십시오 ...
*좌석 만 가지고 예약을하는 경우, 싱글 링크 예약 만 예약하는 경우 1 인당 두 개의 요리를 주문해야합니다.
*바쁜 시간에 2 시간의 시스템이있을 수 있습니다.",,프로젝터 포함,https://www.ac E3%83%B3%E3%82%B0-%E3%83%A9%E3%83%B3%E3%83%89%E3%83%BC%E3%82%BA-340611706333/,,,,
銀だこハイボール酒場池袋西口店,Gindako Highball Bar Ikebukuro West Exit 지점,https://retty.me/area/PRE13/ARE662/SUB66201/100001756924/,050-5462-7903,타카 요아키 이자카야 테이크 아웃,"[월요일부터 금요일까지]
저녁 식사 16:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
저녁 식사 12:00-23:00 L.O. 22:30
자세한 내용은 공식 웹 사이트를 확인하십시오.",,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
JCB",PayPay,"2f Iwata Building, 1-24-4 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro Station (98m)에서 도보로 2 분","없음
근처 (할인 없음) 사용 가능",109 석,"예
(넓고 세련된 카운터 시트가 있습니다.)","불가능합니다
흡연실 사용 가능
(흡연실 만 사용하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 80 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명","[공식적인]
https://gindakohaiball-ikebukuronishi.foodre.jp/","3,000 엔에서 3,999 엔으로 제공됩니다","전 만점 가격 : 1,000 엔 -1,999 엔",,"맥주, 사케, 쇼치, 위스키, 칵테일",사용 가능한 예약,"어린이 점심 즐거운 어린이 점심 음료 저녁 식사 저녁 식사 all-you-can-drink paypay 지불 가능 캐주얼 온라인 예약 가능
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,,예,불가능합니다,예,03-5965-9000,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001756924/archive/3525995-67B576115F754.JPG,,,,TV 및 모니터 사용 가능,,Suica,,,
和牛・牛タン・地鶏炭火×個室創作料理 鶴龍 池袋総本店,"와규 쇠고기, 쇠고기 혀, 현지 치킨 숯 구이 X 개인 실 크리에이티",https://retty.me/area/PRE13/ARE662/SUB66202/100000736934/,050-5304-0704,이자카야 쇠고기 혀 야키토리 쇠고기 요리 motsunabe,"[월요일 ~ 목요일]
저녁 식사 16:00-24:00 L.O. 23:00
[금요일/휴가 전]
저녁 식사 16:00-28:00 L.O. 26:00
[토양]
저녁 식사 12:00-28:00 L.O. 26:00
[일요일과 휴일]
저녁 식사 12:00-24:00 L.O. 23:00
*오후 11시 이후에 방문하는 경우 미리 저희에게 연락하십시오.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"다카와 빌딩 4F, 1-4-6 Higashi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro Station (190m)에서 도보로 3 분 거리
도쿄 메트로 유라 커코 라인 / 히가시-비스듬한 부쿠로 스테이션에서 도보 8 분 (580m)","없음
근처 (할인 없음) 사용 가능",90 석,예,"예
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
최대 86 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
예약 할 수있는 제한된 수 (스탠딩 식사) 90 명","[공식적인]
https://kakuryu.foodre.jp/","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","999 엔 미만의 모든 잉크 가격, 2999 엔 미만의 싱글 링크, 3000 엔 미만의 3999 엔, 4,000 엔 미만의 4999 엔, 5000 엔, 5000 초 이상, 2 시간 이상 2 시간 이상 2 시간 이상 2 위를 차지할 수 있습니다. 3 시간 이상","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 매우 매운 메뉴, 요리사가 해외에서 훈련을 받고, 요리사가 유명한 식당에서 훈련을 받고, 요리사가 유명한 식당에서 훈련을 받았으며, 유명한 요리사가 요리를 준비했으며, 매장에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"엔터테인먼트, 여자 파티, 점심, 개인 객실, 저녁 식사, 저녁 식사, 전후 마감, 저녁 식사, 고기, 사케, 개인 객실 점심, 지불금 지불 이용 가능, 새해 파티, 웰컴 파티, 성인 새해 파티, 신속한 새해 파티, 성인 파티, 빠른 새해 파티, 빠른 새해 파티, 빠른 새해 파티, 빠른 새해 파티, 빠른 새해 파티, 빠른 새해 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
조용한 가게
차분한 분위기
나이트 뷰를 볼 수 있습니다
숨는 곳","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다","예
상점에서 구입할 수 있습니다",예,03-6915-2900,"중국인
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000736934/archive/2468602-6130a04ddbdfa.jpg,,Ikebukuro 역에서 도보로 1 분/JR East Exit과 Cross Meiji Street를 빠져 나와 Yamada Denki Crossroads Building의 4 층으로 향하십시오. 1 층의 안경 시장,예 (무료),,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Quicpay, AU 지갑",https://www.instagram.com/kakuryu_ikebukuro/,,
聚福楼,Jufukurou,https://retty.me/area/PRE13/ARE662/SUB66201/100000844234/,050-5304-2295,야키니 쿠이자 카야 중국 요리,"[하루 종일]
 11:30-23:30
금요일, 토요일 및 공휴일에는 종종 가득 차 있지만 상점에 연락하십시오.
우리는 좌석을 제공 할 수 있으므로 저희에게 연락 할 수 있다면 귀하의 도움에 감사드립니다.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",,"4F Daio Building, 1-37-16 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (89m)",예,"60 석
(테이블)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://jufukurou.foodre.jp/",,,,,사용 가능한 예약,"쌀, 점심, 고기, 점심, 점심, 그룹 날짜, 결혼 기념일, 온라인 예약 가능, 연말 파티, 새해 파티, 저녁 식사, 작별 파티, 환영 파티, 인기있는 레스토랑
다른 사용 장면을 참조하십시오",,,,,,예,03-6912-7333,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000844234/archive/2411003-60dc0560c30a8.jpg,https://x.com/jufuku137,,,,https://www.facebook.com/people/jufukuro/100012575528195,,,,
