restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,store_website,facebook,lecture,available_drinks,cooking_specialties,drinking_specialties,usage_scenes,waiting,service,wifi_available,phone_number,video,ic_card_payment,private,remarks,reservation,child_friendly,power_supply_available,instagram,twitter,foreign_language_support,dress_code,pet_friendly,additional_equipment,인근 시설
sibafu,시바 푸,https://retty.me/area/PRE13/ARE13/SUB704/100000757098/,050-5304-6117,다이닝 바 이자카야,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Bernard House 1f, 1-7-5 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 5 분 (400m)
Tokyu Meguro Line / Fudomae 역에서 도보로 10 분 (730m)
JR Yamanote Line / Gotanda Station 19 분 도보 (1.5km)","없음
근처 (할인 없음) 사용 가능",32 석,예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://sibafu.foodre.jp/",https://www.facebook.com/gotosibafu/,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 싱글 링크",매장 내 준비,"맥주, 쇼치, 와인, 위스키, 칵테일","저녁 식사, 쌀, 음료 와인, 파티, 파티, 솔로, 생일, 흡연, 고기, 애프터 파티, 소녀의 밤, 날짜, 공예 맥주, 급여 지불 지불, 온라인 예약, 연말 파티, 새해 파티
다른 사용 장면을 참조하십시오",숨는 곳,놀라운 응답 가능,예,03-6321-6315,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000757098/archive/245737-596458c9b0438.jpg,,,,,,,,,,,,,
恵比寿 逆月,Ebisu Reverse Moon,https://retty.me/area/PRE13/ARE13/SUB704/100001623589/,050-5462-6068,일본 요리 이자카야 해산물 및 해산물 요리 카포/작은 요리 레스토랑,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
{월요일, 화요일, 수요일, 목요일, 금요일}
봐라. 요리 22:00 음료 22:30
{토요일과 일요일}
봐라. 요리 22:00 음료 22:30","불규칙 휴일 매년 1 월 2 일 매년 1 월 3 일 매년 1 월 4 일 매년 12 월 31 일 매년 1 월 4 일
자세한 내용은 공식 웹 사이트를 확인하십시오.
불규칙한 휴일","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Yaguchi Building 1f, 1-11-26 Mita, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 9 분 (710m)
JR Yamanote Line / Meguro 역에서 도보 10 분 (780m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 17 분 (1.3km)","없음
근처 (할인 없음) 사용 가능",17 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명","[공식적인]
https://ebisu-sakazuki.foodre.jp/
https://www.sakazukiya.com/ebisu/",,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 코스에는 5,000 엔 이상의 링크, 2 시간 동안 온전한 링크, 2 시간 반 동안 온전한 링크가 포함됩니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키","저녁 식사, 식사, 엔터테인먼트, 개인 실, 음료수, 데이트, 예약, 예약, 즐길 수 있고, 술에 취하고, 술에 취해, 술에 취할 수 있고, Paypay 포인트로 지불 할 수 있으며, 온라인으로 예약 할 수 있습니다. 새해 파티, Farewell Party, Farewell Party, Farewell Party, Farewell Party.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",없음,03-6712-2235,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001623589/archive/3353818-668799ed1fb2.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",예,"적격 송장 (송장)을 수용하기 위해 영수증을 발행 할 수 있습니다.
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.

*LA Carte와 Kaiseki 모두에 대해 10%의 서비스 요금이 청구됩니다.",사용 가능한 예약,"예
유아, 유치원 어린이, 초등학생을 환영합니다",예 (무료),,,,,,,
つきはし,Tsukihashi,https://retty.me/area/PRE13/ARE13/SUB704/100000856981/,050-5461-5730,"일본 요리, 카포 및 작은 레스토랑","[월요일부터 금요일까지]
저녁 식사 18:00-22:30 L.O. 21:30
[토양]
저녁 식사 18 : 00-21 : 30 L.O. 20:30
* 점심 사업은 잠시 동안 폐쇄됩니다.

폐쇄를 포함하여 상점에 대한 정보는 때때로 Facebook에 게시됩니다.
https://www.facebook.com/tukihashi/
협력 해 주셔서 대단히 감사합니다.",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"메 구로 파르테논 건물 4F, 1-5-17 메 구로, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (320m)
도쿄 메 구로 라인 / 푸 도마 스테이션 13 분 도보 (1.0km)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",,25 석,"예
(6 석)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://tukihashi.com/index.html,,"5,000 ~ 5,999 엔 코스가 있으며 8,000 엔 코스가 있습니다.",,,일본어를 사용할 수 있습니다,"날짜, 소녀의 밤, 저녁 식사, 싱글, 저녁 식사, 고기, 새해 파티, 연말 파티, 성인의 은신처, 연회 및 음주 파티, 작별 파티, 환영 파티, 비 흡연, 점심 날짜, 점심 소녀 밤, 급여 지불 포인트 받기
다른 사용 장면을 참조하십시오",차분한 분위기,,,03-6417-9023,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000856981/archive/1842769-5f56fe43e06c2.jpg,,,,사용 가능한 예약,,,,,,,,,
maya 目黒店,Maya Meguro 매장,https://retty.me/area/PRE13/ARE13/SUB704/100000005705/,050-5462-7427,네팔 요리 이자카야 테이크 아웃,"[태양, 월요일부터 금요일, 토요일]
 11:00-15:00
 17:00-23:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,PayPay,"2f Cesar Building, 1-2-22 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (220m)
Tokyu Meguro Line / Fudomae 역에서 도보로 11 분 (840m)
JR Yamanote Line / Gotanda Station 18 분 도보 (1.4km)",예,50 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://www.maya-nepali.net/index.html,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","1.5 시간 동안 all-you-can-drink, 2.5 시간 동안 당신이 싱글 링크, 3 시간 이상 동안 당신이 다루는 링크","우리는 야채 요리, 고기 요리, 주인-초프 및 매장 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","싱글 OK 점심 저녁 식사 쌀 쌀 흡연 세련된 점심 급여 지불 지불 이용 가능한 급여세 지불 포인트 온라인 예약 가능 캐주얼 작별 파티 환영 파티 점심 음주
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
음료를 가져올 수 있습니다
휴대품 룸이 있습니다
테이크 아웃 가능성
배송 가능",예,03-5434-1862,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000005705/archive/3498689-6789bc36947fb.jpg,,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
예약 할 수있는 제한된 수의 사람들 : 60 명",,사용 가능한 예약,,,https://www.instagram.com/mayameguroten/,https://x.com/mayameguro7020,"영어 힌디어
언어를 말할 수있는 직원이 있습니다",,,,
林屋茶園 目黒店,Hayashiya Tea Garden Meguro 지점,https://retty.me/area/PRE13/ARE13/SUB704/100001394159/,03-5447-5310,카페 달콤한 상점 테이크 아웃,"[월요일부터 금요일까지]
 10:00-21:00 L.O. 20:30
[하루 종일]
점심 11:00-14:30
저녁 식사 17:00-21:00
[태양, 토요일, 휴일]
 9:00-21:00 L.O. 20:30
*11:00부터 아침 식사가 있습니다 (프렌치 토스트, Warabimochi 및 Kudzu Neri 세트, 오늘의 케이크 세트 및 차만 제공).
*식사는 11:00 ~ 14:30 및 17:00에서 21:00까지 구입할 수 있습니다.
*테이크아웃
주중 : 10 : 00-20 : 00 (L.O 19:30)
토요일, 일요일, 휴일, 9 : 00-20 : 00 (L.O 19:30)
일요일에 열립니다","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1F Meguro Central Square, 3-1-2 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (96m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (920m)
JR Yamanote Line / Gotanda Station 13 분 도보 (1.0km)","예
특별 P 사용 가능",40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://kyo-hayashiya.jp/shoplist/meguro/,https://www.facebook.com/hayashiya.chaen/,,,"우리는 야채 요리, 생선 요리 및 채식 메뉴에 대해 특별합니다.",,PayPay 지불 가능 Paypay Points 온라인 예약 가능 점심 식사 세련,"차분한 분위기
상업용 시설에 위치합니다",테이크 아웃 가능성,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001394159/archive/2868019-63363649cf660.jpg,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay",불가능합니다,"PayPay, DPAY, AU 급여",사용 가능한 예약,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",,https://www.instagram.com/hayashiya.meguro/,,"영어
언어를 말할 수있는 직원이 있습니다",없음,,,
バルマルシェ・コダマ ステーキ&ロブスター アトレ目黒店,바 마르케 코다마 스테이크 & 랍스터 아트 르구로 지점,https://retty.me/area/PRE13/ARE13/SUB704/100001380001/,050-5304-3221,바 스테이크 해산물과 해산물 서부 푸드 바,"[하루 종일]
점심 11:00-16:00 L.O. 15:00
저녁 식사 17:00-21:30 L.O. 21:30
[Sun, Friday, Saturday 및 Holidays]
아침 8:30-10:30 L.O. 10:00","불규칙한 휴일
폐쇄 된 날은 Atre와 동일합니다

*고기 요리의 마지막 주문은 오후 9시입니다.
*예약은 저녁 식사 만 허용됩니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",예,,"2 층, Atre Meguro 2, 3-1-1 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 1 분 도보 (65m)
Tokyu Meguro Line / Fudomae Station에서 도보로 11 분 (880m)
JR Yamanote Line / Gotanda Station 14 분 도보 (1.1km)",,82 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","[공식적인]
https://barmarchekodama.foodre.jp/",,,,,,"All-You-Can-Drink Dinning Dinner 저녁 식사 새해 파티 점심 개인 방 싱글 룸 엔터테인먼트 고기 아침 식사 포인트 온라인 예약 가능 연말 파티 환영 파티 점심 점심 세련된 성인 날짜
다른 사용 장면을 참조하십시오",,,,03-5435-4105,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001380001/archive/471818-5b3ee1d8d353e.jpg,,,,,,,,,,,,,
マーダル目黒店,Mardal Meguro 매장,https://retty.me/area/PRE13/ARE13/SUB704/100000104401/,03-3442-3566,카레 인도 음식 이자카야,"[tue-fri-sat]
저녁 식사 18:00-22:00 L.O. 21:00
[낮]
점심 12:00-15:00 L.O. 14:00
영업 시간은 하루에 따라 다를 수 있습니다
[추가 비즈니스 시간]
팔리 자마자 끝납니다.
점심은 오후 3 시까 지 끝날 수 있습니다.","[폐쇄 일]
월요일

[정규 휴일에 대한 추가 정보]
1 월은 일요일에 문을 닫고 월요일에 문을 엽니 다. 월요일이 공휴일이라면 월요일 점심에만 문을 열고 화요일에는 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"메 구로 비즈니스 아파트 5F, 2-15-2 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (130m)
Tokyu Meguro Line / Fudomae 역에서 도보로 12 분 (930m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 스테이션 15 분 도보 (1.1km)","없음
근처 (할인 없음) 사용 가능","24 석
(24 테이블)","없음
(3 개의 카운터 좌석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",https://madal-meguro.com/,https://www.facebook.com/madism/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","5,000 엔 이상을위한 전산 된 코스가 포함되어 있으며, 2 시간 동안 온 All-You-Can-Drink, 2.5 시간 동안 온 All-You-Can-Drink, 3 시간 이상 싱글 링크가 있습니다.","알레르기, 채식 메뉴, 어린이 메뉴, 소유자 요리사, 매장 준비 가능","맥주, 쇼치, 와인, 위스키, 칵테일","점심, 데이트, 결혼 기념일, 그룹 데이트, 싱글 파티, 환영 파티, 작별 파티, All-you-can-drink, 쌀, 연말 파티, 새해 파티, 개인 점심, 개인 객실 날짜, 점심 날짜, 그룹 날짜, 개인 객실, 지불금 지불, 급여 지불 포인트
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳",테이크 아웃 가능성,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000104401/archive/275623-62b2cb3e4d0f9.png,Suica,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 11 명
최대 24 명을 임대 할 수 있습니다",,사용 가능한 예약,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",,,,"영어
언어 지원 메뉴가 있습니다",없음,불가능합니다,프로젝터 및 사운드 장비,
maya 目黒店,Maya Meguro 매장,https://retty.me/area/PRE13/ARE13/SUB704/100000005705/,050-5462-7427,네팔 요리 이자카야 테이크 아웃,"[태양, 월요일부터 금요일, 토요일]
 11:00-15:00
 17:00-23:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,PayPay,"2f Cesar Building, 1-2-22 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (220m)
Tokyu Meguro Line / Fudomae 역에서 도보로 11 분 (840m)
JR Yamanote Line / Gotanda Station 18 분 도보 (1.4km)",예,50 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://www.maya-nepali.net/index.html,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","1.5 시간 동안 all-you-can-drink, 2.5 시간 동안 당신이 싱글 링크, 3 시간 이상 동안 당신이 다루는 링크","우리는 야채 요리, 고기 요리, 주인-초프 및 매장 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","싱글 OK 점심 저녁 식사 쌀 쌀 흡연 세련된 점심 급여 지불 지불 이용 가능한 급여세 지불 포인트 온라인 예약 가능 캐주얼 작별 파티 환영 파티 점심 음주
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
음료를 가져올 수 있습니다
휴대품 룸이 있습니다
테이크 아웃 가능성
배송 가능",예,03-5434-1862,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000005705/archive/3498689-6789bc36947fb.jpg,,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
예약 할 수있는 제한된 수의 사람들 : 60 명",,사용 가능한 예약,,,https://www.instagram.com/mayameguroten/,https://x.com/mayameguro7020,"영어 힌디어
언어를 말할 수있는 직원이 있습니다",,,,
つきはし,Tsukihashi,https://retty.me/area/PRE13/ARE13/SUB704/100000856981/,050-5461-5730,"일본 요리, 카포 및 작은 레스토랑","[월요일부터 금요일까지]
저녁 식사 18:00-22:30 L.O. 21:30
[토양]
저녁 식사 18 : 00-21 : 30 L.O. 20:30
* 점심 사업은 잠시 동안 폐쇄됩니다.

폐쇄를 포함하여 상점에 대한 정보는 때때로 Facebook에 게시됩니다.
https://www.facebook.com/tukihashi/
협력 해 주셔서 대단히 감사합니다.",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"메 구로 파르테논 건물 4F, 1-5-17 메 구로, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (320m)
도쿄 메 구로 라인 / 푸 도마 스테이션 13 분 도보 (1.0km)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",,25 석,"예
(6 석)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://tukihashi.com/index.html,,"5,000 ~ 5,999 엔 코스가 있으며 8,000 엔 코스가 있습니다.",,,일본어를 사용할 수 있습니다,"날짜, 소녀의 밤, 저녁 식사, 싱글, 저녁 식사, 고기, 새해 파티, 연말 파티, 성인의 은신처, 연회 및 음주 파티, 작별 파티, 환영 파티, 비 흡연, 점심 날짜, 점심 소녀 밤, 급여 지불 포인트 받기
다른 사용 장면을 참조하십시오",차분한 분위기,,,03-6417-9023,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000856981/archive/1842769-5f56fe43e06c2.jpg,,,,사용 가능한 예약,,,,,,,,,
恵比寿 逆月,Ebisu Reverse Moon,https://retty.me/area/PRE13/ARE13/SUB704/100001623589/,050-5462-6068,일본 요리 이자카야 해산물 및 해산물 요리 카포/작은 요리 레스토랑,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
{월요일, 화요일, 수요일, 목요일, 금요일}
봐라. 요리 22:00 음료 22:30
{토요일과 일요일}
봐라. 요리 22:00 음료 22:30","불규칙 휴일 매년 1 월 2 일 매년 1 월 3 일 매년 1 월 4 일 매년 12 월 31 일 매년 1 월 4 일
자세한 내용은 공식 웹 사이트를 확인하십시오.
불규칙한 휴일","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Yaguchi Building 1f, 1-11-26 Mita, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 9 분 (710m)
JR Yamanote Line / Meguro 역에서 도보 10 분 (780m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 17 분 (1.3km)","없음
근처 (할인 없음) 사용 가능",17 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명","[공식적인]
https://ebisu-sakazuki.foodre.jp/
https://www.sakazukiya.com/ebisu/",,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 코스에는 5,000 엔 이상의 링크, 2 시간 동안 온전한 링크, 2 시간 반 동안 온전한 링크가 포함됩니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키","저녁 식사, 식사, 엔터테인먼트, 개인 실, 음료수, 데이트, 예약, 예약, 즐길 수 있고, 술에 취하고, 술에 취해, 술에 취할 수 있고, Paypay 포인트로 지불 할 수 있으며, 온라인으로 예약 할 수 있습니다. 새해 파티, Farewell Party, Farewell Party, Farewell Party, Farewell Party.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",없음,03-6712-2235,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001623589/archive/3353818-668799ed1fb2.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",예,"적격 송장 (송장)을 수용하기 위해 영수증을 발행 할 수 있습니다.
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.

*LA Carte와 Kaiseki 모두에 대해 10%의 서비스 요금이 청구됩니다.",사용 가능한 예약,"예
유아, 유치원 어린이, 초등학생을 환영합니다",예 (무료),,,,,,,
