restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,ic_card_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,facebook,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,pet_friendly,power_supply_available,wifi_available,phone_number,foreign_language_support,additional_equipment,video,qr_code_payment,store_website,instagram,remarks,인근 시설,twitter,beer_maker
BUNMEIDO CAFE,Bunmeido Cafe,https://retty.me/area/PRE13/ARE15/SUB1503/100000792515/,050-5461-1629,"카페, 커피 숍, 일본 과자","[하루 종일]
점심 11 : 30-15 : 00 L.O. 15:00
[월요일부터 금요일까지]
 11:30-21:00 L.O. 20:00
[토양]
 11:30-20:00 L.O. 19:00
[일요일과 휴일]
 11:30-18:30 L.O. 18:00
마감 시간은 하루에 따라 다를 수 있습니다
우리는 주말과 휴일 예약을 수락하지 않으므로 매장에 직접 오십시오.",새해 휴일 (확인하십시오),"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet","1-13-7 Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 3 분 거리 (200m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 거리 (330m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 7 분 거리 (530m)","없음
이웃 P (할인) 사용 가능",60 석,"예
(3 개의 카운터 좌석)","불가능합니다
(완전히 금연, 연기가 소유 한 실내)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",https://www.facebook.com/bunmeidocafe/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔, 4,000 엔에서 4,999 엔, 1 시간 반 동안 싱글 링크를 포함하는 코스가 있습니다.","우리는 야채 요리에 대해 특히 알고 있으며, 알레르기가있는 고객을 수용하고 매장 내에서 준비 할 수 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"쌀, 점심, 그룹 데이트, 성인의 은신처, 테라스, 소녀의 밤, 비 흡연, 점심, 소녀의 밤, 쿠폰 이용 가능, 온라인 예약 가능, 전적으로 마주크, 작별 파티, 환영 파티, 점심 음주, 인기있는 식당 예약
다른 사용 장면을 참조하십시오","차분한 분위기
골목을 향합니다
테라스가 있습니다
정원이 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",없음,예,불가능합니다,예 (무료),없음,03-3245-0002,언어 지원 메뉴가 있습니다,프로젝터 포함,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000792515/archive/1524903-5e684e1cb861f.png,,,,,,,
bakuro COMMON,바쿠로 공통,https://retty.me/area/PRE13/ARE15/SUB1503/100000928063/,050-5303-4455,이탈리아 요리 고기 바 스테이크,"[월요일부터 금요일까지]
 11:30-23:30
[토양]
 12:00-23:30
[일요일과 휴일]
 12:00-22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.
점심을위한 마지막 주문은 오후 2시 30 분에 오후 3시에 문을 닫고 마지막 주문은 저녁 식사를 위해 오후 5시에 열리고 마지막 주문은 마감 시간 1 시간 전입니다.
우리는 오후 3 시부 터 오후 5 시까 지 문을 닫습니다.","불규칙한 휴일
새해 휴일 (확인하십시오)
최신 매장 휴일은 Instagram 또는 Facebook의 매장 페이지에서 알림을받습니다.
""Bakurocommon""을 검색하고 우리를 따르십시오.","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Quicpay","Suzumori 건물 1f 및 2f, 3-12-7 Higashi-Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Bakuro Yokoyama Station에서 도보 2 분 (99m)
Toei Asakusa Line / Higashi-Nihonbashi Station에서 도보 2 분 (99m)
Jr Sobu Main Line / Bakurocho Station에서 도보 2 분 (99m)","없음
근처 (할인 없음) 사용 가능","60 석
(1 층, 10 개의 카운터 좌석, 8 개의 테라스 좌석, 2 층, 34 개의 테이블 좌석, 8 개의 소파 좌석)",예,"불가능합니다
(상점 외부에 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 2 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
예약 할 수있는 제한된 수 (스탠딩 식사) 90 명",https://www.facebook.com/bakurocommon,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 코스에는 5,000 엔 이상의 링크가 포함됩니다.","우리는 야채 요리, 고기 요리, 생선 요리, 유기농 야채 및 매장 내 준비에 특별합니다.","맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"여자의 밤 점심 연회 및 음주 파티 성인 은신처 점심 살료 날짜 급여 지불 지불 이용 가능 크리스마스 저녁 식사 점심 점심 식사 성인 연말 파티 all-you-can-eat All-You-Can Eat Adult Party 스타일리쉬
다른 사용 장면을 참조하십시오","천장이 높습니다
차분한 분위기
골목을 향합니다
테라스가 있습니다","놀라운 응답 가능
축하 가능성",,"예
초등학생들은 환영합니다",,,없음,03-6661-1657,,프로젝터 포함,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000928063/archive/646828-5c0643ba1099c.jpg,PayPay,"[공식적인]
https://bakurocommon.foodre.jp/",https://www.instagram.com/bakurocommon/,"○ 아이들이 동반되는 것에 대해
초등학생의 어린이는 오후 9 시까 지 문을 엽니 다. 이해 해주셔서 감사합니다.

○ 애완 동물이있는 고객의 경우
우리 가게는 개 카페가 아닙니다.
일반 고객이 우선 순위를 갖습니다.　
상점의 최소 규칙을 따르면 애완 동물을 입력 할 수 있습니다.
그러나 2 명의 고객 당 하나만 청구됩니다.
다른 고객이 문제를 일으키는 경우 상점을 떠나라고 요청할 수 있습니다.

○ 카페 사용과 관련하여
차만 오후 2 시부 터 오후 6 시까지만 제공됩니다.

○ 컴퓨터 및 iPad 사용과 관련하여
오후 6시 이후에는 컴퓨터 나 iPad를 사용할 수 없습니다. 이해 해주셔서 감사합니다.",,,
全席個室 楽蔵うたげ 八重洲店,모든 좌석 개인 객실 Rakuzo Utage Yaesu 매장,https://retty.me/area/PRE13/ARE15/SUB1503/100000015714/,050-5303-1831,이자카야 야키토리,"[하루 종일]
 17:00-23:30 L.O. 22:30
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*업무 시간 이전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔","비자
Amex
식당
JCB",,"Masya Building 1-4f, 3-2-16 Nihonbashi, Chuo-Ku, 도쿄 리셉션 1f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 4 분 거리 (320m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 6 분 거리 (430m)
JR Yamanote Line / 도쿄 역에서 도보로 8 분 (570m)",없음,220 석,없음,"불가능합니다
흡연실 사용 가능
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",고기 요리 전문,"맥주, 사케, 쇼치",,"고기 개인 객실 연회 및 음주 파티 전 만해도 마실 저녁 식사, 연말 파티 새해 파티 작별 파티 환영 파티 흡연 허용 쿠폰 이용 가능 PayPay Point 온라인 예약 가능
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성",,,,,없음,050-2018-8849,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000015714/archive/2723166-628f04d5a291f.jpg,,"[공식적인]
https://rakuzouutage-yaesu.foodre.jp/
https://rakuzo.dkdining.com/yaesu/",,"PayPay/dpay/aupay/line pay/rakutenpay/merpay/alipay/wechat pay/id
좌석 수수료가 있습니다. (코스 당시 가격에 포함)",,,
日本橋宮川,미야가와 니혼 바시,https://retty.me/area/PRE13/ARE15/SUB1503/100000081371/,03-3241-0736,장어 치킨 접시 테이크 아웃,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
점심 11:00-15:00
저녁 식사 17:00-20:30 L.O. 20:00",매주 일요일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",,"1-9-11, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 5 분 (340m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 6 분 거리 (420m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 (500m)","없음
근처 (할인 없음) 사용 가능","44 석
(모든 좌석은 테이블 좌석입니다.)",없음,"불가능합니다
(Ashtrays는 상점 외부에 설치됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명",,,,우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치",사용 가능한 예약,"점심, 쌀, 저녁 식사, 고기, 예약, 어린이와 함께 즐길 수 있으며, 어린이가 즐길 수 있으며, 비소를 즐길 수 있으며, 금연, 급여 지불금을받을 수 있고, 급여 지불 포인트 받기, 온라인 예약, 새해 파티, 작별 파티, 환영 파티, 인기있는 식당 예약.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기","축하 가능성
테이크 아웃 가능성
배송 가능",없음,예,,,예,,"영어
언어 지원 메뉴가 있습니다",,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000081371/archive/1936497-5f7fb6cac3e99.jpg,PayPay,https://nihonbashi-miyagawa.com/,,,,,
肉と僕と私,"나, 나와 나",https://retty.me/area/PRE13/ARE15/SUB1503/100001560733/,050-5462-2115,이자카야 피자 고기 바,"[하루 종일]
 10:00-23:00 L.O. 22:30",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,,"3f Hisae Building, 3-1-15 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 2 분 거리 (160m)
JR Yamanote Line / 도쿄 역에서 도보로 3 분 (240m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (340m)","없음
근처 (할인 없음) 사용 가능",70 석,없음,"예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 28 명까지 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
최대 40 명이 임대 할 수 있습니다 (스탠드 스탠딩 식사)",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, ALL-YOU-CAN-DRINK 가격 3,000-4,999 엔, ALL-YOU-CAN-DRINK 가격 5,000 엔 또는 3,000-3,999 엔, 3,000-3,999 엔, All-You-Can-Drink Cours는 All-You-Can-Drink for 4,000-Drink를 포함합니다. All-You-Can-Drink 코스에는 5,000 엔 이상, 2 시간 반 정도, 3 시간 이상 동안 만약이 포함되어 있습니다.","우리는 야채 요리, 고기 요리, 유기농 야채, 채식 메뉴, 소유자 chef 및 매장 준비에 특히 도움이됩니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 개인 객실, 점심, 저녁 식사, 고기, 흡연, 흡연, 와인, 와인, 와인, 생일, 술 마시기, 여자 밤, 새해 파티, 점심, 여자 밤, 기념일, 지불금, 온라인 예약 가능, 인기있는 매장 예약
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,,예,03-4540-1040,"영어
언어를 말할 수있는 직원이 있습니다",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001560733/archive/3453370-6736cb445ee4f.png,PayPay,"[공식적인]
https://nikutobokutowatashi.foodre.jp/",,도쿄 스테이션/야 에스/고기 바/소녀 파티/생일/개인 연회/개인 회,,,
シュラスコレストラン ALEGRIA COREDO室町2,Churrasco 레스토랑 Alegria Coredo Murachi 2,https://retty.me/area/PRE13/ARE15/SUB1503/100001709226/,050-5462-3659,이자카야 고기 바 쿠라 스코 야키니 쿠,"[월요일부터 금요일까지, 휴일 전]
점심 11:00-15:00 L.O. 14:30
[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
점심 11:00-16:00 L.O. 15:30
[Sun, Saturday, Holidays, 휴일 전]
저녁 식사 16:00-23:00 L.O. 22:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Rakuten Edy, Quicpay","2F, Coredo Murachi, 2-3-1, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 2 분 (110m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (230m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 6 분 거리 (460m)","예
특별 P 사용 가능","70 석
(앉을 때 70 명, 서있을 때 90 명)",없음,"불가능합니다
(현장에서 흡연실 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
최대 70 명을 임대 할 수 있습니다 (좌석)
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명",,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",고기 요리 전문,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"어린이와 함께 점심 저녁 식사를 즐길 수 있습니다. 아이들과 함께 즐길 수 있습니다. 크리스마스 저녁 식사 크리스마스 저녁 식사 모든 고기 고기 전후 당신이 흠뻑 젖은 연회/음료 축하 축하 새해 파티 작별 파티를 환영 파티를 환영합니다.
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점
차분한 분위기
숨는 곳
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성",평상복,"예
미취학 아동이 허용되며 초등학생은 허용됩니다",불가능합니다,예 (무료),예,03-6262-5955,영어 중국어,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001709226/archive/3524063-67B2C30D3756C.png,,"[공식적인]
https://alegriacoredomuromaci2.foodre.jp/",,,,,
日本橋 すし釣りきん,Nihonbashi 스시 낚시,https://retty.me/area/PRE13/ARE15/SUB1503/100001400940/,03-6281-9625,스시 이자카야 해산물 쌀 그릇 일본 요리 해산물 및 해산물,"[하루 종일]
 11:00-21:00","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Rakuten Edy, Quicpay","Coredo Murachi 2 B1F, 2-3-1, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 2 분 (110m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (230m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 6 분 거리 (460m)","예
특별 P 사용 가능",12 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.",,우리는 생선 요리에 대해 특히 그렇습니다. 생산 구역에 특히 그렇습니다.,"맥주, 사케, 쇼치",사용 가능한 예약,"쌀, 점심, 저녁 식사, 싱글 OK, 맛있는/저렴한 레스토랑, 브런치, 연회 및 음주 파티, 결혼식, 애프터 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 세련된 고기, 점심 시간 음주, Shochu는 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
상업용 시설에 위치합니다",테이크 아웃 가능성,없음,예,불가능합니다,,예,,"영어 중국어 한국
언어 지원 메뉴가 있습니다",,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001400940/archive/3257926-65dfe6a908b53.jpg,,"[공식적인]
https://nihonbashi-tsurikin.foodre.jp/",https://www.instagram.com/turikinnihonbashi/,,,,
Rogue Hill,도적 힐,https://retty.me/area/PRE13/ARE15/SUB1503/100001342407/,050-5304-8999,비스트로 와인 바 바,"[월요일부터 금요일까지]
저녁 식사 17 : 30-24 : 00 L.O. 23:30
[물]
점심 11:30-12:30
[토양]
저녁 식사 18:00-23:00 L.O. 22:30
마지막 식사 순서는 22:00입니다 (차가운 요리 등은 22:30입니다)
1 인당 300 엔 혐의가 청구됩니다.
점심 도시락은 매진되면 매진됩니다.

*우리는 토요일마다 매주 열릴 것입니다.","매주 일요일과 공휴일
*우리는 토요일마다 매주 열릴 것입니다.","저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1f, Lynx Nihonbashi Honmachi, 4-5-16 Nihonbashi Honmachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 2 분 거리 (140m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (310m)
JR Yamanote Line / Kanda (도쿄) 역 5 분 도보 (350m)","없음
근처 (할인 없음) 사용 가능","18 석
(레스토랑 18 석, 테라스 좌석 4 개)",예,"불가능합니다
(테라스 좌석 만)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) 12 명
임대 가능 (좌석) : 18 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 12 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) 18 명",,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.",,,,사용 가능한 예약,"테라스, 와인, 고기, 저녁 식사, 솔로, 연회 및 음주 파티가있는 쌀, 환영 파티, 작별 파티, 전산, 생일, 애프터 파티, 날짜, 연말 파티, 새해 파티, 온라인 예약, 크리스마스 저녁 식사, 성인 데이트
다른 사용 장면을 참조하십시오","개방성이 있습니다
숨는 곳
테라스가 있습니다",소믈리에가 있습니다,,불가능합니다,"예
상점 밖에서 사용할 수 있습니다",예 (무료),예,03-6262-0974,언어 지원 메뉴가 있습니다,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001342407/archive/1284929-5dd26f223d047.jpg,,,,요금 (좌석 요금)을 받게됩니다.,,,
ミゲルフアニ 日本橋高島屋店,Miguel Juani Nihonbashi Takashimaya 매장,https://retty.me/area/PRE13/ARE15/SUB1503/100001436471/,050-5304-3049,스페인 요리 이자카야,"[하루 종일]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00","하루 종일 개점
새해 휴일 (확인하십시오)
시설과 동일합니다
・ 시설과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Rakuten Edy","Nihonbashi Takashimaya S.C. New Building 7F, 2-5-1 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 니혼 바시 (도쿄) 역에서 도보 1 분 (61m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (420m)","예
특별 P 사용 가능","48 석
((38 테이블 좌석, 10 개의 카운터 좌석)))",예,"(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료 및 매장 내에서 준비된 것입니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁, 점심, 세련된 식사, 점심 식사 소녀 파티, 연말 파티, 새해 파티, 크리스마스 저녁 식사, 싱글 링크, 와인 마시기, 연회 및 마시는 파티, 데이트, 공예 맥주, 작별 파티, 환영 파티, 환영 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
상업용 시설에 위치합니다",놀라운 응답 가능,,예,,,예,03-6910-3248,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001436471/archive/1002653-5d1b2c72451c.jpg,,"[공식적인]
https://migeruhuani-nihonbashi.foodre.jp/
https://www.zato.co.jp/restaurant/migueljuani/migueljuani_nihonbashi/",,"QR 코드 결제
・ PayPay ay rakutenpay ・ dpay ・ aupay ・ merpay ・ alipay ・ we chatpay
전자 돈
・ ID ak Rakuten Edy",,,
東京八重洲最大級レモンサワー専門店 八重洲商店 東京駅前店,"Yaesu Shoten, 도쿄 도쿄에서 가장 큰 레몬 사워 스페셜티 스토어 중 하나",https://retty.me/area/PRE13/ARE15/SUB1503/100001683795/,050-5462-1728,이자카야 야키토리,"[하루 종일]
 11:00-24:00 L.O. 23:00
예약은 11:00에서 16:00까지 수락됩니다.",불규칙한 휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1F, 3-3-4 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 3 분 거리 (210m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (260m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (350m)",없음,30 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"여자 야간 파티, 점심, 흡연, 흡연 허용, 저녁 식사, 심야 개장, 새해 파티, 엔터테인먼트, 온전한 링크, 연회 및 음주 파티, 급여 지불 수락, 환영 파티, 캐주얼, 온라인 예약, 인기있는 매장 예약
다른 사용 장면을 참조하십시오",,,,예,,,없음,03-4540-1045,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001683795/archive/2920383-637B40015ddef.jpg,PayPay,"[공식적인]
https://yaesushoten-tokyoekimae.foodre.jp/",,,,,
