restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,address,entrance,parking,seats,counter_seats,smoking,private_room,store_website,instagram,twitter,usage_scenes,child_friendly,wifi_available,phone_number,video,qr_code_payment,drinking_specialties,waiting,dress_code,remarks,ic_card_payment,private,facebook,lecture,available_drinks,cooking_specialties,reservation,service,power_supply_available,foreign_language_support,pet_friendly,additional_equipment,쇼핑 직무 정보,온라인 예약,beer_maker
金田屋,Kanedaya,https://retty.me/area/PRE13/ARE2/SUB201/100001632543/,050-5462-3524,과자 기념품 일본 과자 테이크 아웃,"[태양, 월요일부터 금요일, 토요일]
 11:00-20:00",시설과 동일합니다,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔",예,"Exitmelsa 1f, 5-7-10 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Ginza 역에서 도보 2 분 (83m)
도쿄 메트로 히비야 라인 / 히가시 지노자 역에서 도보로 2 분 거리 (98m)",예,"12 석
(스탠드 좌석 (1-4 명) x 3 좌석)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://kanadaya.foodre.jp/
https://kanadaya.co.jp/",https://www.instagram.com/_kanadaya_/,https://x.com/kandaya_,솔로 식사에 이용할 수있는 어린이와 함께 즐기십시오 온라인 예약 가능 인기 상점,예,예,070-1323-5819,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001632543/archive/308995-649a97041552d.jpg,,,,,,,,,,,,,,,,,,,,
Musical Bar Matinee&Soiree,뮤지컬 바 Matinee & Soiree,https://retty.me/area/PRE13/ARE2/SUB201/100001738464/,050-5462-5455,술집,"[tue-fri]
 17:00-24:00
[태양/토요일]
 15:00-24:00",매주 월요일,"점심:-
저녁 식사 : ~ 5,000 엔",예,"Nishigo Building 1f, 5-4-5 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 1 분 (60m)
도쿄 메트로 히비야 라인 / 히가시 긴자 역에서 도보 2 분 (160m)
도쿄 메트로 히비야 라인 / Hibiya Station에서 도보로 3 분 거리 (200m)",없음,7 석,예,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(Kabou 담배 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://musical-bar-matinee-soirne.foodre.jp/",https://www.instagram.com/bar_matinee.and.soiree,,"저녁 식사, 흡연 허용 후 파티, 단일 지불 수락, 급여 지불 지불, 온라인 예약 수락",,예,03-3572-2400,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001738464/archive/3289598-661e47f81e245.jpeg,PayPay,칵테일 이용 가능,"조용한 가게
차분한 분위기
숨는 곳",없음,,,,,,,,,,,,,,,,
GINZA Cafe Hanon,Ginza Cafe Hanon,https://retty.me/area/PRE13/ARE2/SUB201/100001725183/,050-5462-6772,과자 카페 팬케이크,"[하루 종일]
 8:00-15:30 L.O. 14:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB","Ginza J Building 1f, 3-14-5 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 히가시 긴자 역에서 도보 3 분 (240m)
도쿄 메트로 유라 커코 라인 / 신티모 코 (Tokyo) 역 (270m)에서 도보로 4 분
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome 역에서 도보 5 분 (340m)",예,28 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"여자 야간 음주, 점심 시간, 솔로, 테라스, 급여 지불 지불, 작별 파티, 환영 파티, 세련된",,예,03-3248-5757,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001725183/archive/3420926-67093074d0b5c.jpg,PayPay,,,,이것은 완전히 현금이없는 지불 스토어이므로 현금 지불은 불가능합니다.,,,,,,,,,,,,,,,
北京ダック専門店民福北京烤鴨店 銀座一丁目店,북두두,https://retty.me/area/PRE13/ARE2/SUB201/100001758278/,050-5462-7256,중국 음식,"[하루 종일]
점심 11:00-16:30 L.O. 16:30
저녁 식사 17:00-23:00 L.O. 22:15",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex","801 룸 Kirarito Ginza Building, 1-8-19 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보 1 분 (54m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 3 분 거리 (200m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (320m)",없음,180 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://peking-duck-ginza-icchome.foodre.jp/",,,"아이들과 함께 점심, 점심, 즐거운 시간, 애프터 파티, 저녁 식사, 솔로, 지불금 지불 이용 가능, 연말 파티, 새해 파티, 모든 링크, 작별 파티, 환영 파티, 캐주얼, 개인 회의실, 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,예,03-3528-6262,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001758278/archive/3492096-67790c0545bfa.jpg,PayPay,,,,,,,,,,,,,,,,,,,
シンハービール公式タイビアキッチン センディーテラス,Singha Beer 공식 태국 맥주 주방 센디 테라스,https://retty.me/area/PRE13/ARE2/SUB201/100001251839/,050-5461-8242,태국 음식,"[일요일, 월요일부터 금요일까지]
점심 11:00-15:00
저녁 식사 17:00-23:00 L.O. 22:00
[토요일, 축하, 휴일 전]
점심 11:00-15:30 L.O. 15:00
저녁 식사 15:00-23:00 L.O. 22:00","하루 종일 개점
시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","5-2-1 Ginza, Chuo-Ku, 도쿄 도쿄 플라자 Ginza 10 층
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (180m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (370m)
JR Yamanote Line / Yurakucho Station에서 도보로 5 분 (400m)","예
근처 (할인 없음) 사용 가능","68 석
(모든 저녁 식사 좌석은 2 시간 동안 이용할 수 있습니다. (식사는 바쁘고 예약, 대기 시간 등) 개인 실이 없지만 최대 10 명은 결합하는 방법에 따라 개인 스타일로 배열 할 수 있습니다.)","예
(10 석)","불가능합니다
흡연실 사용 가능
(상점 외부에 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://sengdee-terrace.foodre.jp/
https://ginza.tokyu-plaza.com/
http://ginza.tokyu-plaza.com/",https://www.instagram.com/sengdeeterrace.ginza,,"데이트, 점심, 음주, 저녁 식사, 점심, 소녀의 밤, 싱글, 그룹 데이트, 예약, 고기, 냉담한 파티, 생일, 세련된 점심, 소녀의 밤, 크리스마스 저녁, 점심 날짜, 점심 날짜가 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","예
어린이는 환영합니다, 유치원 어린이는 환영 받고, 초등학생은 환영 받고, 기저귀를 기저귀로 가져갈 수 있고, 어린이 메뉴, 알레르기 음식을 이용할 수 있습니다.",예,03-6264-5621,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001251839/archive/251965-5972cddd8c11d.jpg,,"맥주, 쇼카, 와인, 위스키, 칵테일","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
활발한 상점
나이트 뷰를 볼 수 있습니다
상단에 있습니다
상업용 시설에 위치합니다",없음,"전화 장비의 결함으로 인해 예약 시간에 대한 변경 사항은 당사에 문의하십시오.
sengdeeterrace@gmail.com
즉시 응답 할 수 없습니다","Suica, Nanaco, Rakuten Edy, Waon, Quicpay","예
예약 할 수있는 사람 수에 대한 최저 한도 (앉음) : 36 명
최대 70 명을 임대 할 수 있습니다 (좌석)
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 70 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",https://www.facebook.com/sengdeeterrace/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, 전산 점수 가격 2,000-2,999 엔, 1.5 시간 동안 모든 금액, 2 시간 동안 완전히 흠뻑 적시고, 3 시간 이상 싱글 링크","우리는 고기 요리, 수입 재료 및 성분을 생산하며 알레르기, 채식 메뉴, 어린이 메뉴, 초 매운 메뉴, 해외 훈련 된 요리사 및 매장 내에서 고객을 수용 할 수 있습니다.",사용 가능한 예약,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",불가능합니다,"영어 힌디어
직원과 함께 언어 지원 메뉴가 있습니다",,,,,
北京ダック専門店 北京烤鴨店 二丁目店,북경 오리 스페셜티 스토어 베이징 핫 오리 스토어 2- 홈 스토어,https://retty.me/area/PRE13/ARE2/SUB201/100001302775/,050-5262-7132,중국 요리 이자카야 베이징 요리 딤섬 / 딤섬 테이크 아웃 Xiaolongbao,"[월요일부터 금요일까지, 휴일 전]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-22:30 L.O. 22:00
[태양, 토요일, 휴일]
 11:00-22:30 L.O. 22:00
일년 내내 열립니다",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Uniden Ginza Building 5F, 2-8-12 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보 2 분 (120m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (180m)
도쿄 메트로 히비야 라인 / 히가시 기샤 지인 스테이션에서 도보로 3 분 거리 (190m)","없음
근처 (할인 없음) 사용 가능","200 석
(5 층 : 120 석 (최대); 6 층 : 80 석 (최대))",없음,"불가능합니다
흡연실 사용 가능
(흡연은 바닥에서 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","[공식적인]
https://beijinkaoya-ginza.foodre.jp/
http://pekingduck09.com/
https://demae-can.com/shop/menu/3128197
https://order.ubereats.com/tokyo/food-delivery/peijing duck Specialty Store Beijing Kaoya Store Ginza Store Beijing Duck Restaurant/Eozxuhmaqgg59c0bj6bxqw/? utm_source = Web-Restaurant-manager",,https://x.com/pekinduckginza1,"점심, 점심, 모든 음식, 연회 및 음주 파티, 온전한 링크, 흡연 허용, 개인 실, 작별 파티, 환영 파티, 쿠폰 이용 가능, 개인용 사용 가능, 무료 WiFi, 급여 지불 지불, 온라인 예약, 연말 파티, 새해 파티
다른 사용 장면을 참조하십시오","예
유아 및 어린이, 유치원 어린이, 초등학생, 기저귀 사용 가능, 이유식을 가져올 수 있고, 이유식은 아기가 될 수 있고, 아기 음식을 사용할 수 있고, 어린이 메뉴 이용 가능",예,03-6885-1808,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001302775/archive/1915648-5f7d32590047c.jpg,PayPay,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다
나는 바다를 볼 수있다
숨는 곳
상단에 있습니다",없음,,,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 가능 (좌석) : 180 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
최대 200 명까지 임대 할 수 있습니다 (스탠드 식사 식사)",https://www.facebook.com/pekinduckginza/,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink 코스에는 5,000 엔 이상을위한 All-You-Can-Drink가 포함되어 있습니다. 3 시간 넘게 만약을 만듭니다","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 수입 된 재료, 유기농 야채, 알레르기, 채식 메뉴, 어린이 메뉴, 초 매운 메뉴, 요리사가 해외에서 훈련을 받고, 유명한 식당에서 훈련을 받고, 유명한 요리사의 요리사, 주인, Chef, Chef, Chef와 함께 할 수 있습니다.",사용 가능한 예약,"축하 가능성
음료를 가져올 수 있습니다",예 (무료),"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",불가능합니다,사운드 장비 사용 가능,,,
和牛の匠 銀座小六,일본 쇠고기 마스터 긴자 코로쿠,https://retty.me/area/PRE13/ARE2/SUB201/100001452913/,050-5462-1763,야키니쿠 해산물과 해산물,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17 : 30-28 : 00 L.O. 27:00
[토양]
저녁 식사 17:00-22:00 L.O. 21:00
일요일과 공휴일에 문을 닫았습니다","매주 일요일과 공휴일
새해 휴일 (확인하십시오)","점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB","7-6-10 Ginza, Chuo-Ku, 도쿄, Assolti Ginza Hanatsubaki Building 8f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 4 분 거리 (310m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보로 5 분 (340m)
도쿄 메트로 히비야 라인 / 히가시 기지 린자 역에서 도보 5 분 (370m)",없음,27 석,예,"연기 분리
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"[공식적인]
https://ginzayakinikukoroku.foodre.jp/",,,"개인 룸 고기 쌀 독신자에게 이용 가능 새해 파티 환영 파티 크리스마스 크리스마스 2024 고급스러운 크리스마스 세련
다른 사용 장면을 참조하십시오","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",예,03-5962-8569,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001452913/archive/335634-668dfc40f2717.jpeg,PayPay,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",차분한 분위기,없음,,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명",,"8,000 엔 이상의 코스","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 2 시간 동안 all-you-can-drink","우리는 고기 요리, 매장 내 생산 공간 및 매장 내 준비에 대해 특히",,"음료를 가져올 수 있습니다
테이크 아웃 가능성",예 (무료),"영어 중국어
언어 지원 메뉴가 있습니다",,,,,
尾崎牛焼肉 銀座 ひむか,오자키 쇠고기 야키니 쿠 진 자 히무카,https://retty.me/area/PRE13/ARE2/SUB201/100001251840/,050-5462-2819,Yakiniku Sushi Sukiyaki 쇠고기 요리,"[하루 종일]
점심 11:00-16:00 L.O. 15:00
저녁 식사 17:00-22:00 L.O. 21:00
영업 시간은 하루에 따라 다를 수 있습니다","불규칙한 휴일
Tokyu Plaza Ginza의 사업과 동일합니다","점심 : ~ 5,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB","5-2-1 Ginza, Chuo-Ku, 도쿄 도쿄 플라자 Ginza 11f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Ginza 역에서 도보 2 분 (130m)
JR Yamanote Line / Yurakucho 역에서 도보로 5 분 (350m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (390m)",예,84 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
7 명 이상","[공식적인]
https://ozakigyu-yakiniku-ginza-himuka.foodre.jp/",,,"소녀의 밤, 성인 은신처, 점심, 와인, 엔터테인먼트, 데이트, 개인 실, 음료수, 쌀, 저녁 식사, 개인 객실, 육류, 새해 파티, 쿠폰 이용 가능, 환영 파티, 점심 시간 음주, 모든 흠, 세련된, 온라인 예약, 인기있는 식당 예약
다른 사용 장면을 참조하십시오",예,,03-6264-5255,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001251840/archive/3004296-640c2f9ea384d.png,,,"차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다",,,Suica,,https://www.facebook.com/ginzahimuka/,"8,000 엔 이상의 코스",,,사용 가능한 예약,소믈리에가 있습니다,,"영어 중국어
언어를 말할 수있는 직원이 있습니다",,휴대품 룸이 있습니다,,,
パリのワイン食堂,파리 와인 식당,https://retty.me/area/PRE13/ARE2/SUB201/100000002455/,050-5461-4047,프랑스 요리,"[tue-fri]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 17 : 30-23 : 00 L.O. 21:30
[태양, 토요일, 휴일]
점심 11 : 30-15 : 00 L.O. 15:00
저녁 식사 17:00-22:30 L.O. 21:30
매주 월요일마다
공휴일은 변경 될 수 있습니다.","매주 월요일
공휴일이라면 다음날 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",예,"Ginza Ashizawa Building 1f, 3-13-11 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 히가시 기샤 지인 스테이션에서 도보로 3 분 거리 (190m)
도쿄 메트로 히비야 라인 / 츠키 지 역에서 도보 6 분 (480m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome 역에서 도보로 7 분 거리 (510m)",없음,60 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://parinowineshokudou.foodre.jp/
https://auxamis.com/wine-shokudo",,,"저녁 식사, 성인 휴식, 저녁 식사, 점심, 소녀의 밤, 여자 밤, 데이트, 와인 음주, 크리스마스 저녁 식사, 세련된, 비 흡연, 생일, 세련된 점심, 급여 지불 지불, 급여 판매 포인트 받기
다른 사용 장면을 참조하십시오",,없음,03-3547-4120,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000002455/archive/237076-60ADA7723676D.png,PayPay,,,,"신용 카드 :
저녁 식사 이용 가능
점심은 3,000 엔 이상으로만 구입할 수 있습니다",,,,,,,,,,,,,,,
銀座 鮨 中本,Ginza Sushi Nakamoto,https://retty.me/area/PRE13/ARE2/SUB201/100001753911/,050-5462-6669,"초밥, 해산물, 사시미, 일본 음식","[하루 종일]
점심 12:00-14:00
저녁 식사 17 : 30-23 : 00 L.O. 22:00","불규칙한 휴일
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : ~ 15,000 엔
저녁 식사 : ~ 30,000 엔","비자
마스터 카드
Amex
식당
JCB","Habiul Ginza 9f, 1-13-8 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome Station에서 도보 1 분 (76m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 4 분 거리 (280m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (290m)","없음
근처 (할인 없음) 사용 가능",11 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://ginza-sushi-nakamoto.foodre.jp/",https://www.instagram.com/ginza.sushi.nakamoto/,,"쌀, 저녁 식사, 엔터테인먼트, 주차 가능, 무료 Wi-Fi, Paypay Payably, 연말 파티, 새해 파티, Paypay Points, 온라인 예약 가능, 인기있는 매장
다른 사용 장면을 참조하십시오",,없음,03-6263-2725,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001753911/archive/3421859-670cf2a187d35.jpeg,PayPay,"맥주, 사케, 쇼치, 와인","차분한 분위기
상단에 있습니다",없음,,,"예
최대 20 명까지 임대 할 수 있습니다",,,,"우리는 생선 요리, 생산 공간에 중점을 둔 생선 요리, 요리사는 해외에서 훈련했으며 요리사는 유명한 레스토랑, 주인 요리사 및 매장 준비에서 훈련했습니다.",사용 가능한 예약,,,,불가능합니다,,,,
