restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,instagram,lecture,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,wifi_available,phone_number,video,available_drinks,service,dress_code,child_friendly,pet_friendly,power_supply_available,foreign_language_support,additional_equipment,qr_code_payment,facebook,twitter,remarks,ic_card_payment,쇼핑 직무 정보,beer_maker,온라인 예약
有薫酒蔵 新橋店,Arikaun Sake Brewery Shinbashi 지점,https://retty.me/area/PRE13/ARE2/SUB1601/100000010661/,050-5461-5346,Izakaya Kyushu 요리 사시미라면 일본 요리,"[tue-fri]
저녁 식사 17:00-23:00 L.O. 22:10
[토양]
저녁 식사 16 : 30-23 : 00 L.O. 22:10
영업 시간은 하루에 따라 다를 수 있습니다","매주 월요일마다 일요일 휴가
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","Resona Bank Building, 1-16-4, Shinbashi, Minato-Ku, 도쿄, B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (93m)
Toei Mita Line / Uchisaicho 역에서 도보로 3 분 거리 (190m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (330m)","없음
근처 (할인 없음) 사용 가능",100 석,예,"(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://yukunsakakurashinbashi.foodre.jp/
http://www.shinbashi-yukun.com/",https://www.instagram.com/shinbashiyuukunkousiki/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","우리는 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특히","맥주, 사케, 쇼치, 위스키",사용 가능한 예약,"저녁 식사, 쌀, 음료 식당, 음료수, 연회 및 음료 파티, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 온라인 예약 가능, 인기있는 레스토랑
다른 사용 장면을 참조하십시오",차분한 분위기,없음,03-3508-9296,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000010661/archive/1820135-5f486e1552c3a.png,,,,,,,,,,,,,,,,
ビアライゼ ’98,생체 '98,https://retty.me/area/PRE13/ARE2/SUB1601/100000732067/,050-5303-4926,맥주 홀 고기 바 Izakaya 맥주 식당 서있는 음주,"[월요일부터 금요일까지]
저녁 식사 16:00-22:30 L.O. 22:00
[골드로 결혼]
점심 11:30-14:00 L.O. 13:30
[토양]
저녁 식사 16:00-21:00 L.O. 20:30
우리는 토요일, 3, 5 일에만 열려 있습니다.","매월 두 번째 토요일마다 매월 네 번째 토요일마다 일요일 휴가
폐쇄 : 일요일, 휴일, 2 및 4 토요일. 공휴일 전날
우리는 토요일에 개인 용도로 열릴 수 있습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","1F, 신바시 파크 빌딩, 2-3-4, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Uchisaicho 역에서 도보로 2 분 거리 (120m)
JR Yamanote Line / Shinbashi Station에서 도보로 3 분 거리 (220m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (400m)",없음,120 석,예,"불가능합니다
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://piaraize-98.foodre.jp/
https://bierreise98.jp",,"5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","우리는 야채 요리, 고기 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"쌀, 저녁, 점심, 점심, 다진 링크, 고기, 연회 및 음주 파티, 싱글, 점심 음주, 후 파티, 그룹 데이트, 새해 파티, 크래프트 맥주, 연말 파티, 환영 파티, 온라인 예약, 작별 인사, 인기있는 레스토랑
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점
골목을 향합니다",없음,03-5512-5858,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000732067/archive/687277-5c5104914ad8f.jpg,"5,000 엔 이상의 링크, 한 시간 반 동안 온전한 점수를 받고 2 시간 동안 온전한 링크를 포함하는 코스가 있습니다.",테이크 아웃 가능성,없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,불가능합니다,"영어
언어 지원 메뉴가 있습니다",프로젝터 및 사운드 장비,,,,,,,,
隠れ家ダイニング なべや,숨겨진 식사 나비아,https://retty.me/area/PRE13/ARE2/SUB1601/100000716547/,050-5304-0614,이자카야 해산물과 해산물 사시미 카포/작은 레스토랑 핫팟,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-24:00 L.O. 23:00
[tue and water]
점심 11:30-14:00 L.O. 13:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",예,"Honda Building의 2F, 3-13-7, Shinbashi, Minato-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 4 분 거리 (270m)
Toei Mita Line / Uchisaicho 역에서 도보로 6 분 (460m)
Toei Oedo Line / Shiodome 역에서 도보로 7 분 거리 (540m)",없음,"22 석
(4 표 x 4 테이블은 1 인당 300 엔으로 충전됩니다.)","예
(약 6 석)","연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://nabeya-shinbashi.foodre.jp/
http://bimi.jorudan.co.jp/shop/32622/",https://www.instagram.com/nabeyasinbasi/,,,,,"엔터테인먼트 고기 당신은 술을 마실 수 있습니다.
다른 사용 장면을 참조하십시오",,없음,03-5401-2334,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000716547/archive/1040775-5d3e4997163a9.png,,,,,,,,,PayPay,https://www.facebook.com/shinbashi.nabeya/,https://x.com/nabeyashinbash,,,,,
牛タンと焼肉食べ放題 たん兵衛 新橋店,당신이 먹는 쇠고기 혀와 야키 니쿠 탄베이 신바시 지점,https://retty.me/area/PRE13/ARE2/SUB1601/100001696446/,050-5462-3062,이자카야 야키 니쿠 호르몬 한국 요리,"[하루 종일]
 11:00-0:00
전화 문의 (11 : 00-23 : 00)
*우리는 전화를 순서대로 응답 할 것이므로 전화를 걸지 않고 기다리십시오. (우리는 더 이상 오후 11 시부 터 연결할 수 없습니다) *취소 규정으로 인한 사람들의 수 변경에 대해 저희에게 연락하려면 위 안에 확실히 알려주십시오.",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","Torimori Building 2F, 3-16-3 Shinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (95m)
Toei Oedo Line / Shiodome Station에서 도보로 3 분 거리 (200m)
Toei Mita Line / Uchisaicho 역에서 도보로 5 분 (360m)",예,50 석,없음,"연기 분리
(흡연 분리는 개인 실에서 이용할 수 있습니다. 언제든지 저희에게 연락하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,"[공식적인]
https://tanbee.foodre.jp/",,,,,,"마시기, 개인 객실, 쌀, 흡연, 심야, 고기, 점심, 개인 실, 엔터테인먼트, 페이 페이 포인트 받기, 온라인 예약 가능, 연말 파티, 새해 파티, 모든 당신이 먹는 파티, 작별 파티, 인기있는 식당
다른 사용 장면을 참조하십시오",,예,03-4446-9597,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001696446/archive/3028577-642ebb434bf.jpg,,,,,,,,,,,,전자 돈을 사용할 수 있습니다,,,,
麺とおばんざいとお酒のお店 佳什,"국수, 오반자이 및 알코올을 판매하는 식당",https://retty.me/area/PRE13/ARE2/SUB1601/100001615521/,050-5304-4425,이자카야라면,"[월요일부터 금요일, 토요일, 휴일]
 12:00-23:00 L.O. 22:30
[낮]
 12:00-22:00 L.O. 21:30","하루 종일 개점
시설과 동일합니다
*2 개월마다 한 번씩 건물 유지 보수가 닫힙니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,"New Shinbashi Building, 1 층, 2-16-1 Shinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (85m)
Toei Oedo Line / Shiodome 역에서 도보로 3 분 거리 (180m)
Toei Mita Line / Uchisaicho 역에서 도보로 5 분 (340m)","예
근처 (할인 없음) 사용 가능",36 석,"예
(6 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://keito-shinbashi.foodre.jp/",https://www.instagram.com/kei_to.shinbashi/,,우리는 생산 구역에 중점을두고 매장 내를 준비합니다,"맥주, 사케, 쇼치, 와인",저녁 식사 시간에만 사용할 수 있습니다,"점심, 점심, 엔터테인먼트, 솔로, 음료수 연회 및 음주 파티 지불 지불금 지불 이용 가능 PayPay Points 온라인 예약 가능 연말 파티 새해 파티 환영 파티 개인 방 인기있는 식당 예약
다른 사용 장면을 참조하십시오",상업용 시설에 위치합니다,없음,03-6206-7878,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001615521/archive/2641487-6226bce138f1c.jpg,"ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 한 시간 반 동안 온전한 링크",,없음,예,불가능합니다,불가능합니다,,,PayPay,,https://x.com/keito_shinbashi,,,,,
千串屋 西新橋店,Senkushiya Nishi-Shinbashi 지점,https://retty.me/area/PRE13/ARE2/SUB1601/100000738399/,050-5461-1131,"Yakitori, Skewer, Motsunabe, Izakaya, Hotpot, 숯 구이","[월요일부터 금요일까지]
저녁 식사 17:00-24:00
마감 시간은 하루에 따라 다를 수 있습니다",매주 토요일마다 일요일 휴가,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","Nishishinbashi TM Building 1f, 1-12-3 Nishishinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Uchisaicho 역에서 도보로 2 분 거리 (140m)
도쿄 메트로 마루치 노선 / 카스 수미 제지 스테이션에서 도보로 5 분 (350m)
도쿄 메트로 진 자 라인 / 토라노몬 역에서 도보로 5 분 (370m)","예
근처 (할인 없음) 사용 가능",31 석,예,"예
완전히 흡연이 허용됩니다
(흡연 구역과 좌석도 상점 앞에서도 이용할 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://senkushishinbashi.foodre.jp/",,"5,000 ~ 5,999 엔 코스로 제공됩니다",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"작별 파티 연회 및 음주 파티 연말 파티 연말 파티 새해 파티 싱글 싱글 쌀 저녁 고기 사후 파티 술을 마시는 환영 파티 흡연 허용 엔터테인먼트 와인 음주 개인 공간 음주 Shochu 급여 지불 가능
다른 사용 장면을 참조하십시오","천장이 높습니다
차분한 분위기",예,03-6268-8930,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000738399/archive/1461389-5e4ba1c7777a4.png,"5,000 엔 이상을 사용할 수 있습니다",,,불가능합니다,불가능합니다,예 (무료),,TV 및 모니터 사용 가능,PayPay,,,,,,,
ピッツェリア ドォーロ 新橋店,피자 리아 두 올로 신 바시 지점,https://retty.me/area/PRE13/ARE2/SUB1601/100000029255/,050-5461-5779,피자 이탈리아 요리,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:30-22:30 L.O. 21:30
[태양, 토요일, 휴일]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 17:00-22:00 L.O. 21:00
*업무 시간은 상점 상황에 따라 다를 수 있습니다.",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",예,"1F, 신바시 파크 사이드 빌딩, 5-18-1, 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 6 분 (440m)
Toei Mita Line / Onarimon Station에서 도보로 6 분 (450m)
Toei Oedo Line / Shiodome 역에서 도보로 7 분 거리 (490m)",,50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://pizzeria-doro.foodre.jp/
https://www.metius-foods.com/",,,,,,"날짜, 소녀의 밤, 결혼 기념일, 연회 및 음료, 기념일, 세련된, 점심, 크리스마스 저녁 식사, 올해-마감, 연말 파티, 새해 파티, 급여 지불 지불, 급여 판매 포인트, 온라인 예약 가능, 환영 파티, 환영 파티
다른 사용 장면을 참조하십시오",,,03-3432-8222,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000029255/archive/1839379-5f5590302ed30.jpg,,,,,,,,,PayPay,,,,,,,
地鶏専門 個室居酒屋 吉庭 新橋,"개인 실 Izakaya Yoshiniwa Shinbashi, 현지 닭고기 전문",https://retty.me/area/PRE13/ARE2/SUB1601/100001414499/,050-5304-3279,Izakaya Sashimi Yakitori,"[하루 종일]
저녁 식사 16:00-0:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
점심 연회/늦은 밤과 이른 아침 시간도 이용할 수 있습니다. 저희에게 연락하십시오! *영업 시간은 구매 상황에 따라 일찍 일 수 있습니다. 미리 이것을주의하십시오*",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","8F, 2-15-18 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 3 분 거리 (190m)
Toei Mita Line / Uchisaicho 역에서 도보로 3 분 거리 (210m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (330m)","없음
근처 (할인 없음) 사용 가능",205 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 130 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 150 명","[공식적인]
https://kittei-shinbashi.foodre.jp/",,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"전산 된 링크 연회/음주 파티 개인 실 개인 실 애프터 파티 엔터테인먼트 엔터테인먼트 파티를 환영 파티 연말 파티 쿠폰 쿠폰 마시기 와인 흡연 허용 생일 새해 파티를받는 온라인 예약 가능
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
숨는 곳
상단에 있습니다
골목을 향합니다",예,03-6205-4185,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001414499/archive/1360246-5e0487B281924.JPG,"999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 3000-4999 엔, 전 All-You-Can-Drink Price 5000 엔 이상, 3000-3999 엔, All-You-Can-Drink Course for 4000-49999999999999999999999999 엔 코스에는 5000 엔 이상을위한 all-you-can-drink, 1 시간 반 동안 싱글 링크, 2 시간 동안 싱글 링크, 2 시간 반 동안 모두 링크 한 링크, 3 시간 반 동안, 3 시간 반 동안 모두 당신이 싱글 링크가 포함됩니다.","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",없음,"예
유아 및 어린이, 유치원 어린이, 초등학생 및 어린이 메뉴 이용 가능",,불가능합니다,"영어
언어 지원 메뉴가 있습니다",,,,,"*음료와 음식은 코스 식사를 ​​주문하는 고객 만 가져올 수 있습니다.
*가져 오기에 대한 자세한 내용은 상점 직원에게 문의하십시오.",,,,
魚と肴 ぶりばり,물고기와 전채,https://retty.me/area/PRE13/ARE2/SUB1601/100001749075/,050-5462-6171,해산물과 해산물 이자카야,"[월요일부터 금요일, 토요일, 휴일 전]
 17:00-23:30 L.O. 22:30
[일요일과 휴일]
 17:00-23:00 L.O. 22:00
마감 시간은 하루에 따라 다를 수 있습니다",,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Aoba Building의 4 층, 2-9-1 Shinbashi, Minato-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (160m)
Toei Mita Line / Uchisaicho 역에서 도보로 3 분 거리 (180m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (330m)","예
근처 (할인 없음) 사용 가능",70 석,없음,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(*종이 담배는 개인 실에서만 가능합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
최대 70 명을 임대 할 수 있습니다 (좌석)
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)","[공식적인]
https://buribari.foodre.jp/",,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"개인 실
다른 사용 장면을 참조하십시오","보기가 좋습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다
숨는 곳",예,03-4330-2220,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001749075/archive/345335-6736c28c5f398.png,"전산 된 가격 : 2,000-2,999 엔 및 4,000-4,999 엔, 2 시간 동안 온전한 링크, 2 시간 반 동안 만약, 3 시간 이상 싱글 링크",,,예,,예 (무료),,,,,,,,,,
小林養鶏 新橋店,코바야시 치킨 농장 신바시 지점,https://retty.me/area/PRE13/ARE2/SUB1601/100001670026/,050-5462-6685,닭 요리 이자카야 숯 구이,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
저녁 식사 16:00-22:00 L.O. 21:30",명확하지 않습니다,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Tomihoma Building의 1 층 및 2 층, 3-14-1 Shinbashi, Minato-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 3 분 거리 (230m)
Toei Mita Line / Uchisaicho 역에서 도보로 4 분 거리 (320m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (330m)",없음,32 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,불가능합니다,"[공식적인]
https://zaruyaki-shinbashi.foodre.jp/",https://www.instagram.com/zaruyaki.shinbashi/,,,,사용 가능한 예약,"쌀, 저녁 식사, 고기, 전산, 연회 및 음주 파티, 환영 파티, 연말 파티, 급여 지불 지불, 캐주얼, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,없음,03-6432-4559,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001670026/archive/3480718-676031e024064.jpg,,,,,,,,,PayPay,,,,,,,
