식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,인스 타 그램,페이스 북,X (트위터),IC 카드 지불,발언,서비스,드레스 코드,애완 동물,전원 공급 장치 사용,추가 장비,외국어 지원,지역,온라인 예약,맥주 제작자,쇼핑 직무 정보
和牛ホルモン・炭火焼肉 びやんど,와규 쇠고기 호르몬과 숯 구이 고기,https://retty.me/area/PRE13/ARE16/SUB1302/100001194315/,050-5462-7193,야키니쿠 호르몬,"[월요일부터 금요일까지]
 11:30-14:30 L.O. 14:00
 17:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
 17:00-22:30 L.O. 22:00","하루 종일 개점
건축이나 광범위한 청소로 인해 시간이 걸릴 수 있습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"후지타 빌딩, 1 층 및 2 층, 3-14-2 Shibaura, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (340m)
Toei Asakusa Line / Mita (Tokyo) 역에서 도보 6 분 (450m)
Toei Asakusa Line / Sengakuji 역에서 도보로 11 분 (870m)","없음
근처 (할인 없음) 사용 가능",52 석,예,"연기 분리
(가열 된 담배의 경우에만 전자 담배는 평일에 괜찮습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://sumibiyaki-biyangdo.foodre.jp/","3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",고기 요리 전문,"맥주, 쇼카, 와인, 칵테일",사용 가능한 예약,"저녁 식사, 쌀, 고기, 전산, 사적 용도, 점심, 점심, 솔로 사용, 세련된, 맛있고, 흡연, 세련된 점심, 급여 지불 제공, 빠르고 끝나는 파티, 빠르고 쉬운 새해 파티, 작별 파티
다른 사용 장면을 참조하십시오",활발한 상점,"예
유아, 유치원 어린이, 초등학생을 환영합니다",없음,03-3456-2022,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001194315/archive/3471024-674fe6c417943.jpg,,,,,,,,,,,,타마 치,,,
沖縄料理 うるま食堂,오키나와 요리 우루마 쇼쿠도,https://retty.me/area/PRE13/ARE16/SUB1302/100001158129/,050-5462-5909,오키나와 요리 이자카야,"[월요일부터 금요일까지]
저녁 식사 17:30-24:00
[tue-fri]
점심 11:30-14:00
[토요일/휴일]
저녁 식사 17:30-23:00
*점심은 다 떨어지 자마자 끝납니다",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,,"White Building B1F, 3-14-17 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (350m)
Toei Asakusa Line / Mita (Tokyo) 역에서 도보 6 분 (420m)
Toei Asakusa Line / Sengakuji Station 도보 10 분 (760m)",예,28 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",불가능합니다,"https://urumasyokudo.foodre.jp/
https://page.line.me/qpo4863h",,,,,,"점심, 개인 실, 저녁 식사, 싱글 룸, 저녁 식사, 저녁, 저녁, 저녁, 저녁 식사, 저녁 식사, 흡연 허용, 와인, 엔터테인먼트 파티, 작별 파티, 작별 파티, 새해 파티, 개인 객실 점심, 점심 소녀의 밤, 성인 숨기기, 개인 방 날짜, 점심 날짜, 세련된 점심
다른 사용 장면을 참조하십시오",,,예,03-6435-4002,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001158129/archive/3049185-6459f2c0230fb.jpeg,https://www.instagram.com/uruma_syokudou/,https://www.facebook.com/okinawa cuisine and Pakchi -Uruma Shokudo -Tamachi Branch -291804084715958/,,,,,,,,,,타마 치,,,
ツラとキモ 炭火焼肉いわしげ,숯 구이 야키 니쿠 정어리,https://retty.me/area/PRE13/ARE16/SUB1302/100001543529/,03-6876-3579,야키 니쿠 쇠고기 혀,"[하루 종일]
저녁 식사 16:00-22:30 L.O. 22:00
팔리 자마자 끝납니다",새해 휴일 (확인하십시오),"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"5-26-1 시바, 미나토 쿠, 도쿄 건물입니다
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (330m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (700m)",없음,33 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://tsuratokimoiwashige-mita.foodre.jp/",,한 시간 반 동안 당신이 다루는 것,고기 요리 전문,,,"혼자 마시는 OK 고기 쌀 생일 엔터테인먼트 급여 지불 지불 이용 가능 새해 파티 환영 파티 저녁 식사 성인 연말 파티 All-You-Can-Drink 성인 새해 파티 캐주얼 페이 페이 포인트 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001543529/archive/1876412-5f6db8a41e846.png,,,https://x.com/tsula_to_kimo,,,,,,,,,타마 치,,,
肴亭 田町店,Sakatei Tamachi 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100001709025/,050-5462-7451,이자카야 야키토리,"[월요일부터 금요일까지]
 11:30-23:30
[태양, 토요일, 휴일]
 14:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"시바 빌딩 B1F, 5-16-7 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 3 분 거리 (220m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (320m)
Toei Mita Line / Shibakoen Station 7 분 도보 (510m)",없음,144 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://sakanateitamachi.foodre.jp/",,,,,,"점심, 점심, 개인 실, 엔터테인먼트, 저녁 식사, 지불금 지불 가능, 급여표 포인트, 온라인 예약 가능, 인기 상점, 캐주얼, 작별 파티, 환영 파티, 세련된
다른 사용 장면을 참조하십시오",,,예,03-6380-4065,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001709025/archive/3500094-678da563e4caf.jpg,,,,,,,,,,,,타마 치,,,
TOKYO CIRCUS CAFE,도쿄 서커스 카페,https://retty.me/area/PRE13/ARE16/SUB1302/100000037290/,050-5303-2119,이자카야 카페,"[월요일부터 금요일까지]
 10:00-22:00 L.O. 21:30
[태양/토요일]
 11:00-22:00 L.O. 21:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Bldg1f, 4-12-3 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Tamachi (도쿄) 스테이션 6 분 도보 (410m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (670m)","없음
근처 (할인 없음) 사용 가능","29 석
(2 개의 카운터 좌석, 25 개의 테이블 시트, 소파 좌석 2 개)",예,"예
(흡연은 하루 종일 허용되지 않습니다. 흡연은 오전 11 시부 터 오후 3 시까 지 금지됩니다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
최대 29 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 15 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명",https://tokyo-circus.com/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을위한 모든 코스와 5,000 엔 또는 2 시간 동안의 모든 양식을 포함하는 코스가 포함 된 코스가 포함되어있는 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 채식 메뉴 및 준비된 매장에 특히 그렇습니다.","맥주, 쇼카, 와인, 칵테일",사용 가능한 예약,"개인 파티를위한 개인 객실 연회 및 음주 파티 아침 식사 파티 여학생 파티 점심 소녀 파티 급여 지불 지불 온라인 예약 이용 가능한 연말 파티 런치 파티 인기 식사 예약 신속 새해 파티 요리 및 결말 파티 요리 및 결말 파티 작별 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
활발한 상점
골목을 향합니다","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",예,03-3452-7033,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000037290/archive/94075-583EAA9076525.JPG,,https://www.facebook.com/tokyocurcuscafe,,"Suica, Quicpay","예약을 취소하면 다음 수수료가 청구됩니다.
당일 취소 : (접촉 없음) 100% 코스 수수료
당일 취소 : (문의) 100% 코스 요금
전날 취소 : 물론 수수료의 50%
7 일 전에 취소 : 25% 코스 수수료
하루의 취소 (접촉 없음) : 4,000 엔 (1 인당)
하루의 취소 (연락처) : 4,000 엔 (위와 동일)
전날 취소 : 2,000 엔 (위와 동일)","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성
배송 가능",없음,불가능합니다,예 (무료),프로젝터 및 사운드 장비,,타마 치,,,
はま多,하타,https://retty.me/area/PRE13/ARE16/SUB1302/100000062879/,050-5461-5292,카포/작은 레스토랑 일본 음식 이자카야 해산물/해산물,"[월요일, 화요일, 목요일, 금요일]
점심 11:30-14:00
[월요일부터 금요일까지]
저녁 18:00-22:30","1 월 2 일, 1 월 3 일, 1 월 3 일, 1 월 4 일, 12 월 31 일, 12 월 31 일, 매주 일요일마다
새해 휴일 (확인하십시오)
휴일","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"5-24-13 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 3 분 거리 (210m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (350m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (680m)",없음,"14 석
(1 층에 14 석)","예
(4 석)","불가능합니다
(상점에서 흡연 없음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://hamada-mita.foodre.jp/","4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.",,우리는 생선 요리에 대해 특히 알고 있으며 알레르기가있는 고객에게 수용 할 수 있습니다.,"맥주, 사케, 쇼치, 와인, 위스키",저녁 식사 시간에만 사용할 수 있습니다,"성인의 은신처는 술을 즐기고 쌀을 즐길 수있는 한 사람이 즐길 수 있습니다. 점심 연말 파티 엔터테인먼트 파티 환영 파티 파티 비 흡연 지점 온라인 예약 가능 새해 파티를 마시는 점심 시간 마시는 세련된 대중 예약
다른 사용 장면을 참조하십시오","차분한 분위기
단독 주택 레스토랑",불가능합니다,예,03-3451-5425,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000062879/archive/1838368-5f540ab93b654.jpg,,,,,,,없음,불가능합니다,,,,타마 치,,,
三田魚介センター,미타 해산물 센터,https://retty.me/area/PRE13/ARE16/SUB1302/100000726969/,050-5462-6422,이자카야 해산물과 해산물,"[월요일부터 금요일까지, 휴일 전]
 17:00-24:00
[태양, 토요일, 휴일]
 17:00-23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",PayPay,"1f, 5-16-13 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (330m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (580m)",없음,"50 석
(테라스 좌석 이용 가능)",예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://mita-gyokaisenta.foodre.jp/
http://mita-gyokai.com/index.html","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔, 2 시간 동안 전세계 점점, 3 시간 이상 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.",생선 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"싱글 OK DINNER DINNER DIRCH DIRK WIRE WELCING 파티 All-You-Can-Drink 흡연 허용 연말 파티 약혼 디너 파티 세련된 새우 세련된 점심 급여 지불 지불 이용 가능한 성인 연말 파티 요리 빠른 연말 연말 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
테라스가 있습니다",예,예,03-3454-9989,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000726969/archive/338840-66d1229a11f22.jpg,https://www.instagram.com/mitagyokai.c/,https://www.facebook.com/mita 해산물 센터 -409076845813177/,https://x.com/mitagyokai_c,,,,,,,,언어 지원 메뉴가 있습니다,타마 치,,,
モツ兵衛 三田店,Motsubei Mita 매장,https://retty.me/area/PRE13/ARE16/SUB1302/100000722557/,050-5462-6125,Izakaya motsunabe 호르몬 호르몬 해산물과 해산물,"[월요일부터 금요일까지]
점심 11 : 30-14 : 00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00","매주 일요일마다
우리는 토요일에 16 명 이상의 사람들에 대한 예약을 허용하며, 20 명 이상의 사람들이 일요일과 공휴일에 연회를 예약 할 수 있습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Mita Nn Building B1F, 4-1-23 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (130m)
JR Yamanote Line / Tamachi (도쿄) 역 6 분 (430m)
Toei Mita Line / Shibakoen Station 7 분 도보 (560m)",예,"91 석
(침몰 한 Kotatsu의 24 석, 테이블에 67 석, 최대 88 명을위한 연회를 임대 할 수 있습니다. Sunken Kotatsu의 20 개 이상의 개인 실이 임대 할 수 있습니다.)",없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",예,"[공식적인]
https://motsube-mita.foodre.jp/",,,,,,"점심, 개인 객실, 저녁 식사, 식사, 개인 지불 이용 가능 급여 지불 지불 이용 가능한 성인의 연말 파티 성인 새해 파티 세련된 캐주얼 캐주얼 파티 점심 식사 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,예,03-5765-5150,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000722557/archive/3359516-6693db5028de9.jpg,,,,Suica,"전자 돈을 사용할 수 있습니다
(운송 전자 돈 (Suica 등), ID)
QR 코드 결제 가능
(Paypay, DPay, Rakuten Pay, AU Pay)",,,,,,,타마 치,,,
龍祥軒 三田店,Ryushoken Mita 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100001533760/,050-5462-7025,중국 음식,"[월요일부터 금요일까지]
 11:00-15:00
 17:00-23:00
[토요일/휴일]
점심 11:00-15:00
저녁 식사 17:00-21:00",매주 일요일마다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"YK 건물, 5-14-16 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (400m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (670m)",없음,70 석,,"연기 분리
(흡연은 정규 시간 동안 이용할 수 있으며 점심이나 저녁 식사 흡연은 허용되지 않습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://mita-ryushohken.foodre.jp/",,,,,,"점심, 저녁, 저녁 식사, 저녁 식사, 연회, 음료, 모든 링크, 점심, 지불금 지불, 급여 지불 포인트, 온라인 예약 가능, 작별 파티, 환영 파티, 인기있는 레스토랑
다른 사용 장면을 참조하십시오",,,예,03-6809-4809,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001533760/archive/3444900-672c68b5aed39.jpg,,,,,,,,,,,,타마 치,,,
自家製肉汁小籠包 x 和風牛タン 個室完備 三田和食酒場 やすらぎ,"수제 고기 주스 x 일본식 쇠고기 혀, 개인 실, 미타 일본 바 야스 라기",https://retty.me/area/PRE13/ARE16/SUB1302/100001766094/,050-5462-7386,Izakaya Oden 일본 음식,"[하루 종일]
 11:00-25:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",PayPay,"Daiichi Kyoei Building, 2 층 및 3 층, 5-24-12 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (340m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (690m)",없음,70 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명",,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전산 점수 가격 : 3,000-4,999 엔, 2,999 엔 미만의 잉크 코스를 이용할 수 있습니다.","우리는 야채 요리, 고기 요리, 현지 농산물, 유기농 야채, 알레르기, 채식 메뉴, 요리사가 해외에서 훈련을 받고, 요리사가 유명한 식당에서 훈련을 받고, 요리사가 준비했으며, 요리사가 매장 내 요리사를 수용 할 수 있습니다.",,저녁 식사 시간에만 사용할 수 있습니다,개인 실,"보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
활발한 상점
차분한 분위기
단독 주택 레스토랑",예,예,050-3773-4709,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001766094/archive/3506214-67978752d7060.jpg,,,,,,,,,,,,타마 치,,,
