식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,주차,좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,QR 코드 결제,카운터 좌석,강의,당신이 마실 수있는 모든 것,발언,애완 동물,IC 카드 지불,X (트위터),서비스,대기,외국어 지원,드레스 코드,전원 공급 장치 사용,추가 장비,맥주 제작자
季節料理 竹仙,계절 요리,https://retty.me/area/PRE13/ARE11/SUB1101/100000079206/,050-5304-6334,이자카야 해산물과 해산물 사시미 일본 음식 쇠고기 혀,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:30
[토양]
저녁 식사 17:00-22:00 L.O. 21:30
팔리 자마자 끝납니다
자세한 내용은 공식 FB를 확인하십시오.

[점심 서비스에 관한]
★ 우리는 점심 예약을 허용하지 않습니다. 이해해 주셔서 감사합니다.
★ 우리는 화요일부터 금요일까지 점심을 먹을 수 있지만 상황에 따라 문을 닫을 수 있습니다.
점심 사업은 Facebook 페이지에서 제공되므로 확인하십시오.

*점심은 다 떨어지 자마자 끝납니다.
*점심은 월요일에만 문을 닫습니다.","매주 일요일과 공휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 FB를 확인하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",불가능합니다,"3-11-2 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (120m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 거리 (490m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (530m)",예,"90 석
(15 ~ 30 명을 위해 예약 할 수 있습니다)","예
완전히 흡연이 허용됩니다
(흡연은 우리 가게에서 허용됩니다. 담배를 잘하지 않으면 방문을 자제하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://chikusen.foodre.jp/",https://www.instagram.com/chikusenn/,https://www.facebook.com/chikusen1428/,"우리는 야채 요리, 고기 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"엔터테인먼트, 점심, 쌀, 음료수, 혼자서 즐길 수 있고, 와인을 마실 수 있으며, 쇼 쿠, 연회, 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 새해, 저녁 식사, 흡연, 생일, 전산, 캐주얼, 캐주얼.
다른 사용 장면을 참조하십시오",불가능합니다,예,03-3252-1428,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000079206/archive/424538-5ad6a9bddd566c.png,,,,,,,,,,,,,,,
焼き鳥きんざん 神田店,Yakitori Kinzan Kanda 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001724047/,050-5462-4707,Yakitori Izakaya 핫팟 테이크 아웃,"[하루 종일]
저녁 식사 16:00-23:00 L.O. 22:00","매년 1 월 1 일, 매년 12 월 31 일","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","1-2-15 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (150m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (270m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (410m)","없음
근처 (할인 없음) 사용 가능","47 석
(카운터, 테이블)","연기 분리
(가열 된 담배로 제한)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://kinzan-kanda.foodre.jp/",https://www.instagram.com/kinzankanda,,고기 요리 전문,,사용 가능한 예약,"저녁 식사, 솔로 식사, 음료 와인, 소녀의 밤 출신, 엔터테인먼트, 지불금 지불 가능, 환영 파티, 모든 냉장, 세련된, 급여표 포인트, 온라인 예약 가능, 인기있는 매장
다른 사용 장면을 참조하십시오",,예,03-6260-9911,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001724047/archive/320978-6577ba7bdef00.jpg,PayPay,예,"5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",,,,,,,,,,,
おでん屋台村 神田店,오덴 푸드 빌리지 칸다 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001308732/,050-5304-3026,이자카야 오덴,"[월요일부터 금요일까지]
 17:00-22:30 L.O. 22:00
[토양]
 17:00-22:00 L.O. 21:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다","매주 일요일과 공휴일
*우리는 현재 개인 용도를 제공하지 않습니다.

가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
*1 월 6 일부터 연말에 문을 엽니 다
전화 리셉션 1/6 오후 2시","점심:-
저녁 식사 : ~ 5,000 엔",불가능합니다,"오쿠노 건물 3 층, 1-3-7 카지치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (98m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (260m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (410m)",없음,28 석,"예
완전히 흡연이 허용됩니다
(완전 흡연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://odenyataimura-kanda.foodre.jp/",,,,,,"All-You-Can-Eat, 솔로, 흡연 허용, 저녁 식사, 애프터 파티, 온전한 파티, Paypay Payment, New Year 's Party, All-You-Can Eat, All-You-Can-Drink, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,없음,03-5296-8677,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001308732/archive/3432253-6719F33ed2208.jpg,PayPay,없음,,,"*전화 문의 및 리셉션은 오후 2시입니다.
*예약중인 사람의 수에 대해서는 저희에게 연락하십시오.
*우리는 현재 개인 용도를 제공하지 않습니다.",불가능합니다,,,,,,,,,
タンドール料理 RB'sひつじや 神田店,Tandoor Cuisine RB의 Hitsujiya Kanda 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001695874/,050-5462-4170,이자카야,"[태양, 월요일부터 금요일, 토요일]
점심 11:00-15:00
저녁 식사 17:00-22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","Nishikicho Square Building 1f, 3-6-7 Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (280m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 4 분 거리 (280m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (280m)",없음,35 석,,없음,,https://hitujiya-kanda.foodre.jp/,https://www.instagram.com/hitsujiya.kanda/,,고기 요리 전문,맥주와 와인이 있습니다,사용 가능한 예약,"쌀, 점심, 저녁 식사, 고기, 점심, 비 흡연, 애프터 파티, 혼자, 결혼식, 급여 지불 지불, 급여 지불 포인트 받기, 온라인 예약 가능, 새해 파티, 인기있는 레스토랑, 예약, 캐주얼, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",예,예,03-6811-0888,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001695874/archive/31555546-651563989999e.jpg,PayPay,예,,,,,Suica,https://x.com/rbhitsujiya,,,,,,,
モダン中華×和食居酒屋 大人の隠れ家 神田ばる,현대 중국과 일본 이자카야 성인 은신처 칸다 바루,https://retty.me/area/PRE13/ARE11/SUB1101/100001766145/,050-5462-7442,이자카야 일본 요리 바 야키토리,"[하루 종일]
 11:30-0:00 L.O. 23:00",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드","Im Uchikanda Building 2F, 3-22-3 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (97m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (420m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 6 분 (430m)",예,64 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 65 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 60 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",,,,"우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 알레르기가있는 고객을 수용 할 수 있으며, 요리사는 해외에서 훈련했으며, 유명한 요리사, 요리사가 요리하고, 매장 준비를 할 수 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"성인 은신처 엔터테인먼트 및 식사 급여 지불 지불금이 허용됩니다. 급여 지불 포인트 온라인 예약 이용할 수있는 작별 파티 환영 파티 점심 식사 인기있는 식당 캐주얼 개인 실
다른 사용 장면을 참조하십시오",,예,050-3773-4589,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001766145/archive/3520532-67ad3941603cc.jpg,PayPay,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","All-You-Can-Drink 가격 : 2,000-2,999 엔, 전산 점수 가격 : 3,000-4,999 엔, 만세 가격 : 5,000 엔 이상, 2 시간, 2 시간 동안 싱글 링크, 3 시간 동안 전액 도입",,,Suica,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다
테이크 아웃 가능성
배송 가능",,,,,,
〇鳥 ‐マルドリ‐ 神田本店,bird -bird -marudori 칸다 메인 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100000792534/,050-5303-7216,이자카야 야키토리,"[월요일부터 금요일, 토요일, 휴일 전]
 16:00-24:00","매주 일요일과 공휴일
*정기 휴일 :
제휴 매장 ""Tiger Kichi""03-5809-2293
저희에게 연락하십시오.","점심:-
저녁 식사 : ~ 4,000 엔",예,"1st Bardement Floor, Manso Kanda Building, 3-12-2 Uchikanda, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (78m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (460m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 (550m)",없음,34 석,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,"[공식적인]
https://marudori-kanda.foodre.jp/",,https://www.ac,,,,"개인 실, 저녁 식사, 음식, 환영 파티, 싱글 OK, 새해 파티, 연말 파티, 개인 파티, 흡연 허용, 작별 파티, 고기, 소녀의 밤, 날짜, 결혼, 파티, 결혼 기념일, 그룹 데이트, 개인 객실, 그룹 데이트, 신속한 새해 파티
다른 사용 장면을 참조하십시오",,예,03-3525-4640,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000792534/archive/953869-5cf67dd30ba11.jpeg,PayPay,예,,,,,,,,,,,,,
セント・ベルナルデュス 神田,세인트 버나 두 칸다,https://retty.me/area/PRE13/ARE11/SUB1101/100000709319/,050-5303-8730,이자카야 이탈리아 바 미트 바 양조장 양조장 바 스테이크 비스트로,"[월요일부터 금요일까지]
점심 11:30-15:00 L.O. 14:30
[월요일 ~ 목요일]
저녁 식사 17:00-23:00 L.O. 22:30
[금]
저녁 식사 17:00-24:00 L.O. 23:30
[태양, 토요일, 휴일]
 11:30-23:00 L.O. 22:30
*금요일에 저녁 식사 시간은 바뀌 었습니다.",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,"Urban Net Kanda Building 1f, 3-6-2 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (120m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (460m)
도쿄 메트로 마루치 노 라인 / Awajicho 역에서 도보로 8 분 (570m)",,"75 석
(상점에서 63 석, 테라스에 12 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://centbellnarudyusukanda.foodre.jp/
https://www.sintbernardus.jp/",,,,,,"점심, 저녁 식사, 쌀, 고기, 연말 파티, 싱글, 테라스, 와인, 음료 와인, 음료수, 쿠폰, 쿠폰, 쿠폰, 새해 파티, 밤새도록, 밤에 오픈, 크래프트 비어
다른 사용 장면을 참조하십시오",,,03-6206-8269,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000709319/archive/108872-5d687b7a5fdab.png,PayPay,"없음
()",,,,,,,,,,,,,
日本酒バルかぐら 神田店,Sake Bar Kagura Kanda 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001401125/,050-5462-5977,이자카야 해산물과 해산물 사시미 바 식당 바 튀김 일본 음식,"[월요일부터 금요일까지]
 16:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
 15:00-22:00 L.O. 21:30","하루 종일 개점
새해 휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","2-2-3 Kanda Tacho, Chiyoda-Ku, 도쿄 1st, 2nd, 3 층
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (150m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (280m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (280m)","없음
근처 (할인 없음) 사용 가능","80 석
(예약 가능 *상점에 연락해야합니다)","연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 15 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명",,,,"우리는 야채 요리, 생선 요리 및 현지 농산물, 채식 메뉴 및 준비된 매장에 특히 그렇습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인",사용 가능한 예약,"All-You-Can-Drink Sake 저녁 식사 저녁 식사 저녁 식사 연회/저녁 음료 점심 혼자 OK 어린이와 함께 즐거운 공예 맥주 급여 지불 지불 가능 PayPay Points 온라인 예약 가능
다른 사용 장면을 참조하십시오","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",예,03-6285-2313,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001401125/archive/376853-5a83d37e9b5bc.jpeg,PayPay,예,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 5,000 엔 이상, 3,000 엔 -3,999 엔 all-you-can-drink 코스에는 4,000 엔 -4,999 엔, 5,000-dink only for 5,000-dink only for 5,000-dink cours를 포함하여 모든 당신이 싱크 드링크가 포함되어 있습니다. 2 시간 동안 1 시간 반 동안, 2 시간 반 동안 완전히 마실 때, 2 시간 반 동안 싱글 링크, 3 시간 반 동안, 3 시간 반 동안 완전히 살짝 링크를 찍는다.",,,,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성
배송 가능","개방성이 있습니다
골목을 향합니다
테라스가 있습니다",,,,,
南インド料理 アーンドラ・ダバ,남인도 요리 Andhra Daba,https://retty.me/area/PRE13/ARE11/SUB1101/100001296940/,050-5462-7260,카레 이자카야 테이크 아웃,"[하루 종일]
점심 11 : 15-15 : 00 L.O. 14:30
[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 17:00-22:00 L.O. 21:00","하루 종일 개점
새해 휴일 (12/31 ~ 1/1)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드","Sato House Building의 2 층, 3-7-8 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (76m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 (360m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 7 분 거리 (510m)","예
근처 (할인 없음) 사용 가능","30 석
(6 개의 박스 좌석 이용 가능)","불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명","[공식적인]
https://andhra-dhaba.foodre.jp/",,https://www.facebook.com/andhradhaba/,"우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 요리사가 해외에서 훈련하고 매장 내에서 준비했습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 솔로, 크리스마스 저녁 식사, 음료 와인, 주차, 어린이, 영어, 영어, 개인 용도, 저녁 식사, 쌀, 금연, 세련된 점심, 무료 Wi-Fi, Paypay Paylaintaially Aivay Aivay Aival 사용 가능
다른 사용 장면을 참조하십시오","예
유아, 유치원 어린이, 초등학생을 환영합니다",예,03-3527-1157,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001296940/archive/1789163-5f2b615b5d3b0.jpg,PayPay,예,"3,000 엔에서 3,999 엔으로 제공됩니다","3,000 엔 -3,999 엔, 2 시간 동안 싱글 링크를 포함하는 모든 과정이 있습니다.",,,,https://x.com/andhradhaba,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능","차분한 분위기
숨는 곳","영어 힌디어
언어를 말할 수있는 직원이 있습니다",,,,
南インド・ビストロ ひつじや JR神田駅店,남인도 비스트로 Shetsujiya Jr Kanda Station Store,https://retty.me/area/PRE13/ARE11/SUB1101/100001714809/,050-5462-5895,이자카야 바,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 21:30",새해 휴일 (확인하십시오),"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드","사이토 빌딩 1f, 3-10-7 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (470m)",없음,31 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://histujiya-kanda.foodre.jp/,https://www.instagram.com/hitsujiya_kanda/,,,,사용 가능한 예약,"점심, 저녁 식사, 쌀, 고기, 연회 및 음주 파티 급여 지불 지불금 결제 수당 온라인 예약 이용 가능 인기있는 식당, 새해 파티 요리, 요리 연말 파티, 작별 파티, 점심 음주
다른 사용 장면을 참조하십시오",예,없음,03-3525-7557,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001714809/archive/3342146-6673cf9110ed3.jpg,PayPay,예,,,,불가능합니다,,https://x.com/hitsujiyakanda,,,,,,,
