restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,remarks,cooking_specialties,reservation,usage_scenes,wifi_available,video,ic_card_payment,facebook,lecture,available_drinks,drinking_specialties,waiting,service,dress_code,child_friendly,pet_friendly,power_supply_available,phone_number,instagram,foreign_language_support,additional_equipment,twitter,beer_maker,인근 시설
立喰い鮨 浩也,서있는 초밥 히로야,https://retty.me/area/PRE13/ARE16/SUB1602/100001739332/,03-5843-8775,초밥,"[월요일부터 금요일까지]
점심 12:00-14:00
저녁 식사 17:00-22:00
[태양, 토요일, 휴일]
 12:00-22:00",불규칙한 휴일,"점심 : ~ 8,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-4-4 Shibadaimon, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 3 분 거리 (170m)
JR Yamanote Line / Hamamatsucho Station 6 분 도보 (410m)
Toei Mita Line / Onarimon Station에서 도보 6 분 (410m)",없음,11 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://tachiguisushi-hiroya.foodre.jp/","전자 자금 이용 가능 : (운송 전자 돈 (Suica 등), Rakuten Edy, Nanaco, Waon, Id, Quicpay)
이용 가능한 QR 코드 지불 : (PayPay, DPay, Rakuten Pay, AU Pay)",생선 요리 전문,사용 가능한 예약,"점심, 저녁, 싱글, 라이스 페이 페이 지불 이용 가능 크리스마스 2024 고급스러운 크리스마스 연말 파티 새해 파티 get paypay points 온라인 예약 가능 인기 상점
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001739332/archive/3375984-66b3748de2219.jpg,,,,,,,,,,,,,,,,,,
本格手打もり家 東京店,진정한 수제 쌀 농부 도쿄 상점,https://retty.me/area/PRE13/ARE16/SUB1602/100001444552/,050-5304-1373,우동,"[월요일부터 금요일과 토요일]
점심 11:00-15:00 L.O. 14:30
[월요일부터 금요일까지]
저녁 식사 17:30-22:00 L.O. 21:30
팔리 자마자 끝납니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.","매주 일요일과 공휴일
가게가 닫히면 상점에 확인하십시오.
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Hamamatsucho 우수한 건물, 2f Ponte Setoumi, 2-6-5 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Hamamatsucho Station에서 도보 2 분 (100m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 3 분 거리 (230m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (650m)","없음
근처 (할인 없음) 사용 가능",24 석,"예
(8 석)","불가능합니다
흡연실 사용 가능
(상점 외부에는 공유 흡연 구역이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
최대 24 명을 임대 할 수 있습니다","[공식적인]
https://moriya-tokyo.foodre.jp/
https://moriya-tokyo.jp/","사용 가능
PayPay aupay dpay","우리는 생산 구역, 유명한 요리사가 요리하고 매장 준비에 대해 특히",저녁 식사 시간에만 사용할 수 있습니다,"점심, 싱글 인력 급여 지불 지불금이 가능합니다.
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001444552/archive/1936045-5f7f34025b022.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay",https://www.facebook.com/authentic Handmade Moriya Tokyo Store-2201183990115496/,"3,000 엔 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 코스에는 5,000 엔 이상의 잉크, 한 시간 반 동안 싱글 링크가 포함됩니다.","맥주, 사케, 쇼치","개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳
상업용 시설에 위치합니다","테이크 아웃 가능성
배송 가능",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,예 (무료),03-5843-7767,,,,,,
焼肉529.,야키니쿠 529.,https://retty.me/area/PRE13/ARE16/SUB1602/100001691050/,050-5462-3323,야키니 쿠이자 카야,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 17:00-23:00 L.O. 22:00",매주 일요일,"점심:-
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2-3-8 시바 디몬, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 3 분 거리 (170m)
JR Yamanote Line / Hamamatsucho Station 5 분 도보 (390m)
Toei Mita Line / Shibakoen Station 5 분 도보 (390m)",없음,44 석,,"연기 분리
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",예,https://gj3d800.gorp.jp/,,고기 요리 전문,사용 가능한 예약,"저녁 식사, 개인 실, 어린이, 저녁 식사, 소녀의 밤, 쿠폰이 제공되는 즐거움, 이용 가능, 새해 파티, 환영 파티, 크리스마스 2024 년, 성인 연말 파티, 세련된, 메리 쿠리, All-You-Can-Drink, 새해 파티, Paypay Points Get Paypay Points
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001691050/archive/3074758-64814a659831e.jpg,"Suica, Quicpay",,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 7,000 ~ 7,999 엔 코스로 제공됩니다.",,"술, 쇼치, 와인",,,,예,,,03-6432-0022,https://www.instagram.com/yakiniku529._daimon/,,,,,
和牛一頭流 焼肉家 肉萬 浜松町店,와규 쇠고기 원 스타일 야키 니쿠야 니쿠만 하마 마츠 cho 지점,https://retty.me/area/PRE13/ARE16/SUB1602/100000727065/,050-5461-3613,야키니쿠 테이크 아웃,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00 L.O. 22:30
[일요일과 휴일]
점심 12:00-15:00 L.O. 14:30
저녁 식사 17:00-22:30 L.O. 22:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
항상 우리 가게를 사용해 주셔서 감사합니다. 우리는 매우 죄송하지만 12 월 31 일부터 1 월 2 일까지 문을 닫을 것이며 1 월 3 일부터 평소와 같이 문을 열 것입니다. 우리는 12 월 30 일에 일반 영업 시간보다 일찍 문을 닫을 것입니다. 우리는 전화로 응답 할 것입니다. 매우 감사합니다.",하루 종일 개점,"저녁 식사 : ~ 6,000 엔",예,PayPay,"1-23-6 Hamamatsucho, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Hamamatsucho Station 3 분 도보 (240m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 4 분 거리 (250m)
Yurikamome / Takeshiba 역에서 도보로 9 분 (700m)",,40 석,예,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(2 층에만 가열 된 담배)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://yakiniku-nikuman.foodre.jp/,,,,"음식, 성인 은신처, 세련된, 기념일, 점심 날짜, 모든 멍청한, 고기, 연말 파티, 점심, 크리스마스 저녁 식사, 여자 밤, 날짜, 결혼, 파티, 결혼 기념일, 그룹 데이트, 솔로 환영 파티, 작별 파티
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000727065/archive/21725-5fc5b2b753429.png,,https://www.facebook.com/chishenshaoroutohorumchurouwan/,,,,,,,,,,03-3436-2925,,,,,,
全席個室 九州和食 個室居酒屋 一藤 浜松町本店,모든 좌석 개인 객실 kyushu 일본 요리 개인 실 Izakaya Ichido Hamamatsucho Main Store,https://retty.me/area/PRE13/ARE16/SUB1602/100001696459/,050-5462-3250,이자카야,"[하루 종일]
저녁 식사 16:00-24:00",불규칙한 휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Imon Hamamatsucho Building 3F, 2-5-8 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Hamamatsucho Station에서 도보 2 분 (91m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 4 분 거리 (260m)
Yurikamome / Takeshiba 역에서 도보로 8 분 (630m)",없음,"100 석
((일본 분위기로 가득 찬 차분한 공간은 다양한 연회에 적합합니다!))))))))))))))",없음,"예
완전히 흡연이 허용됩니다
(개인 객실은 별도의 흡연 구역에서 사용할 수 있습니다. 자세한 내용은 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명","[공식적인]
https://nagomian.foodre.jp/",,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 수입 재료, 수입 재료, 현지 재료를 생산하고, 알레르기가있는 고객을 수용 할 수 있으며, 매장 내에서 준비 할 수 있습니다.",사용 가능한 예약,"점심 시간, 개인 객실, 저녁 식사, 어린이와 함께 즐기기, 엔터테인먼트, 식사, 연말 파티, 새해 파티, 작별 파티, PayPay 포인트 받기, 온라인 예약 가능, 인기있는 상점 예약
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001696459/archive/3591872-680a1ea82d779.jpg,,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, 3,000-3,999 엔, ALL-YOU-CAN-DRINK 코스에는 4,000-4,999 YEN에 대한 All-You-Can-Drink, All-You-Can-Drink Course for 5,000-yen-con-drince를 포함합니다. 2 시간, 모두 3 시간 이상 마실","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","차분한 분위기
숨는 곳",,,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,03-6453-0090,,,,,,
ブラウアターフェル アトレ竹芝店,Brower Atre Takeshiba 지점,https://retty.me/area/PRE13/ARE16/SUB1602/100001531295/,050-5462-3446,이자카야 피자,"[하루 종일]
 11:00-22:00",・ 시설과 동일합니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Atre Takeshiba Tower Building, 1-10-30 Kaigan, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Yurikamome / Takeshiba 역에서 도보 4 분 (270m)
JR Yamanote Line / Hamamatsucho Station 8 분 도보 (630m)
Toei Oedo Line / Daimon (Tokyo) 역에서 도보로 9 분 거리 (650m)","없음
이웃 P (할인) 사용 가능","128 석
(available 테라스 좌석 이용 가능 ・ 개인 실 : 10 ~ 20 명 (그룹을 사용하는 6 ~ 14 명, 개인 실을 사용할 때 3,300 엔이 청구됩니다))","예
(10)","불가능합니다
(흡연실은 건물에서 이용 가능합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,"[공식적인]
https://brauertafel-takeshiba.foodre.jp/",,"우리는 야채 요리, 고기 요리, 생선 요리 및 채식 메뉴에 대해 특별합니다.",사용 가능한 예약,"점심, 점심, 점심, 저녁 식사, 개인 실, 어린이, 저녁 식사, 소녀의 밤, 솔로, 데이트, 와인, 주차, 고기, 급여 지불 제공, 결혼식, 파티, 세련된, 크래프트 맥주
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001531295/archive/3083032-648eb0ff2d07f.jpeg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크","맥주, 와인, 칵테일","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
나는 바다를 볼 수있다
테라스가 있습니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",,"예
유아, 유치원 어린이, 초등학생을 환영합니다","예
상점 밖에서 사용할 수 있습니다",,03-6402-5580,,언어 지원 메뉴가 있습니다,TV 및 모니터 사용 가능,,,
全室個室 じぶんどき 浜松町駅前店,"모든 개인 실, Hamamatsucho Ekimae 지점",https://retty.me/area/PRE13/ARE16/SUB1602/100001551814/,050-5462-2933,이자카야 튀김 일본 음식,"[월요일부터 금요일까지]
저녁 식사 17:00-23:30 L.O. 22:30
[태양, 토요일, 휴일]
저녁 식사 16 : 00-23 : 30 L.O. 22:30
*저녁 식사 시간 음료 주문은 마감 시간 30 분 전입니다.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2 층, Hamamatsucho FG Building, 1-30-11, Minato-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 1 분 거리 (41m)
JR Yamanote Line / Hamamatsucho Station에서 도보 2 분 (130m)
Toei Mita Line / Onarimon 역에서 도보로 9 분 (680m)",없음,"159 석
(타타미 룸, 코타 츠 좌석 및 자이수에 앉을 수 있습니다)",,"연기 분리
흡연실 사용 가능
(완전히 금연 (흡연 부스 이용 가능))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,https://jibundoki.dkdining.com/hamamatsucho/,"신용 카드 : UC, DC, NC, UFJ, ID 사용 가능
좌석 수수료가 있습니다. (코스 당시 가격에 포함)",,,"연회 및 음주 파티 디너 개인 룸 저녁 식사 개인 객실 엔터테인먼트 급여 페이 지불 이용 가능 페이 페이 포인트 온라인 예약 이용 가능 연말 파티 세련된 성인 새해 파티 신속한 새해 파티 성인 연말 파티 빠른 새해 파티 빠른 새해 파티
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001551814/archive/3293692-66262798080b1.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca",,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","맥주, 사케, 쇼치","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성",,,,,050-2018-8854,,,,,,
日本海海鮮・チキン南蛮・胡麻カンパチ・九州料理 個室居酒屋 華寿鳥,"일본 바다 바다 해, 치킨 난반, 세서미 앰버 잭, 큐슈 요리 개인 실 Izakaya Hanajutori",https://retty.me/area/PRE13/ARE16/SUB1602/100001740023/,050-5462-5578,이자카야 야키토리,"[하루 종일]
 15:00-23:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
JCB",PayPay,"5 층, Imon Hamamatsucho Building, 2-5-8 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Hamamatsucho Station에서 도보 2 분 (95m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 4 분 거리 (260m)
Yurikamome / Hinode Station에서 도보로 8 분 (630m)",없음,"100 석
((우리는 사람들의 수에 따라 두 사람에게 그룹에 편안한 좌석을 제공 할 것입니다)))))))))))",없음,"연기 분리
(흡연 분리 (파티션 포함) 흡연 분리가 가능하면 일부 금연 좌석이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,"[공식적인]
https://kasumidori.foodre.jp/",사용 가능 : PayPay,,사용 가능한 예약,"점심 시간, 개인 객실, 저녁 식사, 엔터테인먼트, 식사, 새해 파티, all-you-can-eat, all-you-can-drink, paypay 지불 허가, 환영 파티, 캐주얼, Paypay Points, 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001740023/archive/358540-6801f9021053c.jpg,,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.",2 시간 동안 당신이 다루는 것,"맥주, 사케, 쇼치, 위스키, 칵테일",,,,예,불가능합니다,,03-6459-0171,,,,,,
九州かんてきや 浜松町店,Kyushu Kanteiya Hamamatsucho 지점,https://retty.me/area/PRE13/ARE16/SUB1602/100001216856/,050-5462-8211,Yakitori Izakaya 해산물 및 해산물 사시미,"[월요일부터 목요일과 토요일]
저녁 식사 16:00-23:00
[금]
저녁 식사 16:00-23:30",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2-1-1 Hamamatsucho, Minato-Ku, 도쿄 2 ~ 4 층
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 1 분 거리 (47m)
JR Yamanote Line / Hamamatsucho Station 4 분 도보 (270m)
Toei Mita Line / Onarimon Station에서 도보로 9 분 (650m)",없음,156 석,예,"불가능합니다
(흡연실은이 건물에 설치됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,,"PayPay, LinePay 등","우리는 야채 요리, 고기 요리, 생선 요리 및 현지 재료에 대해 특히 알고 있으며, 알레르기가있는 고객을 수용하고 매장 내에서 준비 할 수 있습니다.",사용 가능한 예약,"개인 룸 저녁 식사, 라이스, 파티, 개인 파티, 환영 파티, 전산, 술 마시기, 연회 및 음주 파티, 독신 파티, 작별 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 가라오케 시설
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001216856/archive/177606-5f1fe2312adf1.jpg,"Suica, Manaca, Quicpay",https://www.facebook.com/kantekiyahamamatucyou/,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink 코스에는 5,000 엔 이상, 2 시간 동안 All-You-Can-Drink가 포함됩니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다","놀라운 응답 가능
축하 가능성",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,예 (무료),03-5777-5177,,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다","가라오케 사용 가능, TV 및 모니터 사용 가능",,,
アキモトキッチン,아키모토 주방,https://retty.me/area/PRE13/ARE16/SUB1602/100001663174/,050-5462-1569,작은 레스토랑,"[월요일부터 금요일까지, 휴일 전]
점심 12:00-14:00
[월요일 ~ 목요일]
저녁 식사 18:00-23:00 L.O. 21:30
[금요일/휴가 전]
저녁 식사 18 : 00-24 : 00 L.O. 22:30
[토요일/휴일]
저녁 식사 18 : 00-21 : 30 L.O. 20:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",매주 일요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Sakaino Building 1f, 2-2-8 Shibadaimon, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 2 분 거리 (120m)
JR Yamanote Line / Hamamatsucho Station 5 분 도보 (370m)
Toei Mita Line / Shibakoen Station 6 분 도보 (420m)",예,"9 석
(L 자형 카운터 시트 만 사용할 수 있습니다.)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://akimotokitchen.foodre.jp/",,"우리는 야채 요리, 생선 요리 및 현지 재료, 요리사가 유명한 레스토랑에서 훈련을 받았으며 요리사는 유명한 레스토랑과 매장 내 준비에서 훈련을 받았습니다.",저녁 식사 시간에만 사용할 수 있습니다,"저녁 식사, 쌀, 점심, 와인, 급여 지불금, 지불금 포인트, 온라인 예약 가능, 크리스마스 저녁 식사, 새해 파티, 인기있는 식당, 예약, 세련된 새해 파티, 성인 연말대 파티
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001663174/archive/2906328-6368fd306b3c6.jpeg,,,,,"맥주, 술, 와인, 위스키","차분한 분위기
숨는 곳",,없음,,,,03-6721-5714,,,,,,
