restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,ic_card_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,instagram,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,wifi_available,phone_number,foreign_language_support,video,pet_friendly,power_supply_available,remarks,twitter,facebook,additional_equipment,beer_maker,쇼핑 직무 정보,온라인 예약
牡蠣ツ端,굴,https://retty.me/area/PRE13/ARE7/SUB701/100001232316/,050-5462-5739,이자카야 야채 해산물과 해산물,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay","1-9-2 Ebisu Minami, Shibuya-Ku, 도쿄, AI 건물, 1st Basement Floor
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (130m)
도쿄 도요코 라인 / 다이키 야마 역 10 분 도보 (740m)
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 16 분 (1.2km)","없음
근처 (할인 없음) 사용 가능",50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://kakitsubata-ebisu.foodre.jp/
https://kaki-tsubata.com",https://www.instagram.com/ebisu.kakitubata/,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","5,000 엔 이상을 사용할 수 있습니다",우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"저녁 식사, 저녁 식사, 날짜, 연회 및 음주 파티, 금연, 지불금 지불 이용 가능, 개인 객실, 참여 저녁 식사 파티, 싱글, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 개인 객실, 점심 식사
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성",평상복,"예
유아, 유치원 어린이, 초등학생을 환영합니다",예,03-6452-3414,언어 지원 메뉴가 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001232316/archive/1889068-5f743a8beb316.jpeg,,,,,,,,,
ロジェ カフェ,로저 카페,https://retty.me/area/PRE13/ARE7/SUB701/100000006535/,050-5303-0351,카페,"[하루 종일]
 12:00-23:00 L.O. 22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"Daiichi Kyoei Building 2F, 1-7-3 Ebisu, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Ebisu 역에서 도보로 3 분 거리 (180m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (840m)
도쿄 메트로 히비야 라인 / 히로 스테이션 17 분 (1.4km)","없음
근처 (할인 없음) 사용 가능",46 석,없음,"불가능합니다
(완전 흡연 허용)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"https://loger-cafe.foodre.jp/
https://renovationplanning.co.jp/",,"3,000 엔에서 3,999 엔으로 제공됩니다","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 3,000-3,999 엔, 전산 된 코스 코스에는 4,000-4,999 엔, 2 시간 동안 온 All-You-Can-Drink에 대한 all-you-can-drink가 포함됩니다.",매장 내 준비,"맥주, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"생일, 점심, 데이트, 저녁 식사, 싱글 링크, 싱글 패스, 여자 밤, 성인 밤, 세련된, 아침 식사, 와인, 새해 파티, 흡연 허용, 점심 날짜, 점심 소녀 밤, 세련된 점심
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",평상복,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",예,03-3445-1700,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000006535/archive/3237618-65b8b8b4464f01b.jpg,불가능합니다,불가능합니다,,,,,,,
アタラシヤ,Atalasia,https://retty.me/area/PRE13/ARE7/SUB701/100000713978/,050-5304-5069,이자카야 야키토리,"[월요일부터 금요일, 토요일, 휴일 전]
 17:30-26:00 L.O. 25:00
[일요일과 휴일]
 17:30-24:00 L.O. 23:00
영업 시간은 하루에 따라 다를 수 있습니다","불규칙한 휴일
새해 휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1f Ebisu Building, 4-10-8 Ebisu, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu Station 7 분 도보 (540m)
도쿄 메트로 히비 야 라인 / 히로 스테이션 15 분 도보 (1.1km)
JR Yamanote Line / Meguro Station 17 분 도보 (1.3km)",없음,26 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://toliuo-ebisu.foodre.jp/",https://www.instagram.com/toliuo_ebisu/,,"4,000 엔에서 4,999 엔, 2 시간 반 동안 싱글 링크를 포함하는 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 알레르기가있는 고객, 요리사가 유명한 식당에서 훈련 한 고객을 수용 할 수 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"당신은 와인을 마실 수 있습니다. 냉장 담배 흡연 허용 연말 파티 이용 가능한 연말 파티 파티 파티 저녁 식사 온라인 예약 이용 가능 인기있는 식당 예약 상점 캐주얼 성인 새해 파티 성인 연말 파티 작별 파티 환영 파티
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,예,예,03-3446-3381,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000713978/archive/1016801-5d2704117bf00.jpeg,예,예 (무료),흡연은 오후 8시 이후에 허용됩니다.,,,,,,
俺のイタリアン Beer Terrace 恵比寿ガーデンプレイス,내 이탈리아 맥주 테라스 에비 수 정원 장소,https://retty.me/area/PRE13/ARE7/SUB701/100001652333/,050-5462-7886,이탈리아 피자 파스타,"[월요일부터 금요일까지]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 17:00-22:00 L.O. 21:00
[토양]
 11:30-22:00 L.O. 21:00
[일요일과 휴일]
 11:30-21:00 L.O. 20:00",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"Ebisu Garden Place Clock Square 2F, 4-20-6 Ebisu, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 6 분 (440m)
JR Yamanote Line / Meguro Station 14 분 도보 (1.1km)
도쿄 도요코 라인 / 다이키 야마 역 15 분 도보 (1.2km)",없음,"84 석
(상점의 36 석 : 테라스에 48 석)",,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://www.oreno.co.jp/restaurant/italian_beerterrace_ebisu,,,,,,사용 가능한 예약,"점심, 점심, 쌀, 솔로, 지불 수락, 급여 지불 포인트, 온라인 예약 가능, 인기있는 매장
다른 사용 장면을 참조하십시오",,,,,없음,03-6277-0715,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001652333/archive/3542132-67ca940250dea.jpg,,,,https://twitter.com/ore_no_series,,,,,
日本酒×ワイン ノンベエ エビス,Sake X Wine Non-Beer Ebisu,https://retty.me/area/PRE13/ARE7/SUB701/100001291351/,050-5304-2450,이자카야,"[월요일 ~ 목요일]
 17:30-24:00 L.O. 23:00
[금]
 17:30-24:30 L.O. 23:30
[토양]
 17:00-23:30 L.O. 22:30
[낮]
저녁 식사 17:00-23:30 L.O. 22:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다","매주 일요일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.
국경일이 있다면 월요일에 문을 엽니 다
★ 자세한 내용은 상점의 Instagram을 확인하십시오.","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"2-3-3 Ebisu Minami, Shibuya-Ku, Tokyo, First Ebisu Mansion Baperement Room F (Peacock Store 지하 1f, Back)
큰지도를보십시오","● 스테이션에서 접근
도쿄 메트로 / 에비 수역 (출구 5 번 출구) 도보 1 분
JR Yamanote Line / Ebisu 역에서 도보로 5 분 거리 (West Exit)
Jr Saikyo Line / Ebisu 역에서 도보로 5 분 거리 (West Exit)
Jr Shonan Shinjuku Line / Ebisu 역에서 도보로 5 분 거리 (West Exit)

● 버스 정류장에서 접근 할 수 있습니다
Shibuya Ward Yuyakeko Yake Route Ebisu 역 입구 1 분 도보 (44m)
Shibuya Ward Yuyakeko Yake Route Ebisu Park 3 분 도보 (170m)
도쿄 버스/도쿄 트랜스 시부 72 국방 기술 연구소 3 분 도보 (210m)

● IC의 액세스
대도시 고속도로 No. 2 메 구로 라인 메 구로 IC 4 분 자동차 (1.5km)
메트로폴리탄 고속도로 No. 3 Shibuya Line Shibuya 4-Chome IC 4 분 자동차 (1.5km)
Shibuya IC, Metropolitan Expressway No. 3 Shibuya Line, 4 분 자동차 (1.5km)

● 공항 주차에서 접근
Haneda 공항 주차 OK 주차 22 분 자동차 (8.7km)
Tsubasa 주차 주차한다 공항 26 분 자동차 (10.5km)
도쿄 국제 공항 국제 주차 32 분 자동차 (13.0km)","없음
근처 (할인 없음) 사용 가능","40 석
(10 개의 카운터 좌석, 14 개의 테이블 좌석, 16 개의 타타미 룸 (7 명, 9 명)))",예,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 40 명을 임대 할 수 있습니다
예약 할 수있는 사람 수에 대한 최저 한도 (스탠드 스탠드 식사) 25 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명","[공식적인]
https://nonbee-ebisu.foodre.jp/",https://www.instagram.com/nonbee.ebisu/,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","4,000 엔에서 4,999 엔으로 인한 all-you-can-drink와 5,000 엔 이상을위한 all-can-drink 및 2 시간 동안의 싱글 링크가 포함 된 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 주인 chef 및 매장 준비에 특히 도움이됩니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 쌀, 성인을위한 은신처, 술을 마시고, 어린이와 함께 즐기기, 재미있는, 연말 파티, 연회 및 음주 파티, 환영 파티, 육류, 생일, 예약, 와인, 지불금 지불, 신년 파티, Paypay Points Geat
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
배송 가능",없음,예,없음,03-6303-2500,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001291351/archive/1040916-5d3e4e2be26a2.jpg,불가능합니다,예 (무료),개인 : 최대 50 명까지 문의하십시오,,https://www.facebook.com/nonbee.ebisu/,TV 및 모니터 사용 가능,,,
うまえびす,먹다,https://retty.me/area/PRE13/ARE7/SUB701/100001240303/,050-5304-5161,이자카야 말 고기 요리 일본 요리 테이크 아웃,"[월요일 ~ 목요일]
저녁 식사 17:00-23:00 L.O. 22:00
[금]
 17:00-25:00 L.O. 24:00
[일요일과 휴일]
 12:00-22:00 L.O. 21:00
월요일이 긴 휴가로 인해 공휴일이라면, 우리는 일요일 자정까지 문을 열 것입니다.","우리는 11 월 6 일, 13 일, 20 일, 27 일에 문을 닫습니다.","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1 층, Ebisu K Building, 4-9-9, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 5 분 (340m)
도쿄 메트로 히비야 라인 / 히로 스테이션에서 도보 14 분 (1.1km)
도쿄 도요코 라인 / 다이키 야마 역 15 분 도보 (1.2km)",없음,"34 석
(최대 34 석)","예
(모든 좌석은 금연합니다.)","불가능합니다
(외부에 재떨이가 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,"[공식적인]
https://umaebisu.foodre.jp/
https://linktr.ee/umaebisuebisuten",https://www.instagram.com/umaebisu,,"ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 한 시간 반 동안 온 맨 링크",,"맥주, 사케, 쇼치, 와인, 아와 모리",,"저녁 식사 마시기 고기 쌀 와인 어린이들과 함께 즐거운 아이들과 함께 즐거운 개인 손님 개인 회의실 지불금 지불 이용 가능한 페이 페이 포인트 온라인 예약 이용 가능 연말 파티 점심 식사 작별 파티
다른 사용 장면을 참조하십시오",,놀라운 응답 가능,,,없음,03-6432-5640,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001240303/archive/3191584-6553385227d41.jpeg,,,오후 6시에서 오후 9시 사이의 피크 시간이므로 다른 시간에 연락을 주셔서 감사합니다.,https://x.com/umaebisu1,https://www.facebook.com/umaebisu/,,,,
卸 新宿食肉センター 極 恵比寿店,도매 신주쿠 고기 센터 Goku Ebisu 지점,https://retty.me/area/PRE13/ARE7/SUB701/100001575173/,050-5304-2665,야키니쿠,"[하루 종일]
저녁 식사 17:00-26:00 L.O. 25:30
점심 11:30-17:00
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"2f Granbell Ebisu, 1-11-9 Ebisu, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (57m)
도쿄 도요코 라인 / Daikanyama 역에서 도보로 12 분 (910m)
도쿄 메트로 히비야 라인 / 히로 스테이션에서 도보 17 분 (1.3km)","예
근처 (할인 없음) 사용 가능","34 석
((28 개의 테이블 좌석, 6 개의 카운터 좌석))))",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://shokunikucenterkiwami-ebisu.foodre.jp/",,,,,,,"all-you-eat 쌀, 저녁 식사, 늦은 밤에 영업, 음료, 온라인 예약 가능, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 인기있는 레스토랑, 예약, 캐주얼
다른 사용 장면을 참조하십시오",,,,,예,03-6721-7110,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001575173/archive/2420632-60e7b186b7c15.jpeg,,,,,,,,,
ビストロ・ダルブル 恵比寿店,Bistro Dalburu Ebisu 매장,https://retty.me/area/PRE13/ARE7/SUB701/100000022386/,050-5462-6730,프랑스 요리 비스트로 해산물 바 와인 바,"[월요일, 수요일, 금요일, 토요일]
저녁 식사 18:00-22:00 L.O. 21:00
[태양, 토요일, 휴일]
점심 12:00-14:30 L.O. 13:30
[일요일과 휴일]
저녁 식사 18:00-21:00 L.O. 20:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",매주 화요일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1-4-8 에비 수 미나미, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 3 분 거리 (170m)
도쿄 도요 코 라인 / 다이키 야마 역에서 도보로 9 분 (650m)
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 15 분 (1.1km)",없음,"44 석
(4 개의 카운터 좌석, 30 개의 테이블 좌석, 8 개의 테라스 좌석)","예
(카운터에서 4 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,"[공식적인]
https://darbre.foodre.jp/",https://www.instagram.com/bistrodarbre/,"4,000 엔에서 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스, 8,000 엔 이상이 있습니다.","5,000 엔 이상에 대한 all-you-can-drink와 2.5 시간 동안의 싱글 링크가 포함 된 과정이 있습니다.",우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,와인이 있습니다,사용 가능한 예약,"점심, 엔터테인먼트, 저녁 식사, 싱글 링크, 단일 시간, 새해 파티, 개인 실, 개인 실, 개인 방 날짜, 점심 날짜, 점심 날짜, 여자 파티, 급여 지불 제공, 약혼 저녁 식사 파티, 마시는 와인, 세련된, 스모킹
다른 사용 장면을 참조하십시오","차분한 분위기
단독 주택 레스토랑
골목을 향합니다
테라스가 있습니다","놀라운 응답 가능
축하 가능성",,"예
초등학생들은 환영합니다",예,03-3760-0447,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000022386/archive/3416824-6703774086f48.jpg,불가능합니다,,"적격 송장 (송장)에 대해 영수증을 발행 할 수 있습니다.
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.",,https://www.facebook.com/darbre1974,,,,
ブッチャー・リパブリック エビス シカゴピザ & ビア,정육점 공화국 EBIS 시카고 피자 & 맥주,https://retty.me/area/PRE13/ARE7/SUB701/100001446255/,050-5303-8738,이자카야 이탈리아 고기 바 바 프랑스 바 스테이크,"[월요일부터 금요일까지]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
 11:30-23:00 L.O. 22:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1f, 보석 ebisu, 1-11-5 ebisu, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (100m)
도쿄 도요코 라인 / Daikanyama 역에서 도보로 12 분 (960m)
도쿄 메트로 히비야 라인 / 히로 역에서 도보 16 분 (1.3km)","없음
근처 (할인 없음) 사용 가능",66 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명","[공식적인]
https://buccharipublicebisu.foodre.jp/",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전산 점수 가격 : 3,000-4,999 엔, 만세 가격 : 5,000 엔 이상, 4,000-4,999 엔, All-You-Can-Drink 코스는 5,000 초 이상으로 포함되어 있으며 5,000 명 이상의 잉크를 포함합니다. 2 시간 넘게 all-you-can-drink, 3 시간 넘게 끊임없이 마시면","우리는 야채 요리, 고기 요리, 수입 재료, 채식 메뉴 및 준비된 매장에 특히 그렇습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 고기, 쌀, 점심, 싱글, OK, 생일, 점심, 와인, 와인, 쿠폰 이용 가능, 지불금 지불 가능, 급여 매표 포인트, 온라인 예약 가능, 새해 파티, 개인 객실, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
활발한 상점
골목을 향합니다
테라스가 있습니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",평상복,예,예,03-6277-0870,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001446255/archive/108771-5d67a13c0110e.png,불가능합니다,,,,,,,,
恵比寿DAL MATTO,ebisu dal matto,https://retty.me/area/PRE13/ARE7/SUB701/100000000517/,050-5303-5900,이탈리아 음식 파스타 서부 음식,"[Sun, 화요일, 금요일, 토요일 및 휴일]
저녁 식사 17 : 30-23 : 00 L.O. 22:00
[Sun, 수요일, 금요일, 토요일 및 휴일]
점심 11:30-15:30 L.O. 13:30
자세한 내용은 공식 웹 사이트를 확인하십시오.
2022 년 3 월 22 일 -
◆ 점심 : 11 : 30-15 : 30
◆ 저녁 17 : 30-23 : 00
폐쇄 : 월요일

◆ 테이크 아웃
우리는 오전 11시 30 분부터 오후 23 시까 지 (L.O. 22:30 pm)에 문을 열 것입니다.
마지막 픽업 시간 : 23:00
Tabelog Takeout, Uber Eats, Wolt, Menu 및 Chompy를 사용할 수 있습니다.","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
◆ 2022 년 1 월부터 월요일은 문을 닫습니다 (12 월에는 정기 휴가가 없을 것입니다)

[새해 공휴일의 업무 시간에 관한]
우리는 평소와 같이 2023 년 12 월 30 일까지 개방 될 것입니다.
우리는 2023 년 12 월 31 일부터 2024 년 1 월 7 일부터 점심까지 문을 닫습니다.
(우리는 1 월 7 일 저녁 식사에서 평소와 같이 열릴 것입니다.)","점심 : ~ 6,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"퇴각 2-7-8 Ebisu Nishi, Shibuya-Ku, 도쿄 1 층 및 B1 층
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 5 분 (390m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 6 분 (470m)
JR Yamanote Line / Shibuya 역에서 도보로 9 분 (680m)","없음
근처 (할인 없음) 사용 가능",29 석,예,"불가능합니다
(지하실의 바다는 금연이없고 1 층의 좌석이 허용됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
최대 25 명까지 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 2 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명","[공식적인]
https://ebisu-dalmatto.foodre.jp/
https://www.dal-matto.com/",https://www.instagram.com/ebisudalmatto/,"2,999 엔 미만, 4,000 ~ 4,999 엔 코스 이용 가능, 7,000 ~ 7,999 엔 코스 이용 가능","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전산 된 가격 : 2,000-2,999 엔, 한 시간 반 동안 싱글 링크, 2 시간 동안 모두 링크","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 알레르기, 채식 메뉴, 어린이 메뉴, 매우 매운 메뉴, 요리사는 해외에서 훈련을 받고, 요리사는 유명한 식당, 주인 요리사 및 층 준비로 훈련 경험이 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 점심, 개인 실, 점심, 생일, 개인 실, 어린이와 함께 즐기기, 연말 파티, 개인 룸 엔터테인먼트, 날짜, 새해 파티, 비소화, 개인 객실 날짜, 점심 날짜, 여자 파티, 기념일, 지불금 지불 가능
다른 사용 장면을 참조하십시오","천장이 높습니다
단독 주택 레스토랑
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다
테이크 아웃 가능성
배송 가능",없음,"예
아이들은 환영합니다, 유치원 어린이는 환영 받고, 초등학생을 환영하고, 이유식을 가져오고, 어린이 메뉴를 이용할 수 있고, 알레르기 음식을 수용 할 수 있습니다",예,03-3780-9955,"이탈리아 사람
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/10000000517/archive/1084964-5d6637f07f311.png,불가능합니다,예 (무료),,,https://www.facebook.com/ebisudalmatto/,프로젝터 및 사운드 장비,,,
