restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,store_website,remarks,lecture,available_drinks,cooking_specialties,drinking_specialties,usage_scenes,waiting,service,child_friendly,pet_friendly,power_supply_available,wifi_available,phone_number,foreign_language_support,video,private,reservation,dress_code,twitter,facebook,additional_equipment,ic_card_payment,instagram,beer_maker
海底撈火鍋 秋葉原店,해저 핫 포트 아키하바라 상점,https://retty.me/area/PRE13/ARE11/SUB1102/100001585795/,050-5462-2062,핫팟 중국 음식 이자카야,"[하루 종일]
 11:00-5:00 L.O. 4:00
마감 시간은 하루에 따라 다를 수 있습니다
특별 영업일 : 12 월 31 일과 1 월 1 일 개막 시간 : 11 : 00-06 : 00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Chom Chom Akihabara 1-13 Kanda Sakumacho, Chiyoda-Ku, 도쿄 5 층
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 1 분 (40m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역 (600m)에서 도보로 8 분","없음
근처 (할인 없음) 사용 가능",150 석,예,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://haidilaoakihabara.foodre.jp/
https://akr6578806803.owst.jp/","사용 가능 : PayPay, Alipay, Wechat Pay","3,000 엔 ~ 3,999 엔 코스, 7,000 엔 ~ 7,999 엔 코스로 제공됩니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 한 시간 반 동안 온 맨 링크",슈퍼 매운 메뉴를 사용할 수 있습니다,"맥주, 쇼카, 와인, 위스키, 칵테일","점심, 저녁, 점심, 슈퍼 매운, 쿠폰 이용 가능, 지불금 지불 가능, 급여 지불 포인트, 온라인 예약 가능, 연말 파티, 새해 파티, 예약을위한 인기 상점, 성인 새해 파티, 성인 연말 파티, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능","예
유아 및 어린 자녀, 유치원 어린이, 초등학생, 기저귀 사용 가능, 어린이 메뉴 가능",불가능합니다,예 (무료),예,03-5577-5285,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001585795/archive/3125003-64dadc0367a1f.jpg,,,,,,,,,
ドラミ酒場,도라미 바,https://retty.me/area/PRE13/ARE11/SUB1102/100001453886/,050-5462-3809,이자카야 중국 요리 Xiaolongbao,"[하루 종일]
 9:00-27:00
일년 내내 문을 엽니 다! !",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",예,,"1-1-8 Kanda Izumicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보 2 분 (140m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 (390m)
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역 (640m)에서 도보로 8 분",없음,50 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://dorami-sakaba.foodre.jp/","전자 돈을 사용할 수 있습니다
QR 코드 결제 가능","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 3,000-4,999 엔, 2 시간 동안 all-you-can-drink","우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 술, 와인, 위스키, 칵테일","연회 및 음주 파티 싱글 사람들을위한 OK 독신 저녁 식사 흡연 허용 늦은 밤 여유 후 저녁 식사 후 저녁 식사 점심 모든 란드 링크 저녁 식사 파티 결혼식 파티 파티 연말 파티를 마시는 와인을 마시는 와인을 마시는 것과 함께 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
골목을 향합니다","축하 가능성
테이크 아웃 가능성",예,불가능합니다,예 (무료),예,03-5846-9939,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001453886/archive/272679-62941f5ebfd9d.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",사용 가능한 예약,없음,,,,,,
やきとん 元気,야키 톤은 건강합니다,https://retty.me/area/PRE13/ARE11/SUB1102/100000081139/,03-5829-9910,꼬치 구이 이자카야 돼지 고기 요리 모스 수 요리 야키토리 치킨 요리 햄버거,"[월요일부터 금요일과 토요일]
 17:00-24:00 L.O. 23:00
[일요일과 휴일]
 15:00-22:00 L.O. 21:00","하루 종일 개점
새해 휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 3,000 엔",불가능합니다,PayPay,"1F Todoroki Building, 3-37-30 Kanda Sakumacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara Station 3 분 도보 (210m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (270m)
Jr Chuo / Sobu Line / Asakusabashi Station에서 도보 8 분 (610m)",,"60 석
(테이블 시트는 주로 사용됩니다)","예
(3 석)","예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://yakitongenki.foodre.jp/",,,,,,"점심 연회와 음주 파티 싱글 OK 작별 파티를 환영 파티 연말 파티 새해 파티를 마실 수 있습니다. 술을 마실 수 있습니다. 세련된 식당/저렴한 레스토랑 고기 흡연은 세련된 점심을 허용합니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000081139/archive/3484518-6768122d624f9.jpg,,,,https://x.com/yakitongenki,,,,,
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 秋葉原店,0 초 레몬 사워 센다이 호르몬 야키 니쿠 바 토키 웨이 아키하바라 지점,https://retty.me/area/PRE13/ARE11/SUB1102/100001580061/,050-5462-7877,이자카야 호르몬 쇠고기 혀,"[월요일부터 금요일까지]
저녁 식사 17:00-23:30 L.O. 23:00
[토요일/휴일]
 12:00-23:30 L.O. 23:00
[낮]
 12:00-22:00
[축하 전]
 16:00-23:30 L.O. 23:00",하루 종일 개점,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"야마 나카 빌딩 B1F, 1-19 Kanda Sakumacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 1 분 (26m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 3 분 거리 (220m)
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역 (650m)에서 도보로 9 분","없음
근처 (할인 없음) 사용 가능",130 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://tokatai-akihabara.foodre.jp/",,,"999 엔 미만의 all-you-can-drink 가격, 1000 엔에서 1999 엔",,,"싱글 OK 점심 점심 술을 마시는 라이스 페이 페이 지불 가능 세련된 술을 이용할 수있는 식당 환영 파티 고기 shochu 온라인 예약 가능 인기 상점
다른 사용 장면을 참조하십시오",,,,,,예,03-6260-7137,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001580061/archive/3562036-67e16ecea50d1.jpg,불가능합니다,사용 가능한 예약,,,,,,,
鶏喜鶏喜,치킨 즐거움,https://retty.me/area/PRE13/ARE11/SUB1102/100001581785/,050-5304-1805,이자카야 야키토리,"[하루 종일]
 16:00-24:00",,"점심:-
저녁 식사 : ~ 3,000 엔",불가능합니다,PayPay,"Wyze Tower B1F, 2-13-3 Kanda Sakumacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보 2 분 (110m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (280m)
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 9 분 거리 (720m)","없음
근처 (할인 없음) 사용 가능",110 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","[공식적인]
https://chokichoki.foodre.jp/",,,"3,000 엔 -3,999 엔, 2 시간 동안 싱글 링크를 포함하는 모든 과정이 있습니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 사케, 쇼치, 와인","개인 룸 디너, 솔로, 흡연, 쌀, 연회 및 음주 파티, 급여 지불 지불 가능, 연말 파티, 새해 파티, 캐주얼, 빠른 새해 파티, 빠른 새해 파티, 작별 파티, 환영 파티, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,예,,,예,03-5809-2293,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001581785/archive/242684-60ee18bac6015.jpeg,예,사용 가능한 예약,,,,,,,
新福菜館 秋葉原店,신문 나칸 아키하바라 상점,https://retty.me/area/PRE13/ARE11/SUB1102/100001228596/,050-5462-0783,"라면, 테이크 아웃, 볶음밥, Gyoza","[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17 : 30-23 : 00 L.O. 22:30
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
원칙적으로, 4 명 이상의 사람들이 같은 그룹에서 같은 테이블에 들어갈 수 없습니다.

우리는 오전 11 시부 터 오후 15 시까 지 (LO 14:30 AM)에 문을 열 것입니다.","불규칙한 휴일
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,PayPay,"1-3-17 Kanda Izumicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 5 분 (380m)",,26 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://shinpukusaikanakihabara.foodre.jp/",,,,,,"점심, 솔로, 쿠폰, 쌀, 쌀, 맛있고 저렴한 레스토랑, 급여 지불 지불 가능, 급여 지불 포인트, 온라인 예약 이용 가능, All-You-Can-Drink, Farewell Party, 환영 파티, 점심 음주, 인기있는 식당 예약
다른 사용 장면을 참조하십시오",,,,,,,03-5835-0209,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001228596/archive/2065128-5fa8a50c9e305.jpeg,,,,,,,,,
ビーフキッチンスタンド 秋葉原電気街口店,쇠고기 주방 스탠드 아키하바라 전기 도시 출구 상점,https://retty.me/area/PRE13/ARE11/SUB1102/100001740811/,050-5462-5659,이자카야 스테이크 햄버거,"[하루 종일]
 12:00-24:00 L.O. 23:00
영업 시간은 하루에 따라 다를 수 있습니다","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3-15-7 Sotokanda, Chiyoda-Ku, 도쿄 APA 호텔 Akihabara Suehirocho 역
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 2 분 거리 (130m)
JR Yamanote Line / Akihabara 역에서 도보로 6 분 (410m)
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 7 분 거리 (490m)",없음,37 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://beefkitchenstand-akihabara.foodre.jp/
https://beef-kitchen-stand-apahotel-akihabara.com/",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2,999 엔 미만의 모든 링크 코스, All-You-Can-Drink 코스, 3,000-3,999 엔, All-You-Can-Drink 코스를 이용할 수 있으며 4,000-4,999 Yen, All-You-Can-Drink 코스가 제공됩니다. all-you-can-drink 시간 이상",고기 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일","고기 저녁 식사 점심 음료, PayPay 지불 이용 가능한 연말 파티 새해 파티 All-You-Can-Eat, All-You-Can-Drink, Farewell Party, Welcome Party, Casual, Paypay Points, 온라인 예약 가능, 인기있는 상점
다른 사용 장면을 참조하십시오",활발한 상점,,불가능합니다,불가능합니다,,예,03-6811-6129,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001740811/archive/3306352-663c6ef82c867.jpg,불가능합니다,,,,,,Suica,,
全席個室 ウメ子の家 秋葉原駅前店,모든 좌석 개인 실이 메코의 집 아키하바라에 키마 지점,https://retty.me/area/PRE13/ARE11/SUB1102/100000078932/,050-5303-1805,이자카야,"[월요일부터 금요일까지, 휴일]
 17:00-23:30 L.O. 22:30
[태양/토요일]
 16:00-23:30 L.O. 22:30
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*업무 시간 이전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2F, 리셉션 구역, 2F, 1-16 Kanda Sakumacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara Station 2 분 도보 (160m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역 (650m)에서 도보로 9 분",,123 석,없음,"연기 분리
흡연실 사용 가능
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://umeko.dkdining.com/akihabara/,"dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id
좌석 수수료가 있습니다. (코스 당시 가격에 포함)",,,,,"저녁 식사, 고기, 개인 실, 연회 및 음료, 모든 링크, 저녁 식사, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 흡연 허용, 개인 방 날짜, 쿠폰 이용 가능, 맛있는/저렴한 식당, 여자 밤, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,,050-2018-8911,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000078932/archive/2961076-63c8e5a1cd3d9.jpg,,,,,,,,,
やきとり やきとん元気 清美通り店,Yakitori Yakiton Genki Kiyomidori 매장,https://retty.me/area/PRE13/ARE11/SUB1102/100001508203/,050-5304-9078,야키토리 이자카야,"[월요일 ~ 목요일]
 12:00-23:30 L.O. 22:30
[금]
 12:00-26:00 L.O. 25:00
[태양, 토요일, 휴일]
 14:00-23:30 L.O. 22:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",불가능합니다,,"1F, Eiwa Building, 2-14-7 Kanda Sakumacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 1 분 (69m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (280m)
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역 (690m)에서 도보로 9 분","없음
이웃 P (할인) 사용 가능","80 석
(예약을하면 1 인당 300 엔이 청구됩니다.)",없음,"예
(완전 흡연이 허용됨)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://yakitongenki-kiyomidoriten.foodre.jp/","당신이 예약을하는 경우, 우리는 1 인당 300 엔을 청구합니다.","2,999 엔 미만의 코스","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 싱글 링크","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 매우 매운 메뉴 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","마시기, 흡연 허용, 저녁 식사, 고기, 음료수, 파티, 저녁, 늦은 밤, 환영 파티, 연말 파티, 모든 욕구, 싱싱한 새해 파티, 온라인 예약 가능, 인기있는 식당
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
활발한 상점
골목을 향합니다
테라스가 있습니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",예,"예
상점 밖에서 사용할 수 있습니다",불가능합니다,없음,03-5809-3742,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001508203/archive/1292038-5dd766832bb53.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",사용 가능한 예약,없음,https://x.com/laffinegroup,,TV 및 모니터 사용 가능,,https://www.instagram.com/laffine_akiba/,
創作アジアン 琥珀,창조적 인 아시아 앰버,https://retty.me/area/PRE13/ARE11/SUB1102/100001658791/,050-5462-2984,이자카야 중국 요리,"[태양, 월요일부터 금요일, 토요일]
점심 11:00-15:00 L.O. 14:50
[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:30
[토양]
저녁 식사 17:00-22:00 L.O. 21:30
[낮]
저녁 식사 17:00-23:30 L.O. 22:30
영업 시간은 하루에 따라 다를 수 있습니다",매주 일요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suehiro Building, 5-1-2 Sotokanda, Chiyoda-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 1 분 거리 (16m)
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 5 분 (360m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 6 분 (470m)","없음
근처 (할인 없음) 사용 가능","77 석
(연회의 최대 용량은 80입니다.) 개인 용도의 경우 손님 수는 50 이상이지만 상점에 문의하십시오.",예,"연기 분리
(테라스 좌석에서 사용할 수 있습니다. 수동 흡연 조치에 관한 법률 (Advanced Health Promotion Act)은 2020 년 4 월 1 일부터 발효되었으며 최신 정보는 최신 정보와 다를 수 있으므로 방문하기 전에 상점에 문의하십시오.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","[공식적인]
https://kohaku512.foodre.jp/","다음 지불 방법도 사용할 수 있습니다.
신용 카드 : UnionPay
QR 코드 : Paypay, Rakuten Pay, DPay, Line Pay, AU Pay, Merpay, Alipay
*전자 자금을 사용할 수 없습니다.","3,000 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 5,000 엔 이상, 1 시간 반 동안 싱글 링크","우리는 야채 요리, 고기 요리, 수입 재료 및 현지 재료를 생산하며 어린이 메뉴에 사용할 수 있습니다.","맥주, 사케, 쇼치, 와인, 칵테일, 샤 옥싱 와인","개인 실, 저녁 식사, 음주, 점심, 어린이와 함께 즐기기, 쿠폰 이용 가능, 지불금 지불 가능, 급여 지불 포인트, 온라인 예약 가능, 연말 파티, 새해 파티, 캐주얼, 세련된, 성인 날짜, 성인 새해 파티
다른 사용 장면을 참조하십시오","천장이 높습니다
차분한 분위기
숨는 곳
골목을 향합니다
테라스가 있습니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성","예
유아, 유치원 어린이, 초등학생을 환영합니다",,,예,03-6803-2857,"영어 중국어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001658791/archive/3165260-6525f931ae260.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 가능 (좌석) : 77 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",사용 가능한 예약,없음,,,"가라오케, 프로젝터, TV 및 모니터, 오디오 장비",,,
